,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000595,宝塔实业,10.29,10.05,0.94,777080,782871899.82,6.42,10.29,9.69,9.75,9.35,6.83,-182.29,24.91
1,2,600316,洪都航空,26.11,9.71,2.31,255054,643263003.0,10.08,26.13,23.73,23.73,23.8,3.56,2641.32,3.54
2,3,300862,蓝盾光电,27.42,9.29,2.33,114148,307726243.72,14.31,29.08,25.49,25.49,25.09,7.54,1282.5,2.53
3,4,300527,中船应急,10.24,7.45,0.71,897206,911977343.22,19.1,10.98,9.16,9.16,9.53,9.31,-3860.78,3.9
4,5,300101,振芯科技,17.46,7.05,1.15,177420,298480682.43,7.6,17.55,16.31,16.45,16.31,3.15,102.78,5.59
5,6,600435,北方导航,10.86,6.78,0.69,377916,400012850.0,6.1,10.88,10.26,10.34,10.17,2.52,-109.93,6.27
6,7,600990,四创电子,22.54,6.57,1.39,111883,240358887.0,11.73,22.54,20.06,20.88,21.15,4.16,-79.07,2.89
7,8,600765,中航重机,21.11,6.56,1.3,293590,602802848.0,6.61,21.15,19.84,20.0,19.81,2.0,21.63,2.61
8,9,600391,航发科技,18.29,6.03,1.04,91823,164101708.0,5.33,18.32,17.4,17.48,17.25,2.78,197.37,3.75
9,10,000099,中信海直,17.8,5.95,1.0,449586,781567986.02,6.43,17.88,16.8,16.8,16.8,5.8,52.15,2.67
10,11,300252,金信诺,8.68,5.85,0.48,237637,200786578.09,5.37,8.7,8.26,8.28,8.2,4.43,894.69,2.68
11,12,000768,中航西飞,28.53,5.55,1.5,458855,1299728263.83,5.88,28.82,27.23,27.31,27.03,1.66,60.38,3.97
12,13,600184,光电股份,9.98,5.5,0.52,74291,72769786.0,4.65,10.0,9.56,9.66,9.46,1.46,395.68,2.01
13,14,601137,博威合金,16.82,4.73,0.76,149350,243147887.0,6.29,16.84,15.83,16.15,16.06,1.91,10.31,1.83
14,15,002314,南山控股,2.45,4.7,0.11,327162,78761607.72,4.27,2.46,2.36,2.4,2.34,2.44,-28.06,0.65
15,16,600590,泰豪科技,4.51,4.64,0.2,118577,52835593.0,3.25,4.52,4.38,4.43,4.31,1.41,-32.42,1.13
16,17,002151,北斗星通,27.79,4.47,1.19,114520,311360387.6,4.89,27.85,26.55,26.75,26.6,2.59,-171.78,2.76
17,18,600893,航发动力,41.69,4.38,1.75,261573,1084864537.0,3.98,42.09,40.5,40.69,39.94,0.98,93.43,2.8
18,19,600456,宝钛股份,31.47,4.31,1.3,77475,239065764.0,5.2,31.55,29.98,30.32,30.17,1.62,18.66,2.22
19,20,000738,航发控制,22.0,4.02,0.85,120120,262053229.55,4.02,22.18,21.33,21.46,21.15,0.91,30.8,2.4
20,21,002149,西部材料,14.77,3.94,0.56,115562,169021091.92,4.71,14.89,14.22,14.27,14.21,2.37,37.71,2.44
21,22,600372,中航机载,13.0,3.92,0.49,488159,628133496.0,3.28,13.04,12.63,12.71,12.51,1.03,34.83,1.73
22,23,002167,东方锆业,6.24,3.48,0.21,229756,140219682.75,4.98,6.25,5.95,6.03,6.03,3.03,-40.38,3.3
23,24,601890,亚星锚链,7.79,3.18,0.24,206974,159668527.0,3.05,7.81,7.58,7.69,7.55,2.16,26.94,2.15
24,25,600118,中国卫星,25.53,3.03,0.75,135612,341167669.0,3.83,25.56,24.61,24.85,24.78,1.15,1775.55,4.79
25,26,600019,宝钢股份,6.95,2.66,0.18,1294281,896915119.0,4.14,7.09,6.81,6.82,6.77,0.59,16.81,0.76
26,27,002465,海格通信,10.46,2.45,0.25,592617,616228603.62,3.23,10.56,10.23,10.33,10.21,2.44,66.28,2.04
27,28,600764,中国海防,26.27,2.38,0.61,73434,191969560.0,5.34,26.57,25.2,25.66,25.66,1.03,123.84,2.29
28,29,300065,海兰信,9.5,2.37,0.22,356628,336596443.41,4.2,9.66,9.27,9.4,9.28,5.42,274.16,4.01
29,30,002318,久立特材,22.11,2.27,0.49,82425,178914949.3,3.89,22.14,21.3,21.77,21.62,0.86,16.77,3.0
30,31,600072,中船科技,13.99,2.27,0.31,287058,399837025.0,4.17,14.18,13.61,13.83,13.68,2.65,-128.96,1.95
31,32,600685,中船防务,26.19,2.11,0.54,129056,337577700.0,3.31,26.55,25.7,26.05,25.65,1.57,126.05,2.01
32,33,600378,昊华科技,29.58,1.96,0.57,19991,58345930.0,3.69,29.73,28.66,29.45,29.01,0.22,44.28,2.07
33,34,600482,中国动力,23.97,1.91,0.45,251124,606948012.0,4.55,24.6,23.53,23.98,23.52,1.13,55.94,1.41
34,35,002324,普利特,8.18,1.61,0.13,91919,74129384.5,3.85,8.2,7.89,8.13,8.05,1.19,31.64,2.09
35,36,601989,中国重工,5.4,0.93,0.05,1506392,812138828.0,3.36,5.49,5.31,5.41,5.35,0.66,115.63,1.47
36,37,600150,中国船舶,40.57,0.22,0.09,589686,2401461968.0,3.83,41.58,40.03,40.69,40.48,1.32,64.24,3.72
