,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300929,华骐环保,9.54,20.0,1.59,184685.0,166686752.99,17.23,9.54,8.17,8.29,7.95,15.0,-55.82,1.52
1,2,300355,蒙草生态,5.34,20.0,0.89,5517154.0,2898693112.06,8.09,5.34,4.98,5.34,4.45,40.39,169.42,1.97
2,3,300152,新动力,3.95,13.51,0.47,1115876.0,405046645.11,17.82,4.0,3.38,3.58,3.48,15.66,-192.95,8.91
3,4,300197,节能铁汉,2.01,12.29,0.22,2417941.0,488916464.69,13.41,2.15,1.91,1.94,1.79,8.15,-7.25,1.51
4,5,300056,中创环保,14.65,10.15,1.35,646463.0,899408175.81,13.76,14.9,13.07,13.72,13.3,16.78,932.15,18.52
5,6,003001,中岩大地,25.48,10.02,2.32,60004.0,148069029.31,10.32,25.48,23.09,23.65,23.16,8.2,79.91,2.79
6,7,600203,福日电子,7.92,10.0,0.72,674080.0,524072771.0,10.0,7.92,7.2,7.21,7.2,11.37,-25.11,2.41
7,8,000652,泰达股份,4.2,9.95,0.38,799844.0,326013749.27,6.81,4.2,3.94,4.07,3.82,5.42,31.3,1.09
8,9,002272,川润股份,5.98,9.93,0.54,965945.0,564538573.27,11.21,5.98,5.37,5.47,5.44,25.45,-25.62,1.82
9,10,603778,国晟科技,3.45,9.87,0.31,323706.0,110414461.0,8.28,3.45,3.19,3.19,3.14,5.04,-10.13,2.63
10,11,000826,启迪环境,2.02,9.78,0.18,594226.0,117153215.6,5.98,2.02,1.91,1.96,1.84,4.17,-6.57,0.72
11,12,300425,中建环能,5.61,9.36,0.48,793149.0,432668642.17,11.31,5.82,5.24,5.29,5.13,11.7,74.97,1.65
12,13,300862,蓝盾光电,27.42,9.29,2.33,114148.0,307726243.72,14.31,29.08,25.49,25.49,25.09,7.54,1282.5,2.53
13,14,600501,航天晨光,17.85,8.51,1.4,295296.0,515981568.0,7.36,17.88,16.67,16.81,16.45,6.95,-31.26,3.59
14,15,002479,富春环保,4.62,8.2,0.35,276874.0,126413686.6,3.98,4.66,4.49,4.5,4.27,3.21,20.25,1.01
15,16,002085,万丰奥威,14.43,8.09,1.08,1167753.0,1619527431.88,9.06,14.5,13.29,13.47,13.35,5.5,38.48,4.56
16,17,300063,天龙集团,5.46,7.91,0.4,521006.0,272029557.0,10.67,5.54,5.0,5.12,5.06,8.33,64.96,2.6
17,18,300342,天银机电,16.56,7.6,1.17,304891.0,487059825.59,7.28,16.62,15.5,15.6,15.39,7.3,105.53,4.65
18,19,000838,财信发展,2.69,7.6,0.19,346390.0,90692315.51,6.4,2.7,2.54,2.56,2.5,3.29,152.43,4.29
19,20,300374,中铁装配,19.42,7.59,1.37,418071.0,799141623.0,16.45,20.46,17.49,17.49,18.05,20.55,-48.86,5.57
20,21,600133,东湖高新,9.64,7.23,0.65,395546.0,366954243.0,9.12,9.78,8.96,9.09,8.99,3.71,62.37,1.22
21,22,300786,国林科技,13.11,7.2,0.88,101828.0,129111327.2,10.3,13.29,12.03,12.42,12.23,6.94,-48.86,2.04
22,23,300334,津膜科技,6.47,7.12,0.43,107832.0,68571859.0,7.78,6.59,6.12,6.12,6.04,3.57,695.86,3.44
23,24,603153,上海建科,18.79,6.94,1.22,130855.0,244430383.0,4.04,19.0,18.29,18.5,17.57,9.69,49.96,2.26
24,25,300284,苏交科,9.43,6.92,0.61,702702.0,638835367.81,8.05,9.51,8.8,9.1,8.82,5.88,37.73,1.43
25,26,600869,远东股份,4.4,6.8,0.28,337242.0,142479245.0,8.01,4.42,4.09,4.13,4.12,1.52,-37.63,2.2
26,27,300417,南华仪器,10.56,6.67,0.66,103868.0,107269929.65,8.38,10.86,10.03,10.8,9.9,11.95,27.16,3.02
27,28,835579,机科股份,15.65,6.61,0.97,26934.0,40667930.4,8.45,15.74,14.5,14.96,14.68,6.04,146.62,3.93
28,29,301068,大地海洋,24.3,6.53,1.49,5451.0,12799933.12,7.72,24.32,22.56,22.99,22.81,0.5,38.79,3.24
29,30,688679,通源环境,7.98,6.4,0.48,19090.0,14908054.0,8.27,8.18,7.56,7.8,7.5,1.45,180.8,0.93
30,31,002246,北化股份,10.58,6.22,0.62,335474.0,351600196.82,6.43,10.81,10.17,10.26,9.96,6.11,83.79,2.01
31,32,000753,漳州发展,3.26,6.19,0.19,234323.0,75273400.71,5.21,3.28,3.12,3.12,3.07,2.36,43.82,1.19
32,33,300958,建工修复,12.71,6.18,0.74,57901.0,72626679.8,5.76,12.89,12.2,12.58,11.97,6.36,257.14,1.45
33,34,300388,节能国祯,7.07,6.16,0.41,148014.0,102846771.54,5.86,7.14,6.75,7.0,6.66,2.18,12.48,1.12
34,35,301372,科净源,22.7,6.07,1.3,18894.0,41927144.13,7.01,22.98,21.48,21.94,21.4,4.62,-22.72,1.79
35,36,300070,碧水源,5.26,6.05,0.3,1706687.0,898493200.72,10.69,5.53,5.0,5.53,4.96,4.97,-131.21,0.7
36,37,301079,邵阳液压,15.9,5.93,0.89,76319.0,119248063.74,5.73,15.96,15.1,15.1,15.01,13.54,83.49,3.54
37,38,688156,路德环境,12.83,5.86,0.71,20868.0,26472240.0,8.0,13.27,12.3,12.81,12.12,2.26,429.46,1.44
38,39,601369,陕鼓动力,8.68,5.85,0.48,186561.0,157268073.0,6.1,8.72,8.22,8.3,8.2,1.1,16.34,1.75
39,40,300887,谱尼测试,8.16,5.84,0.45,154305.0,122466874.14,5.45,8.19,7.77,7.8,7.71,4.26,-12.99,1.35
40,41,301026,浩通科技,30.71,5.79,1.68,16164.0,48428638.44,5.58,30.74,29.12,29.12,29.03,2.21,22.65,2.38
41,42,600388,龙净环保,12.5,5.75,0.68,115974.0,142432319.0,5.33,12.53,11.9,11.9,11.82,1.07,15.66,1.76
42,43,300422,博世科,4.79,5.74,0.26,125918.0,59648722.51,5.08,4.85,4.62,4.68,4.53,3.02,48.63,1.21
43,44,300203,聚光科技,16.59,5.74,0.9,247849.0,401952577.0,10.9,17.11,15.4,16.95,15.69,5.53,81.71,2.52
44,45,605303,园林股份,7.19,5.74,0.39,34406.0,24309214.0,5.0,7.24,6.9,7.0,6.8,2.13,-9.59,1.0
