,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,003042,中农联合,14.42,9.99,1.31,47296,67823865.0,8.01,14.42,13.37,13.37,13.11,3.71,-31.53,1.42
1,2,002215,诺 普 信,8.57,3.5,0.29,177486,147831222.31,5.31,8.59,8.15,8.35,8.28,2.24,7.8,2.2
2,3,000713,丰乐种业,6.26,2.79,0.17,92550,57149468.58,3.61,6.26,6.04,6.08,6.09,1.51,-86.02,2.0
3,4,000553,安道麦A,5.24,1.95,0.1,47674,24653231.0,2.92,5.24,5.09,5.16,5.14,0.22,-6.82,0.58
4,5,300575,中旗股份,6.42,1.42,0.09,40653,25816474.68,3.16,6.44,6.24,6.32,6.33,1.19,34.75,1.39
5,6,600486,扬农化工,59.48,1.28,0.75,16642,97716160.0,3.87,59.78,57.51,59.28,58.73,0.41,15.85,2.39
6,7,600141,兴发集团,22.67,1.25,0.28,144603,323081021.0,3.35,22.72,21.97,22.44,22.39,1.31,15.53,1.21
7,8,002004,华邦健康,4.53,0.89,0.04,165410,74354583.0,2.9,4.55,4.42,4.49,4.49,0.88,14.3,0.9
8,9,600389,江山股份,14.24,0.78,0.11,43725,61395375.0,3.18,14.25,13.8,14.13,14.13,1.02,17.95,1.63
9,10,301035,润丰股份,45.3,0.64,0.29,9749,43420248.8,4.53,45.75,43.71,45.75,45.01,0.35,34.72,1.96
10,11,600596,新安股份,8.1,0.62,0.05,109123,87568961.0,2.86,8.13,7.9,8.07,8.05,0.84,41.66,0.86
11,12,603077,和邦生物,2.01,0.5,0.01,548981,109751667.0,3.0,2.03,1.97,2.02,2.0,0.62,46.16,0.94
12,13,603599,广信股份,11.62,0.43,0.05,67582,77871996.0,3.46,11.75,11.35,11.43,11.57,0.74,12.83,1.13
13,14,000525,*ST红阳,9.26,-0.54,-0.05,98128,90615100.0,4.08,9.43,9.05,9.22,9.31,1.69,126.65,5.95
