,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300865,大宏立,19.79,20.01,3.3,46187.0,86121101.5,19.95,19.79,16.5,16.96,16.49,6.82,85.9,2.17
1,2,300588,熙菱信息,15.12,20.0,2.52,266713.0,371399757.17,19.76,15.12,12.63,12.85,12.6,19.95,-68.53,8.03
2,3,300355,蒙草生态,5.34,20.0,0.89,5517191.0,2898712870.06,8.09,5.34,4.98,5.34,4.45,40.39,169.42,1.97
3,4,300114,中航电测,69.67,20.0,11.61,657665.0,4505268961.12,10.11,69.67,63.8,63.8,58.06,11.13,244.94,16.64
4,5,301357,北方长龙,35.59,19.99,5.93,59337.0,205730772.17,11.36,35.59,32.22,32.6,29.66,24.93,-408.39,2.99
5,6,300581,晨曦航空,10.92,19.08,1.75,502770.0,530786538.93,15.7,11.0,9.56,9.56,9.17,9.14,-118.33,6.0
6,7,831370,新安洁,3.7,18.97,0.59,285494.0,101184106.67,19.29,3.88,3.28,3.35,3.11,10.67,-31.06,1.66
7,8,920008,成电光信,40.15,18.86,6.37,56973.0,219092617.32,28.27,42.15,32.6,33.5,33.78,23.87,47.41,9.46
8,9,836239,长虹能源,32.6,15.89,4.47,55022.0,172869691.59,17.92,33.54,28.5,29.0,28.13,11.07,24.56,5.31
9,10,300540,蜀道装备,23.46,12.52,2.61,51693.0,118905885.54,19.86,24.99,20.85,21.01,20.85,3.56,11603.8,3.78
10,11,833873,中设咨询,4.53,12.41,0.5,141442.0,60202049.9,16.38,4.64,3.98,4.22,4.03,12.95,-9.11,1.82
11,12,688629,华丰科技,28.51,12.38,3.14,135731.0,367741145.0,13.36,29.05,25.66,25.8,25.37,8.24,-366.57,8.98
12,13,688550,瑞联新材,26.84,11.46,2.76,69905.0,180431219.0,10.92,27.13,24.5,24.5,24.08,4.0,24.6,1.63
13,14,600939,重庆建工,2.82,10.16,0.26,485211.0,133625720.0,6.25,2.82,2.66,2.7,2.56,2.55,-142.31,0.67
14,15,002480,新筑股份,4.47,10.1,0.41,201910.0,87185440.06,9.11,4.47,4.1,4.18,4.06,2.63,-9.42,2.77
15,16,600326,西藏天路,6.56,10.07,0.6,2052086.0,1297604239.0,11.24,6.56,5.89,5.89,5.96,15.76,-63.55,2.27
16,17,600239,云南城投,3.28,10.07,0.3,3989417.0,1287705085.0,9.73,3.28,2.99,3.28,2.98,24.85,64.09,3.74
17,18,000563,陕国投Ａ,3.72,10.06,0.34,3792195.0,1397640634.39,4.44,3.72,3.57,3.68,3.38,7.42,13.86,1.09
18,19,000595,宝塔实业,10.29,10.05,0.94,777101.0,782893508.82,6.42,10.29,9.69,9.75,9.35,6.83,-182.29,24.91
19,20,000514,渝 开 发,4.49,10.05,0.41,960059.0,425796634.55,4.66,4.49,4.3,4.49,4.08,11.38,-57.58,1.02
20,21,601077,渝农商行,6.03,10.04,0.55,2546655.0,1506047262.0,7.48,6.03,5.62,5.62,5.48,2.88,4.65,0.56
21,22,000617,中油资本,9.32,10.04,0.85,8892719.0,8163182967.62,7.56,9.32,8.68,9.0,8.47,7.03,19.35,1.15
22,23,000628,高新发展,54.29,10.01,4.94,298287.0,1530548653.22,13.5,54.29,47.63,48.32,49.35,15.53,162.97,9.05
23,24,002827,高争民爆,29.57,10.01,2.69,196884.0,563920345.22,10.75,29.57,26.68,27.15,26.88,7.13,74.12,9.77
24,25,600678,四川金顶,6.49,10.0,0.59,724935.0,458925497.0,6.61,6.49,6.1,6.2,5.9,20.77,-101.46,10.21
25,26,002302,西部建设,7.26,10.0,0.66,1138133.0,808977709.08,8.03,7.26,6.73,6.86,6.6,9.02,814.09,1.0
26,27,000935,四川双马,15.18,10.0,1.38,146649.0,217283092.6,5.8,15.18,14.38,14.5,13.8,1.92,51.11,1.6
27,28,000801,四川九洲,10.12,10.0,0.92,403508.0,390631764.68,8.7,10.12,9.32,9.4,9.2,3.95,76.39,3.54
28,29,000697,炼石航空,7.71,9.99,0.7,361245.0,274577091.91,11.41,7.71,6.91,7.04,7.01,6.41,-25.31,22.56
29,30,603261,立航科技,30.07,9.99,2.73,46826.0,136667732.0,9.18,30.07,27.56,27.56,27.34,17.81,-48.29,2.96
30,31,835640,富士达,16.09,9.98,1.46,22085.0,34133128.72,12.3,16.16,14.36,14.85,14.63,1.25,44.89,3.57
31,32,002272,川润股份,5.98,9.93,0.54,966083.0,564621097.27,11.21,5.98,5.37,5.47,5.44,25.45,-25.62,1.82
32,33,002628,成都路桥,2.77,9.92,0.25,259114.0,71226854.4,4.37,2.77,2.66,2.7,2.52,3.43,-37.61,0.71
33,34,300159,新研股份,3.01,9.85,0.27,1445719.0,434157802.99,14.6,3.2,2.8,2.8,2.74,9.82,-16.5,-44.55
34,35,300093,金刚光伏,17.73,9.72,1.57,309043.0,535848792.19,12.69,18.65,16.6,16.6,16.16,14.35,-8.59,-17.31
35,36,301027,华蓝集团,9.94,9.59,0.87,120113.0,115700993.3,7.94,9.98,9.26,9.38,9.07,10.17,-35.57,1.56
36,37,300564,筑博设计,11.77,9.59,1.03,130743.0,153643369.92,22.53,12.89,10.47,10.94,10.74,11.55,-31.62,1.53
37,38,600877,电科芯片,13.9,9.54,1.21,287422.0,382319272.0,11.82,13.96,12.46,12.69,12.69,3.12,214.46,6.77
