,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600657,信达地产,4.46,10.12,0.41,355784,158679664.0,0.0,4.46,4.46,4.46,4.05,1.25,59.75,0.51
1,2,600120,浙江东方,4.57,10.12,0.42,1648151,735928257.0,6.99,4.57,4.28,4.57,4.15,4.83,61.12,1.05
2,3,000563,陕国投Ａ,3.72,10.06,0.34,3792195,1397640634.39,4.44,3.72,3.57,3.68,3.38,7.42,13.86,1.09
3,4,600837,海通证券,11.68,9.98,1.06,6381186,7358151852.0,5.56,11.68,11.09,11.68,10.62,6.61,80.05,0.94
4,5,000652,泰达股份,4.2,9.95,0.38,799915,326043569.27,6.81,4.2,3.94,4.07,3.82,5.43,31.3,1.09
5,6,601211,国泰君安,19.3,8.49,1.51,5124266,9821912177.0,8.54,19.57,18.05,19.57,17.79,6.85,17.13,1.16
6,7,601600,中国铝业,9.13,7.16,0.61,3476748,3134149437.0,5.87,9.22,8.72,8.72,8.52,2.65,11.16,2.43
7,8,600219,南山铝业,4.43,7.0,0.29,1879276,817549817.0,7.0,4.47,4.18,4.22,4.14,1.61,11.85,1.06
8,9,002142,宁波银行,26.05,6.81,1.66,602089,1539098894.02,5.04,26.13,24.9,24.99,24.39,0.92,6.3,0.89
9,10,600435,北方导航,10.84,6.59,0.67,378322,400453410.0,6.1,10.88,10.26,10.34,10.17,2.52,-109.73,6.26
10,11,600048,保利发展,10.9,6.34,0.65,2991470,3197257784.0,7.22,11.15,10.41,10.59,10.25,2.5,8.79,0.67
11,12,002246,北化股份,10.58,6.22,0.62,335583,351715518.82,6.43,10.81,10.17,10.26,9.96,6.11,83.79,2.01
12,13,001979,招商蛇口,11.28,6.11,0.65,1716472,1904865636.38,4.89,11.32,10.8,10.95,10.63,2.06,36.06,1.06
13,14,600383,金地集团,5.38,6.11,0.31,2354921,1238690052.0,7.69,5.45,5.06,5.27,5.07,5.22,-3.61,0.39
14,15,600376,首开股份,2.79,6.08,0.16,483803,131962998.0,4.56,2.79,2.67,2.71,2.63,1.88,-1.85,0.45
15,16,002073,软控股份,7.96,5.99,0.45,284807,222702853.0,4.26,7.98,7.66,7.67,7.51,2.96,21.03,1.48
16,17,600606,绿地控股,2.01,5.79,0.11,1667029,330820498.0,7.37,2.06,1.92,2.04,1.9,1.19,67.37,0.35
17,18,000062,深圳华强,26.3,5.71,1.42,515381,1290639895.12,9.57,26.4,24.02,24.48,24.88,4.93,77.9,3.85
18,19,601668,中国建筑,6.39,5.62,0.34,5457773,3449732248.0,4.79,6.47,6.18,6.18,6.05,1.32,4.51,0.61
19,20,002244,滨江集团,10.46,5.44,0.54,739396,769147076.41,5.85,10.67,10.09,10.2,9.92,2.76,13.95,1.23
20,21,000768,中航西飞,28.49,5.4,1.46,459010,1300169757.83,5.88,28.82,27.23,27.31,27.03,1.66,60.3,3.97
21,22,000997,新 大 陆,16.69,5.3,0.84,255556,415450839.37,5.36,16.75,15.9,16.01,15.85,2.49,16.25,2.57
22,23,600325,华发股份,7.05,5.22,0.35,725845,500917895.0,5.22,7.05,6.7,6.93,6.7,2.82,7.67,0.84
23,24,601939,建设银行,8.58,5.15,0.42,2259484,1913414612.0,4.66,8.63,8.25,8.25,8.16,2.36,6.53,0.71
24,25,600021,上海电力,9.37,5.04,0.45,751240,696802267.0,3.81,9.45,9.11,9.2,8.92,2.87,9.94,1.4
25,26,000786,北新建材,32.84,4.99,1.56,170455,547298038.71,4.8,32.87,31.37,31.61,31.28,1.04,12.53,2.29
26,27,600570,恒生电子,24.54,4.96,1.16,819123,1908937969.0,8.85,24.56,22.49,23.52,23.38,4.32,777.55,5.96
27,28,000425,徐工机械,7.84,4.95,0.37,1346644,1051995765.88,6.43,7.95,7.47,7.47,7.47,1.66,12.5,1.55
28,29,000598,兴蓉环境,7.59,4.55,0.33,336989,254638447.05,5.37,7.75,7.36,7.36,7.26,1.13,12.2,1.33
29,30,002724,海洋王,5.07,4.54,0.22,64247,31832368.22,4.54,5.08,4.86,4.88,4.85,1.12,45.31,1.4
30,31,601155,新城控股,14.43,4.49,0.62,461739,655291556.0,5.65,14.6,13.82,14.1,13.81,2.05,12.35,0.53
31,32,601166,兴业银行,19.83,4.37,0.83,1134471,2231300600.0,3.63,19.96,19.27,19.27,19.0,0.55,4.78,0.57
32,33,000002,万  科Ａ,9.49,4.29,0.39,2948170,2755776113.86,4.07,9.53,9.16,9.41,9.1,3.03,-5.75,0.47
33,34,601012,隆基绿能,16.88,4.2,0.68,1171612,1928658217.0,4.75,16.9,16.13,16.35,16.2,1.55,-12.2,2.0
34,35,601992,金隅集团,1.74,4.19,0.07,579273,99573262.0,3.59,1.75,1.69,1.69,1.67,0.7,-11.52,0.42
35,36,600633,浙数文化,10.24,4.17,0.41,163580,162030540.0,7.53,10.33,9.59,9.83,9.83,1.29,44.01,1.34
36,37,600743,华远地产,1.5,4.17,0.06,354235,52663018.0,3.47,1.51,1.46,1.49,1.44,1.51,-4.49,15.1
37,38,601288,农业银行,5.03,4.14,0.2,7679540,3822768147.0,3.73,5.06,4.88,4.9,4.83,0.24,6.48,0.71
38,39,002153,石基信息,7.21,4.04,0.28,212682,148588246.12,5.77,7.24,6.84,6.95,6.93,1.33,397.96,2.69
39,40,600252,中恒集团,2.33,4.02,0.09,467669,107609683.0,4.91,2.35,2.24,2.29,2.24,1.37,183.53,1.27
40,41,000031,大悦城,3.15,3.96,0.12,289791,89430072.52,5.61,3.17,3.0,3.09,3.03,0.72,-18.56,1.01
41,42,601800,中国交建,10.91,3.9,0.41,2054295,2231747149.0,9.05,11.2,10.25,10.4,10.5,1.75,7.79,0.65
42,43,603328,依顿电子,9.58,3.9,0.36,223836,209744849.0,4.66,9.59,9.16,9.16,9.22,2.24,18.37,2.48
43,44,600585,海螺水泥,25.84,3.9,0.97,379441,976957819.0,4.1,26.15,25.13,25.13,24.87,0.95,20.59,0.75
44,45,601601,中国太保,38.67,3.84,1.43,410850,1564895984.0,4.83,38.85,37.05,37.7,37.24,0.6,7.4,1.39
45,46,000631,顺发恒业,2.71,3.83,0.1,147771,39398234.04,4.21,2.74,2.63,2.67,2.61,0.62,97.57,1.14
46,47,600031,三一重工,18.59,3.8,0.68,860507,1588541294.0,3.63,18.65,18.0,18.0,17.91,1.02,22.05,2.28
47,48,601186,中国铁建,9.68,3.75,0.35,2085738,2023608135.0,7.72,10.09,9.37,9.37,9.33,1.81,5.52,0.51
48,49,601998,中信银行,6.97,3.72,0.25,901235,620861166.0,2.98,6.98,6.78,6.82,6.72,0.23,5.25,0.57
49,50,300033,同花顺,188.96,3.7,6.74,218272,3926847417.81,9.89,190.0,171.98,184.0,182.22,7.98,139.97,15.61
50,51,002475,立讯精密,43.75,3.67,1.55,581189,2512280452.57,4.72,43.84,41.85,41.85,42.2,0.81,29.29,5.36
51,52,600061,国投资本,7.79,3.59,0.27,758245,574388214.0,6.25,7.82,7.35,7.64,7.52,1.18,20.01,0.99
52,53,000001,平安银行,12.14,3.58,0.42,1927963,2313585605.02,3.33,12.18,11.79,11.98,11.72,0.99,4.55,0.57
53,54,600636,国新文化,9.0,3.57,0.31,57475,50791059.0,4.14,9.0,8.64,8.85,8.69,1.31,-53.73,1.63
54,55,601898,中煤能源,14.37,3.53,0.49,282663,401275367.0,5.98,14.51,13.68,13.95,13.88,0.31,9.73,1.29
55,56,600170,上海建工,2.35,3.52,0.08,1537515,357345887.0,3.08,2.36,2.29,2.32,2.27,1.73,12.63,0.69
56,57,002236,大华股份,16.47,3.52,0.56,470570,760178648.81,3.96,16.5,15.87,15.9,15.91,2.24,14.98,1.56
57,58,000651,格力电器,50.29,3.5,1.7,431450,2140613425.85,3.54,50.38,48.66,48.66,48.59,0.78,10.02,2.4
58,59,601666,平煤股份,10.69,3.48,0.36,479561,506236187.0,5.13,10.78,10.25,10.4,10.33,1.94,9.5,1.12
59,60,601117,中国化学,8.24,3.39,0.27,799588,648250070.0,3.76,8.25,7.95,8.03,7.97,1.32,8.87,0.83
60,61,601231,环旭电子,15.4,3.36,0.5,134866,202311248.0,4.9,15.41,14.68,14.91,14.9,0.61,21.71,2.05
61,62,000069,华侨城Ａ,2.78,3.35,0.09,1319674,362490563.46,5.95,2.83,2.67,2.79,2.69,1.91,-10.58,0.39
62,63,002053,云南能投,12.46,3.32,0.4,51356,62951275.57,4.98,12.57,11.97,12.13,12.06,0.56,10.09,1.57
63,64,600064,南京高科,6.9,3.29,0.22,246842,167763674.0,3.44,6.91,6.68,6.83,6.68,1.43,5.84,0.66
64,65,600000,浦发银行,10.49,3.25,0.33,726175,754912852.0,2.85,10.54,10.25,10.31,10.16,0.25,5.7,0.49
65,66,002415,海康威视,30.59,3.24,0.96,660048,1993903929.16,4.05,30.71,29.51,29.63,29.63,0.72,27.89,3.83
66,67,601398,工商银行,6.47,3.19,0.2,6220109,3995749085.0,2.87,6.5,6.32,6.32,6.27,0.23,6.76,0.66
67,68,600663,陆家嘴,10.12,3.16,0.31,96875,96726667.0,3.98,10.2,9.81,10.0,9.81,0.33,45.85,2.06
68,69,601818,光大银行,3.6,3.15,0.11,1727893,617188200.0,2.87,3.62,3.52,3.53,3.49,0.37,4.34,0.46
69,70,601328,交通银行,7.6,3.12,0.23,1947044,1475339223.0,3.53,7.68,7.42,7.42,7.37,0.5,6.23,0.61
70,71,600690,海尔智家,32.43,3.12,0.98,360659,1150658219.0,4.23,32.49,31.16,31.57,31.45,0.58,14.6,2.88
