,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,830799,艾融软件,35.05,28.2,7.71,231608,684695437.69,36.94,35.5,25.4,29.0,27.34,19.19,176.42,20.07
1,2,300674,宇信科技,22.43,20.01,3.74,1537163,3250291460.39,14.34,22.43,19.75,21.68,18.69,21.86,48.45,3.91
2,3,300339,润和软件,60.46,20.01,10.08,2407731,12750368515.21,32.67,60.46,44.0,51.3,50.38,30.96,284.03,14.15
3,4,300663,科蓝软件,26.4,17.54,3.94,1573152,3707620887.5,21.02,26.75,22.03,23.88,22.46,37.92,-1799.23,11.92
4,5,300468,四方精创,23.73,14.92,3.08,2045539,4743721575.41,18.89,24.78,20.88,24.78,20.65,38.68,171.08,7.81
5,6,301236,软通动力,66.47,14.27,8.3,1016191,6157068451.49,22.64,67.79,54.62,58.0,58.17,14.94,-205.22,6.18
6,7,002094,青岛金王,3.26,10.14,0.3,1219524,388733756.39,8.45,3.26,3.01,3.26,2.96,17.66,27.75,1.52
7,8,000617,中油资本,9.32,10.04,0.85,8892125,8162629359.62,7.56,9.32,8.68,9.0,8.47,7.03,19.35,1.15
8,9,300542,新晨科技,20.2,9.25,1.71,401370,778433527.28,11.03,20.44,18.4,19.7,18.49,16.29,-210.67,9.49
9,10,600839,四川长虹,6.13,8.3,0.47,2805178,1648777411.0,9.01,6.18,5.67,5.77,5.66,6.08,50.45,1.97
10,11,300047,天源迪科,16.73,7.94,1.23,1474873,2239641299.38,18.71,16.95,14.05,15.5,15.5,26.83,174.31,3.2
11,12,300348,长亮科技,14.78,6.33,0.88,801831,1116322995.79,11.73,14.8,13.17,14.52,13.9,12.81,3238.56,5.96
12,13,002987,京北方,17.18,6.05,0.98,872934,1478125012.95,9.94,17.78,16.17,17.0,16.2,14.54,44.26,4.08
13,14,002948,青岛银行,3.74,5.35,0.19,553576,203512867.7,3.94,3.75,3.61,3.62,3.55,1.78,4.12,0.61
14,15,300773,拉卡拉,21.56,5.27,1.08,857781,1783001462.63,11.91,21.99,19.55,21.78,20.48,11.68,20.56,5.0
15,16,688590,新致软件,14.53,5.21,0.72,94947,132982672.0,8.25,14.64,13.5,14.31,13.81,3.64,89.14,2.8
16,17,601939,建设银行,8.58,5.15,0.42,2256896,1911192489.0,4.66,8.63,8.25,8.25,8.16,2.35,6.53,0.71
17,18,003029,吉大正元,22.3,4.65,0.99,141316,308741913.0,8.45,22.4,20.6,21.8,21.31,8.27,-69.22,3.43
18,19,301171,易点天下,16.96,4.5,0.73,168489,277190700.09,6.47,17.02,15.97,16.58,16.23,5.46,30.34,2.29
19,20,600850,电科数字,21.42,4.39,0.9,97579,202268599.0,6.87,21.54,20.13,20.8,20.52,1.6,54.78,3.34
20,21,601166,兴业银行,19.8,4.21,0.8,1133809,2229988598.0,3.63,19.96,19.27,19.27,19.0,0.55,4.78,0.56
21,22,300079,数码视讯,5.47,4.19,0.22,447199,238504416.19,5.9,5.5,5.19,5.28,5.25,3.49,6657.32,1.86
22,23,601288,农业银行,5.03,4.14,0.2,7675210,3820587620.0,3.73,5.06,4.88,4.9,4.83,0.24,6.48,0.71
23,24,002153,石基信息,7.21,4.04,0.28,212472,148436907.12,5.77,7.24,6.84,6.95,6.93,1.33,397.96,2.69
24,25,300872,天阳科技,16.0,3.76,0.58,231458,357628705.83,8.24,16.07,14.8,15.72,15.42,6.77,35.79,2.45
25,26,000001,平安银行,12.12,3.41,0.4,1926589,2311918745.02,3.33,12.18,11.79,11.98,11.72,0.99,4.54,0.57
26,27,600000,浦发银行,10.49,3.25,0.33,725668,754380820.0,2.85,10.54,10.25,10.31,10.16,0.25,5.7,0.49
27,28,601398,工商银行,6.47,3.19,0.2,6213261,3991313246.0,2.87,6.5,6.32,6.32,6.27,0.23,6.76,0.66
28,29,601328,交通银行,7.6,3.12,0.23,1942686,1472026729.0,3.53,7.68,7.42,7.42,7.37,0.49,6.23,0.61
29,30,300379,东方通,16.88,3.12,0.51,720753,1142215432.62,13.32,17.16,14.98,16.68,16.37,13.69,-28.34,2.68
30,31,300465,高伟达,12.86,2.96,0.37,519252,634201609.34,11.29,12.92,11.51,12.74,12.49,11.62,333.16,8.74
31,32,000555,神州信息,10.89,2.93,0.31,190943,201329307.55,6.05,10.9,10.26,10.71,10.58,1.96,-69.42,1.75
32,33,600016,民生银行,4.0,2.83,0.11,2625961,1043012594.0,2.06,4.01,3.93,3.95,3.89,0.74,3.9,0.32
33,34,600036,招商银行,39.5,2.78,1.07,994212,3903094415.0,2.89,39.8,38.69,39.01,38.43,0.48,6.66,1.04
34,35,600015,华夏银行,7.5,2.74,0.2,481131,358092611.0,2.74,7.55,7.35,7.36,7.3,0.31,4.79,0.42
35,36,002065,东华软件,5.72,2.69,0.15,495269,275359251.8,5.39,5.73,5.43,5.59,5.57,1.7,31.67,1.56
36,37,601988,中国银行,5.15,2.59,0.13,3087777,1584456881.0,2.39,5.18,5.06,5.07,5.02,0.15,6.39,0.66
37,38,600571,信雅达,11.75,2.0,0.23,340896,392897173.0,6.6,11.96,11.2,11.87,11.52,7.45,-46.97,4.75
38,39,002152,广电运通,11.55,1.94,0.22,369619,419949481.82,4.85,11.58,11.03,11.5,11.33,1.49,28.78,2.35
39,40,300541,先进数通,13.06,1.87,0.24,375391,467331509.02,9.28,13.1,11.91,13.02,12.82,10.28,356.28,3.49
40,41,002647,仁东控股,6.76,1.35,0.09,476382,316879767.9,9.3,6.98,6.36,6.78,6.67,8.51,-16.71,-49.29
41,42,000948,南天信息,19.81,1.12,0.22,309374,589461329.0,8.01,19.88,18.31,19.6,19.59,8.02,153.77,2.98
42,43,688201,信安世纪,10.14,0.9,0.09,151473,148099251.0,8.46,10.24,9.39,10.08,10.05,5.01,-48.04,2.45
43,44,300130,新国都,24.99,0.89,0.22,533552,1273108049.15,11.1,25.65,22.9,25.45,24.77,12.49,15.6,3.17
44,45,301208,中亦科技,42.16,0.5,0.21,94781,377000629.68,11.51,42.63,37.8,42.14,41.95,21.85,63.91,3.42
45,46,600811,东方集团,1.74,0.0,0.0,1560293,266908744.0,4.6,1.76,1.68,1.7,1.74,4.26,34.69,0.38
46,47,600415,小商品城,11.06,-0.36,-0.04,3737157,4279919583.0,15.32,12.21,10.51,12.02,11.1,6.83,20.95,3.36
47,48,300180,华峰超纤,9.01,-1.96,-0.18,3424022,2945566164.87,18.5,9.6,7.9,9.58,9.19,23.05,116.55,3.43
48,49,002537,海联金汇,6.35,-3.5,-0.23,1049112,657053457.82,12.01,6.75,5.96,6.75,6.58,8.94,69.52,1.83
