,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300197,节能铁汉,2.01,12.29,0.22,2417941,488916464.69,13.41,2.15,1.91,1.94,1.79,8.15,-7.25,1.51
1,2,300087,荃银高科,7.74,5.88,0.43,239078,178770059.36,8.07,7.84,7.25,7.33,7.31,2.67,-164.86,4.03
2,3,837403,康农种业,9.69,5.21,0.48,13089,12337532.36,6.51,9.71,9.11,9.25,9.21,4.39,44.41,1.67
3,4,833819,颖泰生物,3.13,3.3,0.1,49680,15197702.51,4.95,3.14,2.99,3.03,3.03,0.41,-24.17,0.69
4,5,000713,丰乐种业,6.25,2.63,0.16,92453,57088839.58,3.61,6.26,6.04,6.08,6.09,1.51,-85.88,2.0
5,6,002041,登海种业,9.04,2.61,0.23,84443,75317008.58,3.41,9.06,8.76,8.89,8.81,0.96,75.43,2.22
6,7,000998,隆平高科,10.56,2.23,0.23,170391,177679341.77,2.81,10.59,10.3,10.46,10.33,1.3,62.48,2.73
7,8,688265,南模生物,24.9,2.22,0.54,2499,6109492.0,3.69,24.9,24.0,24.75,24.36,0.51,-106.16,1.14
8,9,600371,万向德农,7.55,1.89,0.14,19480,14570238.0,2.16,7.57,7.41,7.41,7.41,0.67,26.96,3.93
9,10,600313,农发种业,6.07,1.85,0.11,109233,65538179.0,2.35,6.08,5.94,6.0,5.96,1.01,59.47,3.42
10,11,600354,敦煌种业,5.32,1.72,0.09,70154,37045904.0,2.49,5.34,5.21,5.23,5.23,1.33,44.71,4.46
11,12,002385,大北农,4.33,1.64,0.07,463706,198489321.37,3.05,4.35,4.22,4.27,4.26,1.4,-60.04,2.26
12,13,002170,芭田股份,6.45,1.1,0.07,95817,61282388.05,3.76,6.49,6.25,6.42,6.38,1.35,19.13,2.22
13,14,002100,天康生物,6.61,1.07,0.07,332198,217333471.06,2.75,6.64,6.46,6.57,6.54,2.43,16.31,1.36
14,15,600596,新安股份,8.11,0.75,0.06,109063,87520329.0,2.86,8.13,7.9,8.07,8.05,0.84,41.71,0.86
