,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300719,安达维尔,21.5,9.97,1.95,278876,590252647.02,11.51,22.3,20.05,20.2,19.55,15.53,191.17,5.21
1,2,000571,新大洲A,3.89,9.89,0.35,213005,81817363.44,5.37,3.89,3.7,3.77,3.54,2.62,-60.96,9.05
2,3,600316,洪都航空,26.11,9.71,2.31,255054,643263003.0,10.08,26.13,23.73,23.73,23.8,3.56,2641.32,3.54
3,4,300542,新晨科技,20.19,9.19,1.7,401555,778807192.28,11.03,20.44,18.4,19.7,18.49,16.3,-210.57,9.49
4,5,002085,万丰奥威,14.43,8.09,1.08,1167753,1619527431.88,9.06,14.5,13.29,13.47,13.35,5.5,38.48,4.56
5,6,300397,天和防务,12.09,7.18,0.81,454172,548619841.57,14.01,12.98,11.4,11.57,11.28,11.46,-113.22,3.88
6,7,600340,华夏幸福,1.5,7.14,0.1,1133668,167257720.0,4.29,1.5,1.44,1.47,1.4,2.91,-0.61,1.26
7,8,603766,隆鑫通用,8.12,6.98,0.53,342549,269342068.0,8.04,8.13,7.52,7.63,7.59,1.67,14.15,1.93
8,9,835508,殷图网联,17.1,6.88,1.1,10512,17435464.58,6.63,17.15,16.09,16.52,16.0,4.04,-112.57,4.37
9,10,002253,川大智胜,11.85,6.85,0.76,106051,122042367.86,6.04,11.9,11.23,11.23,11.09,5.1,-78.23,2.25
10,11,600990,四创电子,22.54,6.57,1.39,111883,240358887.0,11.73,22.54,20.06,20.88,21.15,4.16,-79.07,2.89
11,12,002520,日发精机,4.71,6.56,0.29,266192,122325167.43,5.43,4.72,4.48,4.48,4.42,4.13,-80.56,3.12
12,13,688510,航亚科技,16.19,6.51,0.99,50791,80141393.0,5.92,16.2,15.3,15.44,15.2,1.97,31.12,3.93
13,14,000099,中信海直,17.8,5.95,1.0,449586,781567986.02,6.43,17.88,16.8,16.8,16.8,5.8,52.15,2.67
14,15,002985,北摩高科,22.33,5.93,1.25,48163,105075234.03,4.7,22.35,21.36,21.36,21.08,2.32,55.59,2.9
15,16,001696,宗申动力,14.6,5.57,0.77,707042,1001160416.93,7.38,14.66,13.64,13.9,13.83,7.93,29.65,3.47
16,17,000768,中航西飞,28.53,5.55,1.5,458855,1299728263.83,5.88,28.82,27.23,27.31,27.03,1.66,60.38,3.97
17,18,002984,森麒麟,26.6,5.3,1.34,188261,491189343.5,6.61,26.87,25.2,25.51,25.26,2.69,12.71,2.26
18,19,002542,中化岩土,1.82,5.2,0.09,365080,65585165.73,4.62,1.84,1.76,1.77,1.73,2.28,-6.34,1.7
19,20,600523,贵航股份,12.29,4.86,0.57,86164,104312207.0,4.95,12.33,11.75,11.75,11.72,2.13,33.59,1.68
20,21,002023,海特高新,10.2,4.83,0.47,205963,205907424.3,5.34,10.22,9.7,9.73,9.73,2.78,80.26,1.77
21,22,600705,中航产融,3.69,4.53,0.16,2664172,961360835.0,9.92,3.8,3.45,3.72,3.53,3.03,68.77,0.89
22,23,600893,航发动力,41.71,4.43,1.77,261555,1084789484.0,3.98,42.09,40.5,40.69,39.94,0.98,93.47,2.8
23,24,300185,通裕重工,2.43,4.29,0.1,726575,174658494.4,2.58,2.43,2.37,2.37,2.33,1.98,116.69,1.42
24,25,600862,中航高科,21.89,4.24,0.89,159720,344346500.0,4.19,21.94,21.06,21.37,21.0,1.15,25.26,4.67
25,26,000738,航发控制,22.0,4.02,0.85,120120,262053229.55,4.02,22.18,21.33,21.46,21.15,0.91,30.8,2.4
26,27,002111,威海广泰,10.71,3.98,0.41,94131,99136096.52,3.79,10.75,10.36,10.4,10.3,1.98,26.49,1.87
27,28,002097,山河智能,6.29,3.97,0.24,176761,109104206.36,4.13,6.31,6.06,6.07,6.05,1.65,99.01,1.48
28,29,002149,西部材料,14.77,3.94,0.56,115562,169021091.92,4.71,14.89,14.22,14.27,14.21,2.37,37.71,2.44
29,30,002297,博云新材,6.73,3.86,0.25,82621,55217688.3,3.24,6.78,6.57,6.58,6.48,1.44,834.98,1.82
30,31,600038,中直股份,41.12,3.84,1.52,65732,266596312.0,3.54,41.2,39.8,40.06,39.6,1.12,56.66,2.11
31,32,300135,宝利国际,3.04,3.75,0.11,274243,82710208.88,3.75,3.07,2.96,2.96,2.93,2.98,143.04,2.96
32,33,002146,荣盛发展,1.63,3.16,0.05,1209976,196423364.05,6.33,1.68,1.58,1.65,1.58,3.1,-11.19,0.3
33,34,600561,江西长运,4.93,2.92,0.14,62219,30358934.0,3.76,4.98,4.8,4.98,4.79,2.19,171.09,1.54
34,35,601727,上海电气,4.5,1.58,0.07,531739,237747258.0,2.26,4.52,4.42,4.46,4.43,0.42,58.25,1.31
35,36,002189,中光学,21.87,0.74,0.16,151824,322123948.58,7.05,21.99,20.46,21.99,21.71,5.81,210.97,5.14
36,37,002510,天汽模,4.3,0.7,0.03,307014,129841868.0,3.28,4.31,4.17,4.24,4.27,3.29,19.68,1.91
37,38,600029,南方航空,5.81,0.17,0.01,466220,268175714.0,2.41,5.82,5.68,5.8,5.8,0.37,-42.87,2.97
38,39,600115,中国东航,3.69,0.0,0.0,847938,310576055.0,2.17,3.7,3.62,3.7,3.69,0.58,-14.86,4.76
39,40,601111,中国国航,7.04,-0.71,-0.05,615153,430705559.0,2.96,7.13,6.92,7.1,7.09,0.53,-20.99,3.19
40,41,601021,春秋航空,54.0,-5.56,-3.18,179869,972069879.0,6.44,56.8,53.12,56.8,57.18,1.84,19.42,3.22
