,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002480,新筑股份,4.47,10.1,0.41,201910,87185440.06,9.11,4.47,4.1,4.18,4.06,2.63,-9.42,2.77
1,2,000567,海德股份,7.73,9.96,0.7,189162,146221839.5,0.0,7.73,7.73,7.73,7.03,0.97,19.98,2.87
2,3,600839,四川长虹,6.12,8.13,0.46,2806754,1649742585.0,9.01,6.18,5.67,5.77,5.66,6.08,50.37,1.96
3,4,002169,智光电气,5.37,4.68,0.24,115423,60490179.02,6.82,5.45,5.1,5.14,5.13,1.52,-23.29,1.44
4,5,300080,易成新能,4.03,4.13,0.16,193256,76263441.33,4.65,4.04,3.86,3.87,3.87,1.49,-8.55,1.4
5,6,000655,金岭矿业,5.98,4.0,0.23,79431,47288376.34,5.74,6.14,5.81,5.89,5.75,1.33,22.28,1.09
6,7,601168,西部矿业,18.48,3.59,0.64,323226,587003972.0,4.71,18.53,17.69,17.84,17.84,1.36,13.59,2.8
7,8,600517,国网英大,5.44,3.42,0.18,360879,192514221.0,4.75,5.45,5.2,5.3,5.26,0.63,16.98,1.48
8,9,002978,安宁股份,29.05,3.27,0.92,17350,49400557.01,4.62,29.13,27.83,28.38,28.13,0.58,13.28,1.93
9,10,603067,振华股份,11.74,2.44,0.28,70981,82151668.0,3.4,11.77,11.38,11.6,11.46,1.39,12.4,2.03
10,11,002506,协鑫集成,2.18,2.35,0.05,580552,124342950.68,3.29,2.18,2.11,2.13,2.13,0.99,147.15,5.21
11,12,000709,河钢股份,2.18,1.87,0.04,772286,167487528.93,2.34,2.19,2.14,2.16,2.14,0.75,27.27,0.44
12,13,600101,明星电力,8.4,1.82,0.15,507552,421487327.0,6.79,8.56,8.0,8.26,8.25,9.26,27.13,1.61
13,14,002145,中核钛白,4.05,1.76,0.07,412170,165424509.5,3.77,4.09,3.94,3.98,3.98,1.08,25.76,1.33
14,15,002601,龙佰集团,19.33,1.74,0.33,211216,402692845.15,3.47,19.38,18.72,19.14,19.0,1.06,13.4,1.98
15,16,601727,上海电气,4.5,1.58,0.07,531739,237747258.0,2.26,4.52,4.42,4.46,4.43,0.42,58.25,1.31
16,17,600157,永泰能源,1.32,1.54,0.02,4524277,588979768.0,3.08,1.32,1.28,1.3,1.3,2.04,12.33,0.62
17,18,000629,钒钛股份,2.76,1.47,0.04,691991,188832261.01,3.31,2.77,2.68,2.74,2.72,0.75,93.42,2.08
18,19,600956,新天绿能,7.75,1.04,0.08,52815,40658213.0,2.35,7.8,7.62,7.72,7.67,0.24,11.4,1.52
19,20,600387,*ST海越,2.75,0.73,0.02,26641,7268697.0,2.56,2.77,2.7,2.74,2.73,0.66,28.04,0.45
20,21,002534,西子洁能,11.6,0.52,0.06,74515,85117959.17,4.07,11.67,11.2,11.54,11.54,1.02,12.53,2.14
