,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,872541,铁大科技,7.74,13.99,0.95,49620,35767377.03,14.29,7.75,6.78,6.83,6.79,5.51,34.18,2.81
1,2,873169,七丰精工,8.35,13.14,0.97,74168,60438060.72,14.23,8.48,7.43,7.51,7.38,14.69,68.22,2.22
2,3,002480,新筑股份,4.47,10.1,0.41,201910,87185440.06,9.11,4.47,4.1,4.18,4.06,2.63,-9.42,2.77
3,4,003001,中岩大地,25.48,10.02,2.32,60006,148074125.31,10.32,25.48,23.09,23.65,23.16,8.2,79.91,2.79
4,5,600797,浙大网新,6.07,9.96,0.55,323480,186647436.0,11.59,6.07,5.43,5.52,5.52,3.15,-97.11,1.92
5,6,002271,东方雨虹,14.07,9.84,1.26,1075638,1452013401.26,9.06,14.09,12.93,13.21,12.81,5.57,18.17,1.32
6,7,300455,航天智装,13.97,7.63,0.99,222191,300636539.94,6.86,14.05,13.16,13.19,12.98,3.14,245.79,5.56
7,8,300407,凯发电气,12.01,7.62,0.85,199190,235780339.23,9.86,12.5,11.4,11.52,11.16,8.15,43.51,2.18
8,9,300440,运达科技,6.43,7.17,0.43,140207,87068233.34,7.0,6.45,6.03,6.1,6.0,3.16,98.69,1.82
9,10,600219,南山铝业,4.43,7.0,0.29,1879425,817615694.0,7.0,4.47,4.18,4.22,4.14,1.61,11.85,1.06
10,11,603033,三维股份,14.78,6.95,0.96,85046,122315888.0,8.61,14.82,13.63,14.08,13.82,0.84,126.92,4.4
11,12,605122,四方新材,10.84,6.9,0.7,31020,33010441.0,7.4,11.0,10.25,10.3,10.14,1.8,82.64,0.84
12,13,300213,佳讯飞鸿,7.6,6.74,0.48,293885,215536975.1,7.44,7.63,7.1,7.13,7.12,5.33,84.91,2.04
13,14,003002,壶化股份,20.22,6.65,1.26,71721,138985686.0,9.12,20.3,18.57,19.0,18.96,3.92,32.33,3.14
14,15,603176,汇通集团,4.79,6.44,0.29,61567,28974081.0,6.44,4.82,4.53,4.59,4.5,4.1,29.16,2.09
15,16,002985,北摩高科,22.33,5.93,1.25,48295,105369992.03,4.7,22.35,21.36,21.36,21.08,2.33,55.59,2.9
16,17,601333,广深铁路,3.77,5.9,0.21,676310,247172733.0,6.18,3.78,3.56,3.59,3.56,1.2,14.64,0.99
17,18,300594,朗进科技,16.37,5.75,0.89,32798,52448500.0,5.56,16.38,15.52,15.75,15.48,3.62,-34.47,1.66
18,19,301016,雷尔伟,22.37,5.67,1.2,48110,104840838.9,6.0,22.38,21.11,21.15,21.17,6.7,61.73,3.34
19,20,836208,青矩技术,22.41,5.36,1.14,5106,11231101.7,6.16,22.7,21.39,21.8,21.27,0.92,16.48,2.44
