,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300563,神宇股份,54.02,13.08,6.25,315593,1632390866.37,15.68,54.66,47.17,48.58,47.77,25.65,83.88,9.38
1,2,688629,华丰科技,28.51,12.38,3.14,135731,367741145.0,13.36,29.05,25.66,25.8,25.37,8.24,-366.57,8.98
2,3,688800,瑞可达,34.05,10.52,3.24,76080,241911623.0,16.1,34.46,29.5,30.5,30.81,4.8,41.52,2.7
3,4,002130,沃尔核材,15.68,10.04,1.43,1807706,2755959132.12,10.95,15.68,14.12,14.35,14.25,14.47,23.55,3.88
4,5,600577,精达股份,5.28,9.77,0.47,1116961,566180111.0,11.02,5.29,4.76,4.83,4.81,5.3,19.27,2.13
5,6,301517,陕西华达,52.64,9.3,4.48,35426,178768521.76,8.55,52.82,48.7,49.5,48.16,15.86,115.07,4.25
6,7,301182,凯旺科技,26.61,8.83,2.16,59109,151101286.83,11.21,26.85,24.11,24.54,24.45,16.43,-58.46,2.88
7,8,688668,鼎通科技,41.12,7.31,2.8,59476,236843809.0,7.07,41.21,38.5,39.14,38.32,4.29,57.85,3.29
8,9,300991,创益通,16.58,6.35,0.99,49313,79419048.0,6.41,16.68,15.68,15.84,15.59,5.49,-491.09,3.75
9,10,301067,显盈科技,24.37,5.86,1.35,24974,59300701.8,5.78,24.43,23.1,23.4,23.02,4.46,-398.11,2.84
10,11,300252,金信诺,8.68,5.85,0.48,238185,201262232.09,5.37,8.7,8.26,8.28,8.2,4.44,894.69,2.68
11,12,300843,胜蓝股份,29.12,5.74,1.58,64995,185220260.79,6.1,29.23,27.55,27.55,27.54,4.54,41.72,3.71
12,13,301123,奕东电子,19.14,5.22,0.95,37958,70511740.68,6.27,19.18,18.04,18.32,18.19,4.97,94.9,1.52
13,14,300738,奥飞数据,11.81,4.98,0.56,401514,459232626.35,6.58,11.85,11.11,11.38,11.25,4.16,75.25,3.63
14,15,601137,博威合金,16.82,4.73,0.76,149453,243321119.0,6.29,16.84,15.83,16.15,16.06,1.92,10.31,1.83
15,16,300913,兆龙互连,34.8,4.22,1.41,54943,187373856.18,6.08,35.05,33.02,33.05,33.39,2.59,75.75,8.09
16,17,002897,意华股份,38.28,4.19,1.54,64949,243178695.95,6.04,38.42,36.2,36.7,36.74,3.98,21.42,3.0
17,18,301328,维峰电子,37.77,3.99,1.45,13947,51352641.0,5.4,37.85,35.89,36.93,36.32,4.09,44.02,2.2
18,19,300548,博创科技,21.42,4.03,0.83,78766,164369435.09,5.83,21.45,20.25,20.63,20.59,3.54,223.15,3.73
19,20,300570,太辰光,36.4,3.73,1.31,93833,330254200.0,6.87,36.53,34.12,35.2,35.09,4.88,51.99,6.17
20,21,002475,立讯精密,43.77,3.72,1.57,581274,2512652432.57,4.72,43.84,41.85,41.85,42.2,0.81,29.31,5.36
21,22,603042,华脉科技,11.46,3.52,0.39,56551,63711399.0,3.79,11.49,11.07,11.07,11.07,3.52,-225.63,2.09
22,23,002886,沃特股份,14.04,3.31,0.45,62657,86406365.6,4.19,14.06,13.49,13.58,13.59,3.01,124.41,2.11
23,24,605277,新亚电子,12.79,3.23,0.4,56213,70776148.0,4.6,12.85,12.28,12.4,12.39,1.79,27.57,2.91
24,25,002171,楚江新材,6.53,2.19,0.14,121164,77969691.04,3.91,6.56,6.31,6.43,6.39,0.93,25.64,1.39
25,26,603527,众源新材,8.23,2.24,0.18,64248,52209064.0,3.11,8.24,7.99,8.15,8.05,2.03,20.02,1.34
26,27,002055,得润电子,6.7,2.13,0.14,291741,190002871.04,6.86,6.78,6.33,6.46,6.56,4.93,-21.39,1.61
27,28,600973,宝胜股份,3.93,1.81,0.07,110725,43099637.0,2.59,3.94,3.84,3.88,3.86,0.81,144.43,1.43
