,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300621,维业股份,10.1,19.95,1.68,142221.0,136946231.64,17.34,10.1,8.64,8.7,8.42,7.25,106.12,2.36
1,2,300152,新动力,3.95,13.51,0.47,1115688.0,404972335.11,17.82,4.0,3.38,3.58,3.48,15.66,-192.95,8.91
2,3,300197,节能铁汉,2.01,12.29,0.22,2417841.0,488896364.69,13.41,2.15,1.91,1.94,1.79,8.15,-7.25,1.51
3,4,300649,杭州园林,11.89,11.12,1.19,87320.0,102628337.12,9.81,12.34,11.29,11.5,10.7,8.23,-44.29,3.06
4,5,003001,中岩大地,25.48,10.02,2.32,60004.0,148069029.31,10.32,25.48,23.09,23.65,23.16,8.2,79.91,2.79
5,6,002302,西部建设,7.26,10.0,0.66,1138113.0,808963189.08,8.03,7.26,6.73,6.86,6.6,9.02,814.09,1.0
6,7,002271,东方雨虹,14.09,9.99,1.28,1069693.0,1443643168.98,9.06,14.09,12.93,13.21,12.81,5.54,18.2,1.33
7,8,600550,保变电气,9.92,9.98,0.9,1793192.0,1733392997.0,11.2,9.92,8.91,8.96,9.02,9.74,400.87,34.55
8,9,002410,广联达,14.11,9.98,1.28,652799.0,875919539.26,10.21,14.11,12.8,13.08,12.83,4.11,60.76,3.96
9,10,000826,启迪环境,2.02,9.78,0.18,594226.0,117153215.6,5.98,2.02,1.91,1.96,1.84,4.17,-6.57,0.72
10,11,300212,易华录,27.68,8.98,2.28,481506.0,1275564216.78,10.79,27.88,25.14,25.4,25.4,6.9,-27.04,6.18
11,12,002717,岭南股份,2.03,8.56,0.16,2152671.0,420308078.31,8.56,2.05,1.89,1.89,1.87,13.99,-6.88,1.85
12,13,002049,紫光国微,67.43,8.43,5.24,373890.0,2397783197.01,10.05,68.0,61.75,62.2,62.19,4.4,38.84,4.92
13,14,300210,森远股份,10.18,8.18,0.77,201978.0,197236730.6,8.61,10.21,9.4,9.58,9.41,4.18,-69.79,11.75
14,15,000158,常山北明,19.12,8.08,1.43,3862000.0,6826108858.91,18.94,19.34,15.99,16.84,17.69,24.32,-62.73,5.45
15,16,300732,设研院,8.14,7.81,0.59,172525.0,136482221.66,7.55,8.2,7.63,7.68,7.55,5.33,-15.09,0.97
16,17,300374,中铁装配,19.42,7.59,1.37,418049.0,799098899.0,16.45,20.46,17.49,17.49,18.05,20.55,-48.86,5.57
17,18,300407,凯发电气,12.0,7.53,0.84,199133.0,235711897.23,9.86,12.5,11.4,11.52,11.16,8.15,43.47,2.18
18,19,600266,城建发展,5.75,7.48,0.4,959653.0,533369632.0,7.29,5.78,5.39,5.5,5.35,4.62,-43.34,0.6
19,20,600133,东湖高新,9.65,7.34,0.66,395469.0,366879985.0,9.12,9.78,8.96,9.09,8.99,3.71,62.43,1.23
20,21,600340,华夏幸福,1.5,7.14,0.1,1133668.0,167257720.0,4.29,1.5,1.44,1.47,1.4,2.91,-0.61,1.26
21,22,300334,津膜科技,6.47,7.12,0.43,107832.0,68571859.0,7.78,6.59,6.12,6.12,6.04,3.57,695.86,3.44
22,23,002205,国统股份,8.26,6.99,0.54,105576.0,84923047.78,8.42,8.44,7.79,7.8,7.72,5.68,-16.56,2.62
23,24,603153,上海建科,18.79,6.94,1.22,130855.0,244430383.0,4.04,19.0,18.29,18.5,17.57,9.69,49.96,2.26
24,25,300284,苏交科,9.43,6.92,0.61,702680.0,638814621.81,8.05,9.51,8.8,9.1,8.82,5.88,37.73,1.43
25,26,300446,航天智造,16.14,6.53,0.99,240563.0,374522751.8,6.47,16.14,15.16,15.27,15.15,7.72,17.63,2.82
26,27,603176,汇通集团,4.78,6.22,0.28,61498.0,28941098.0,6.44,4.82,4.53,4.59,4.5,4.1,29.1,2.08
27,28,600376,首开股份,2.79,6.08,0.16,482796.0,131682857.0,4.56,2.79,2.67,2.71,2.63,1.87,-1.85,0.45
28,29,300977,深圳瑞捷,18.91,6.06,1.08,35388.0,65089887.49,6.23,18.94,17.83,18.15,17.83,9.13,135.95,2.06
29,30,300070,碧水源,5.26,6.05,0.3,1706623.0,898459574.72,10.69,5.53,5.0,5.53,4.96,4.97,-131.21,0.7
30,31,001979,招商蛇口,11.27,6.02,0.64,1714760.0,1902933167.38,4.89,11.32,10.8,10.95,10.63,2.06,36.03,1.06
31,32,000062,深圳华强,26.36,5.95,1.48,514309.0,1287815999.12,9.57,26.4,24.02,24.48,24.88,4.92,78.08,3.86
32,33,000401,冀东水泥,5.41,5.87,0.3,197782.0,105310696.33,3.91,5.42,5.22,5.3,5.11,1.28,-8.92,0.52
33,34,600606,绿地控股,2.01,5.79,0.11,1666391.0,330691664.0,7.37,2.06,1.92,2.04,1.9,1.19,67.37,0.35
34,35,300422,博世科,4.79,5.74,0.26,125918.0,59648722.51,5.08,4.85,4.62,4.68,4.53,3.02,48.63,1.21
35,36,605303,园林股份,7.19,5.74,0.39,34406.0,24309214.0,5.0,7.24,6.9,7.0,6.8,2.13,-9.59,1.0
36,37,002573,清新环境,4.04,5.48,0.21,140474.0,55987161.0,6.27,4.13,3.89,3.94,3.83,1.0,40.27,0.91
37,38,300405,科隆股份,4.52,5.36,0.23,84630.0,37632532.48,5.59,4.58,4.34,4.34,4.29,3.87,-38.77,2.67
38,39,836208,青矩技术,22.41,5.36,1.14,5106.0,11231101.7,6.16,22.7,21.39,21.8,21.27,0.92,16.48,2.44
39,40,603081,大丰实业,9.75,5.29,0.49,61160.0,58761810.0,6.48,9.88,9.28,9.3,9.26,1.51,41.59,1.44
40,41,600533,栖霞建设,2.26,5.12,0.11,185784.0,41367054.0,3.26,2.27,2.2,2.23,2.15,1.77,-8.31,0.58
41,42,300500,启迪设计,12.14,5.11,0.59,43882.0,52008965.0,5.89,12.2,11.52,11.72,11.55,2.69,48.57,1.72
42,43,002431,棕榈股份,1.9,4.97,0.09,278229.0,52488268.13,5.52,1.94,1.84,1.88,1.81,1.56,-4.74,1.2
43,44,000786,北新建材,32.81,4.89,1.53,170198.0,546453819.71,4.8,32.87,31.37,31.61,31.28,1.04,12.52,2.29
44,45,601992,金隅集团,1.75,4.79,0.08,578486.0,99436323.0,3.59,1.75,1.69,1.69,1.67,0.69,-11.58,0.43
45,46,300371,汇中股份,9.71,4.75,0.44,43722.0,41702318.6,4.64,9.75,9.32,9.44,9.27,3.22,47.65,1.82
46,47,300021,大禹节水,3.92,4.53,0.17,152317.0,58727257.18,4.53,3.94,3.77,3.82,3.75,2.17,88.72,1.8
47,48,001965,招商公路,12.35,4.48,0.53,435155.0,529536183.56,5.58,12.51,11.85,11.99,11.82,0.64,15.55,1.33
48,49,000736,中交地产,11.13,4.41,0.47,391644.0,431774455.28,4.22,11.25,10.8,11.19,10.66,5.63,-4.23,7.76
