,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300735,光弘科技,33.67,19.99,5.61,1069354,3332747738.33,21.99,33.67,27.5,28.2,28.06,14.12,130.66,5.44
1,2,300256,星星科技,3.56,17.88,0.54,2237428,737393928.66,19.54,3.59,3.0,3.06,3.02,13.61,-51.9,5.63
2,3,832876,慧为智能,18.87,16.27,2.64,60862,104251921.75,27.42,19.6,15.15,16.51,16.23,15.92,165.98,4.75
3,4,300709,精研科技,49.76,15.56,6.7,374398,1730886123.57,21.74,50.86,41.5,42.53,43.06,25.15,78.19,4.41
4,5,688260,昀冢科技,17.77,13.26,2.08,63480,107215966.0,15.17,18.1,15.72,16.01,15.69,5.29,-38.7,6.78
5,6,002947,恒铭达,35.63,10.0,3.24,151087,515922452.13,11.52,35.63,31.9,31.98,32.39,9.35,27.86,3.19
6,7,600203,福日电子,7.92,10.0,0.72,676362,525880115.0,10.0,7.92,7.2,7.21,7.2,11.41,-25.11,2.41
7,8,002600,领益智造,7.95,9.96,0.72,4448663,3378020096.09,13.55,7.95,6.97,7.05,7.23,6.45,40.24,2.99
8,9,300602,飞荣达,18.62,9.66,1.64,291706,520385351.98,11.48,18.83,16.88,17.3,16.98,7.45,95.49,2.87
9,10,301578,辰奕智能,55.2,9.52,4.8,33485,177618146.52,9.4,55.45,50.71,51.1,50.4,21.46,72.98,3.78
10,11,300857,协创数据,78.2,9.07,6.5,169605,1286414800.44,11.8,80.85,72.39,72.68,71.7,6.94,26.8,6.79
11,12,301182,凯旺科技,26.51,8.43,2.06,69436,178488671.1,11.21,26.85,24.11,24.54,24.45,19.3,-58.24,2.87
12,13,002655,共达电声,11.87,8.2,0.9,198206,228545098.56,10.21,12.03,10.91,11.01,10.97,5.51,60.74,6.71
13,14,300679,电连技术,45.5,7.54,3.19,150751,663390515.59,12.64,46.25,40.9,41.52,42.31,4.21,31.35,4.15
14,15,300968,格林精密,10.96,7.45,0.76,164211,174553272.3,8.92,11.04,10.13,10.21,10.2,3.97,90.66,2.43
15,16,603626,科森科技,8.12,7.27,0.55,526141,413004737.0,8.45,8.23,7.59,7.7,7.57,9.48,-14.02,1.75
16,17,002843,泰嘉股份,16.17,7.09,1.07,229424,357910780.24,12.91,16.37,14.42,14.94,15.1,9.18,37.56,2.94
17,18,300686,智动力,9.42,7.05,0.62,157394,143743566.4,7.39,9.46,8.81,8.91,8.8,7.92,-20.9,2.21
18,19,300956,英力股份,17.93,7.04,1.18,138072,240018979.82,7.52,17.98,16.72,16.86,16.75,15.42,315.51,2.32
19,20,300976,达瑞电子,59.3,6.89,3.82,22702,129452992.13,8.69,59.39,54.57,55.39,55.48,5.9,26.83,1.73
20,21,300847,中船汉光,19.23,6.77,1.22,275665,526836519.34,11.49,19.99,17.92,17.92,18.01,9.31,46.56,4.22
21,22,002855,捷荣技术,20.92,6.52,1.28,110969,226349339.18,8.55,21.06,19.38,19.63,19.64,4.51,-20.34,6.6
22,23,603327,福蓉科技,12.86,6.46,0.78,154412,194044104.0,8.69,13.06,12.01,12.08,12.08,2.07,45.89,5.26
23,24,300684,中石科技,18.81,6.45,1.14,141491,258522763.8,9.45,19.06,17.39,18.0,17.67,7.05,44.93,3.01
24,25,872190,雷神科技,16.6,6.41,1.0,46787,75706654.59,10.83,17.0,15.31,15.71,15.6,4.74,98.03,1.98
25,26,833346,威贸电子,13.93,6.34,0.83,18404,25144202.23,9.69,14.22,12.95,13.28,13.1,6.78,25.33,2.63
