,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,830799,艾融软件,35.54,29.99,8.2,259125,781934422.58,37.09,35.54,25.4,29.0,27.34,21.47,178.89,20.35
1,2,837592,华信永道,57.66,23.5,10.97,87152,426878730.25,34.5,58.35,42.24,45.99,46.69,22.83,-71.67,10.17
2,3,300311,任子行,5.87,20.04,0.98,799977,421165567.42,22.49,5.87,4.77,4.85,4.89,14.89,-20.38,6.42
3,4,300339,润和软件,60.46,20.01,10.08,2439597,12943027932.81,32.67,60.46,44.0,51.3,50.38,31.37,284.03,14.15
4,5,300588,熙菱信息,15.12,20.0,2.52,277028,386996037.17,19.76,15.12,12.63,12.85,12.6,20.72,-68.53,8.03
5,6,688232,新点软件,37.69,19.99,6.28,79682,275437641.0,20.28,37.69,31.32,32.5,31.41,8.04,-262.78,2.32
6,7,301236,软通动力,69.5,19.48,11.33,1268537,7866845025.55,25.89,69.68,54.62,58.0,58.17,18.65,-214.57,6.46
7,8,300663,科蓝软件,26.7,18.88,4.24,1756644,4195442963.02,21.68,26.9,22.03,23.88,22.46,42.34,-1819.68,12.06
8,9,300085,银之杰,37.24,16.38,5.24,1620158,5530066173.09,24.13,37.8,30.08,30.98,32.0,25.52,-263.01,42.49
9,10,300810,中科海讯,21.67,15.94,2.98,170407,371837048.56,18.35,22.43,19.0,19.0,18.69,14.95,-22.17,3.25
10,11,872953,国子软件,29.58,15.86,4.05,93741,251703093.9,28.32,30.33,23.1,25.13,25.53,36.13,116.22,5.12
11,12,688631,莱斯信息,89.3,14.74,11.47,65952,547570678.0,17.41,89.58,76.03,77.8,77.83,10.77,-1338.79,8.14
12,13,300047,天源迪科,17.62,13.68,2.12,1852158,2882954029.76,27.94,18.38,14.05,15.5,15.5,33.69,183.58,3.37
13,14,300598,诚迈科技,66.62,13.45,7.9,386652,2352786018.38,21.12,67.2,54.8,57.5,58.72,17.82,-130.12,9.74
14,15,300525,博思软件,16.79,13.45,1.99,417717,666392808.02,12.7,16.93,15.05,15.05,14.8,6.88,-166.02,5.44
15,16,688038,中科通达,13.0,13.24,1.52,64003,77935058.0,15.77,13.11,11.3,11.45,11.48,5.5,108.05,2.42
16,17,300036,超图软件,19.4,12.92,2.22,424246,782371006.01,17.17,19.88,16.93,17.25,17.18,9.7,140.99,3.32
17,18,430090,同辉信息,6.75,12.31,0.74,352026,215829425.92,23.63,6.93,5.51,6.01,6.01,20.53,-70.54,8.03
18,19,300468,四方精创,23.0,11.38,2.35,2197190,5094436731.28,18.89,24.78,20.88,24.78,20.65,41.55,165.82,7.57
19,20,300380,安硕信息,40.26,11.06,4.01,228732,855840976.06,26.1,41.99,32.53,35.02,36.25,17.96,662.85,15.05
20,21,832171,志晟信息,11.56,11.05,1.15,73049,80066983.54,19.4,11.96,9.94,10.41,10.41,10.86,-35.84,4.22
21,22,300386,飞天诚信,16.81,10.88,1.65,426429,665338224.66,19.26,17.38,14.46,15.56,15.16,17.18,-218.31,4.59
22,23,300925,法本信息,28.9,10.52,2.75,856148,2291898300.96,25.09,29.66,23.1,26.0,26.15,25.9,83.76,5.99
23,24,300377,赢时胜,12.8,10.06,1.17,1271260,1540920994.54,16.34,13.0,11.1,11.55,11.63,19.78,-88.77,3.29
24,25,000503,国新健康,10.67,10.0,0.97,555872,574674314.66,8.25,10.67,9.87,10.06,9.7,5.82,-71.73,7.77
25,26,000004,国华网安,18.26,10.0,1.66,411943,723863483.53,13.49,18.26,16.02,17.12,16.6,32.62,-63.6,13.69
26,27,002410,广联达,14.11,9.98,1.28,689143,927200641.06,10.21,14.11,12.8,13.08,12.83,4.34,60.76,3.96
27,28,002261,拓维信息,20.87,9.96,1.89,2480507,4805840398.78,16.86,20.88,17.68,18.6,18.98,22.0,3929.73,10.19
28,29,688225,亚信安全,16.35,9.88,1.47,28372,44010369.0,10.42,16.35,14.8,15.1,14.88,1.49,-17.02,3.36
29,30,600225,卓朗科技,3.23,9.86,0.29,1552843,488349874.0,7.82,3.23,3.0,3.0,2.94,4.56,-46.64,6.0
30,31,834415,恒拓开源,8.09,9.77,0.72,89076,70061841.49,13.7,8.38,7.37,7.48,7.37,6.63,68.83,2.19
31,32,300542,新晨科技,20.23,9.41,1.74,475862,927051780.97,11.03,20.44,18.4,19.7,18.49,19.31,-210.99,9.51
32,33,300552,万集科技,36.2,8.84,2.94,179234,623898805.2,13.53,37.0,32.5,32.51,33.26,13.84,-25.77,3.57
33,34,600602,云赛智联,14.7,8.81,1.19,589223,827344561.0,11.18,14.83,13.32,13.69,13.51,5.48,88.96,4.31
34,35,688435,英方软件,34.8,8.75,2.8,45413,151445799.0,15.28,35.88,30.99,32.0,32.0,9.84,-68.09,2.59
35,36,835207,众诚科技,10.95,8.63,0.87,52605,55913408.97,17.46,11.46,9.7,9.99,10.08,9.44,-25.22,3.3
36,37,839790,联迪信息,13.1,8.35,1.01,43951,54415068.39,14.72,13.28,11.5,11.96,12.09,8.09,1660.59,3.24
37,38,300333,兆日科技,11.27,8.05,0.84,570753,597071144.51,14.96,11.44,9.88,10.62,10.43,17.05,-940.09,5.99
38,39,301339,通行宝,22.12,8.01,1.64,117384,248925326.0,10.06,22.16,20.1,20.48,20.48,9.78,41.15,3.44
