,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
0,1,装修装饰,BK0725,406.21,7.67,1.92,110462572000,0.77,26,11,维业股份,20.0
1,2,通信服务,BK0736,917.83,5.37,0.59,3359436352000,0.35,26,11,国脉科技,5.32
2,3,互联网服务,BK0447,19533.7,109.1,0.56,1489840720000,1.06,64,79,城地香江,10.01
3,4,工程建设,BK0425,19025.06,105.3,0.56,1513491184000,0.39,33,29,成都路桥,10.11
4,5,消费电子,BK1037,1245.87,5.98,0.48,1935383920000,0.86,51,49,泰嘉股份,10.0
5,6,光学光电子,BK1038,1198.63,4.8,0.4,931905648000,0.45,41,53,经纬辉开,20.05
6,7,计算机设备,BK0735,1088.5,4.09,0.38,847218160000,1.0,21,29,锐明技术,10.0
7,8,水泥建材,BK0424,21613.04,75.08,0.35,351237552000,0.77,10,15,四川金顶,6.32
8,9,银行,BK0475,3656.11,9.45,0.26,12984283904000,0.06,23,15,重庆银行,5.77
9,10,化肥行业,BK0731,1197.83,2.93,0.25,337744896000,0.34,10,12,川发龙蟒,2.8
10,11,软件开发,BK0737,901.98,2.03,0.23,1997480368000,1.59,78,112,艾融软件,16.77
11,12,贸易行业,BK0484,8093.35,13.78,0.17,289200704000,0.91,9,26,跨境通,6.34
12,13,电子元件,BK0459,19767.86,30.59,0.15,1719068960000,0.58,65,73,瑞可达,8.78
13,14,工程咨询服务,BK0726,625.88,0.85,0.14,170081749000,1.08,18,22,建发合诚,10.05
14,15,房地产服务,BK1045,1002.69,0.69,0.07,91791382000,1.83,5,14,群兴玩具,9.98
15,16,仪器仪表,BK0458,11312.8,-0.63,-0.01,250526914000,0.47,29,38,浙江力诺,3.2
16,17,文化传媒,BK0486,8204.64,-0.84,-0.01,967663840000,0.46,32,63,无线传媒,8.57
17,18,游戏,BK1046,937.05,-0.18,-0.02,288504256000,0.52,7,18,中青宝,8.27
18,19,装修建材,BK0476,10920.51,-3.01,-0.03,421687008000,0.47,25,41,凯伦股份,7.05
19,20,包装材料,BK0733,826.58,-0.33,-0.04,113535962000,0.47,8,20,中锐股份,8.33
20,21,半导体,BK1036,1197.89,-0.7,-0.06,3860133872000,0.95,59,95,雷电微力,15.76
21,22,家电行业,BK0456,16802.36,-14.4,-0.09,1925927152000,0.44,29,60,澳柯玛,10.08
22,23,塑料制品,BK0454,10366.26,-9.29,-0.09,328282144000,0.98,28,54,华峰超纤,12.95
