,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300674,宇信科技,26.88,19.84,4.45,760607,1941010226.35,12.84,26.88,24.0,24.48,22.43,10.82,58.06,4.68
1,2,301001,凯淳股份,25.93,13.03,2.99,29466,70932902.0,17.35,26.38,22.4,22.5,22.94,5.86,288.97,2.56
2,3,300290,荣科科技,23.39,11.97,2.5,539579,1232583299.68,9.48,23.9,21.92,22.22,20.89,8.44,-1859.59,18.2
3,4,301110,青木科技,48.16,11.51,4.97,36389,170413375.8,8.01,48.8,45.34,45.34,43.19,7.5,33.23,3.21
4,5,603887,城地香江,8.13,10.01,0.74,13240,10764022.0,0.0,8.13,8.13,8.13,7.39,0.29,-27.25,1.53
5,6,301382,蜂助手,33.46,8.64,2.66,108549,355233286.98,8.86,33.99,31.26,31.95,30.8,7.94,51.2,4.3
6,7,300785,值得买,26.47,5.75,1.44,57355,147597984.62,6.43,26.49,24.88,25.1,25.03,4.69,343.68,2.87
7,8,300523,辰安科技,20.29,5.62,1.08,36067,74417111.0,12.34,21.69,19.32,19.41,19.21,1.55,-20.12,3.37
8,9,301085,亚康股份,57.1,5.43,2.94,23720,133329459.49,9.19,57.98,53.0,54.0,54.16,5.99,60.01,4.54
9,10,600070,*ST富润,1.64,5.13,0.08,6620,1085680.0,0.0,1.64,1.64,1.64,1.56,0.13,-4.73,1.46
10,11,838227,美登科技,25.92,4.81,1.19,1193,3008569.58,6.79,26.0,24.32,24.4,24.73,0.68,25.0,2.59
11,12,300678,中科信息,34.99,4.01,1.35,79335,275396317.1,8.09,35.5,32.78,33.64,33.64,2.78,1039.45,12.14
12,13,300166,东方国信,10.14,4.0,0.39,285494,285800299.14,7.28,10.21,9.5,9.8,9.75,3.15,383.27,1.92
13,14,300287,飞利信,5.61,3.51,0.19,675140,362487208.82,11.07,5.67,5.07,5.18,5.42,5.15,-37.81,6.31
14,15,000409,云鼎科技,9.04,3.31,0.29,68337,60666206.14,5.14,9.07,8.62,8.77,8.75,1.61,42.07,4.12
15,16,300464,星徽股份,5.0,3.31,0.16,47599,23393350.31,7.44,5.09,4.73,4.82,4.84,1.48,125.85,3.87
16,17,003010,若羽臣,14.65,3.02,0.43,16898,24292183.0,4.22,14.65,14.05,14.22,14.22,1.33,31.99,2.41
17,18,000997,新 大 陆,17.09,2.77,0.46,71506,120324371.0,5.11,17.15,16.3,16.48,16.63,0.7,16.64,2.63
18,19,600756,浪潮软件,14.14,2.54,0.35,48417,67108826.0,4.21,14.14,13.56,13.74,13.79,1.49,-25.86,2.06
19,20,838924,广脉科技,10.73,2.48,0.26,4035,4274757.51,4.3,10.77,10.32,10.58,10.47,0.64,42.02,4.0
20,21,300269,联建光电,3.89,2.37,0.09,103012,39734477.0,5.79,3.92,3.7,3.82,3.8,1.96,-104.02,28.41
21,22,300324,旋极信息,3.15,2.27,0.07,264796,82036266.39,5.19,3.17,3.01,3.05,3.08,1.55,-23.75,1.79
22,23,300634,彩讯股份,20.02,2.25,0.44,70559,140234779.0,6.33,20.3,19.06,19.25,19.58,1.64,37.98,3.44
23,24,002642,荣联科技,7.37,2.22,0.16,129933,94922192.28,4.72,7.42,7.08,7.18,7.21,2.15,210.35,4.23
24,25,600228,返利科技,5.7,1.97,0.11,22377,12554046.0,3.4,5.71,5.52,5.59,5.59,0.54,358.52,1.67
25,26,600571,信雅达,12.0,1.95,0.23,110283,130390340.0,6.03,12.12,11.41,11.53,11.77,2.41,-47.97,4.85
26,27,300872,天阳科技,16.66,1.83,0.3,72655,117887250.71,6.54,16.76,15.69,15.96,16.36,2.13,37.27,2.52
27,28,300300,ST峡创,2.23,1.83,0.04,92462,20406819.24,5.48,2.26,2.14,2.15,2.19,1.39,-26.31,9.36
28,29,301171,易点天下,17.2,1.78,0.3,58521,99586845.0,4.32,17.28,16.55,16.7,16.9,1.9,30.77,2.32
29,30,300209,*ST有树,4.06,1.75,0.07,16698,6714310.8,3.51,4.09,3.95,3.98,3.99,0.42,-27.75,-3.96
30,31,603496,恒为科技,26.85,1.55,0.41,46099,123126725.0,4.39,27.04,25.88,26.44,26.44,1.44,59.93,6.1
31,32,002771,真视通,20.49,1.44,0.29,34251,69241746.42,3.61,20.49,19.76,19.86,20.2,1.96,-154.78,6.56
32,33,300150,世纪瑞尔,4.08,1.24,0.05,30961,12494894.85,3.72,4.09,3.94,4.03,4.03,0.6,69.98,1.57
