,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300120,经纬辉开,9.16,20.05,1.53,105770,96884935.28,0.0,9.16,9.16,9.16,7.63,1.99,54.6,1.75
1,2,301421,波长光电,61.6,19.29,9.96,81183,472352064.05,23.3,61.97,49.94,50.4,51.64,17.53,123.77,6.06
2,3,688205,德科立,47.19,5.83,2.6,16666,76976046.0,5.49,47.5,45.05,45.05,44.59,2.46,52.63,2.59
3,4,688150,莱特光电,19.64,5.42,1.01,27329,52708546.0,5.96,19.81,18.7,18.89,18.63,1.53,42.73,4.59
4,5,300102,乾照光电,8.73,4.55,0.38,172762,150208882.2,5.63,8.86,8.39,8.5,8.35,1.89,123.38,1.98
5,6,301045,天禄科技,20.8,4.1,0.82,10070,20639999.0,5.56,20.98,19.87,20.29,19.98,1.48,76.16,2.33
6,7,003015,日久光电,14.03,2.86,0.39,134313,186904187.77,4.25,14.14,13.56,13.71,13.64,5.48,59.6,4.21
7,8,603773,沃格光电,19.41,2.7,0.51,20402,38865694.0,4.23,19.42,18.62,18.7,18.9,1.0,-71.1,3.23
8,9,300128,锦富技术,4.67,2.64,0.12,156822,72282036.4,6.59,4.72,4.42,4.46,4.55,1.21,-26.31,6.26
9,10,301106,骏成科技,33.12,2.57,0.83,5913,19388965.26,4.43,33.24,31.81,32.03,32.29,2.03,31.28,2.85
10,11,873001,纬达光电,10.77,2.09,0.22,5715,6047090.8,5.12,10.87,10.33,10.35,10.55,0.64,52.58,2.21
11,12,002189,中光学,22.4,2.05,0.45,58192,129644117.0,5.38,22.69,21.51,21.86,21.95,2.23,216.08,5.27
12,13,300566,激智科技,18.44,2.05,0.37,33553,60866734.72,5.37,18.58,17.61,17.86,18.07,1.47,19.52,2.56
13,14,300940,南极光,14.35,1.63,0.23,9345,13226601.02,3.33,14.36,13.89,14.19,14.12,0.63,-193.39,3.04
