,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002093,国脉科技,7.32,5.32,0.37,215344,158712785.97,4.32,7.5,7.2,7.35,6.95,2.14,47.35,2.06
1,2,603220,中贝通信,22.33,3.72,0.8,107151,238534356.0,6.04,22.72,21.42,21.77,21.53,2.47,45.98,5.08
2,3,300292,吴通控股,4.51,3.44,0.15,269591,120194190.08,6.19,4.55,4.28,4.33,4.36,2.42,66.13,4.54
3,4,002123,梦网科技,10.11,2.43,0.24,201463,199989772.0,7.19,10.19,9.48,9.72,9.87,2.93,438.1,4.95
4,5,600804,*ST鹏博,1.34,2.29,0.03,88331,11709669.0,3.82,1.35,1.3,1.31,1.31,0.63,-4.17,3.26
5,6,002231,奥维通信,5.45,1.49,0.08,64077,34684090.85,3.72,5.5,5.3,5.36,5.37,2.17,-149.88,6.05
6,7,603602,纵横通信,13.18,1.31,0.17,9888,12960481.0,2.61,13.24,12.9,13.06,13.01,0.48,168.38,3.86
7,8,601728,中国电信,6.6,1.23,0.08,228679,149274151.0,2.45,6.61,6.45,6.49,6.52,0.11,13.84,1.32
8,9,300560,中富通,15.02,1.21,0.18,21082,31223306.0,3.5,15.02,14.5,14.77,14.84,1.13,155.33,3.17
9,10,300597,吉大通信,8.69,1.16,0.1,16162,13923580.0,3.03,8.72,8.46,8.58,8.59,0.6,163.36,2.3
10,11,300050,世纪鼎利,7.03,1.15,0.08,259458,179951057.84,7.63,7.13,6.6,6.88,6.95,4.76,-133.81,8.19
11,12,688081,兴图新科,11.32,1.07,0.12,2883,3223571.0,2.23,11.32,11.07,11.13,11.2,0.28,-21.1,2.39
12,13,300959,线上线下,30.07,0.97,0.29,2160,6460790.5,2.55,30.11,29.35,29.68,29.78,0.41,565.77,2.06
13,14,300578,会畅通讯,16.75,0.96,0.16,12400,20630500.0,3.13,16.79,16.27,16.7,16.59,0.64,96.17,2.84
14,15,600050,中国联通,5.3,0.95,0.05,330105,173284417.0,2.29,5.3,5.18,5.23,5.25,0.11,13.95,1.03
15,16,002148,北纬科技,5.41,0.93,0.05,30983,16569322.9,2.99,5.42,5.26,5.35,5.36,0.69,143.1,2.51
16,17,301139,元道通信,22.85,0.79,0.18,6630,15013800.0,2.12,22.85,22.37,22.59,22.67,0.92,46.1,1.44
17,18,600289,*ST信通,1.44,0.7,0.01,14209,2037022.0,2.8,1.45,1.41,1.41,1.43,0.25,55.84,1.3
18,19,300310,宜通世纪,8.85,0.57,0.05,303784,264210078.11,5.57,8.93,8.44,8.54,8.8,4.39,108.77,4.02
19,20,603322,超讯通信,30.65,0.49,0.15,15166,46299556.0,2.52,30.82,30.05,30.6,30.5,0.96,85.51,14.93
20,21,300603,立昂技术,9.22,0.22,0.02,20391,18611707.5,2.28,9.24,9.03,9.14,9.2,0.57,-128.67,3.02
21,22,002929,润建股份,29.86,0.2,0.06,9053,26953722.43,2.28,29.98,29.3,29.68,29.8,0.42,17.84,1.36
22,23,300183,东软载波,16.7,0.18,0.03,19796,32905078.08,2.16,16.78,16.42,16.42,16.67,0.55,67.52,2.45
23,24,300081,恒信东方,6.31,0.16,0.01,41347,25751316.64,2.86,6.32,6.14,6.25,6.3,0.68,-24.31,2.57
24,25,300513,恒实科技,9.1,0.11,0.01,8266,7494274.0,2.09,9.14,8.95,9.09,9.09,0.29,-28.01,1.21
25,26,603559,*ST通脉,8.09,0.0,0.0,9619,7703961.0,2.47,8.13,7.93,7.93,8.09,0.67,-9.76,19.91
26,27,300571,平治信息,24.2,-0.08,-0.02,4221,10098210.0,3.43,24.25,23.42,24.09,24.22,0.37,556.18,2.13
27,28,300211,亿通科技,6.97,-0.14,-0.01,14692,10194013.0,2.15,7.02,6.87,6.97,6.98,0.49,-62.12,4.22
28,29,600941,中国移动,110.37,-0.39,-0.43,14503,159400321.0,1.18,110.68,109.37,110.5,110.8,0.19,14.77,1.76
29,30,601698,中国卫通,16.84,-0.41,-0.07,37494,62758239.0,1.6,16.88,16.61,16.8,16.91,0.09,87.51,4.56
30,31,002467,二六三,3.89,-0.51,-0.02,35849,13913779.0,1.79,3.91,3.84,3.9,3.91,0.26,52.14,2.86
31,32,000889,ST中嘉,1.92,-0.52,-0.01,25125,4830229.24,1.55,1.94,1.91,1.91,1.93,0.29,-62.01,14.83
32,33,300025,华星创业,9.18,-0.54,-0.05,16338,14895004.0,1.84,9.21,9.04,9.14,9.23,0.38,-102.62,7.16
33,34,300736,百邦科技,10.22,-0.58,-0.06,11910,12113083.0,2.63,10.33,10.06,10.33,10.28,0.92,-41.61,14.43
34,35,603421,鼎信通讯,6.16,-0.96,-0.06,33970,20840048.0,2.89,6.22,6.04,6.19,6.22,0.52,-41.29,1.21
35,36,300921,南凌科技,22.38,-1.24,-0.28,7442,16673711.0,2.47,22.66,22.1,22.4,22.66,0.94,239.68,3.63
36,37,603206,嘉环科技,15.04,-1.25,-0.19,6096,9160093.0,1.44,15.14,14.92,15.0,15.23,0.7,37.39,2.08
37,38,688682,霍莱沃,32.73,-1.3,-0.43,2206,7208916.0,1.69,33.0,32.44,33.0,33.16,0.3,193.25,3.64
38,39,002544,普天科技,23.02,-1.62,-0.38,24696,56939538.0,2.78,23.5,22.85,23.4,23.4,0.36,199.21,4.18
