,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300865,大宏立,27.31,14.99,3.56,9090,24823424.5,0.0,27.31,27.31,27.31,23.75,1.34,118.55,3.0
1,2,603038,华立股份,12.1,10.0,1.1,31235,37794592.0,0.0,12.1,12.1,12.1,11.0,1.16,88.4,2.4
2,3,600939,重庆建工,3.41,10.0,0.31,69314,23635941.0,0.0,3.41,3.41,3.41,3.1,0.36,-172.09,0.81
3,4,600678,四川金顶,7.5,5.04,0.36,52992,39744000.0,0.0,7.5,7.5,7.5,7.14,1.52,-117.24,11.79
4,5,002700,ST浩源,8.68,4.83,0.4,9224,8006432.0,0.0,8.68,8.68,8.68,8.28,0.28,34.72,4.31
5,6,002693,双成药业,20.3,4.64,0.9,62256,126379680.0,0.0,20.3,20.3,20.3,19.4,1.51,-248.38,18.51
6,7,000628,高新发展,62.0,3.82,2.28,33597,208301400.0,0.0,62.0,62.0,62.0,59.72,1.75,186.12,10.34
7,8,002094,青岛金王,3.71,3.34,0.12,144299,53534929.0,0.0,3.71,3.71,3.71,3.59,2.09,31.58,1.73
8,9,301551,无线传媒,101.68,2.9,2.87,4559,46355912.0,0.0,101.68,101.68,101.68,98.81,1.28,161.63,17.21
9,10,600203,福日电子,8.86,1.72,0.15,69332,61428152.0,0.0,8.86,8.86,8.86,8.71,1.17,-28.09,2.7
10,11,002457,青龙管业,14.42,1.62,0.23,27309,39379578.0,0.0,14.42,14.42,14.42,14.19,0.82,33.5,2.08
11,12,601606,长城军工,12.95,0.47,0.06,26641,34500095.0,0.0,12.95,12.95,12.95,12.89,0.37,-118.34,3.65
12,13,002640,跨境通,3.12,0.0,0.0,68022,21222864.0,0.0,3.12,3.12,3.12,3.12,0.48,-213.5,3.65
13,14,603016,新宏泰,29.97,-0.13,-0.04,2230,6683310.0,0.0,29.97,29.97,29.97,30.01,0.15,58.99,5.46
14,15,000615,ST美谷,2.2,-0.45,-0.01,28729,6320380.0,0.0,2.2,2.2,2.2,2.21,0.38,-14.87,12.36
15,16,000826,启迪环境,2.2,-0.9,-0.02,38137,8390140.0,0.0,2.2,2.2,2.2,2.22,0.27,-7.16,0.78
16,17,300621,维业股份,12.01,-0.91,-0.11,17516,21036716.0,0.0,12.01,12.01,12.01,12.12,0.89,126.19,2.8
17,18,301357,北方长龙,39.67,-7.12,-3.04,7479,29669193.0,0.0,39.67,39.67,39.67,42.71,3.14,-455.21,3.33
