,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002285,世联行,2.74,4.98,0.13,282881,76753976.37,2.3,2.75,2.69,2.69,2.61,1.43,179.8,1.79
1,2,300947,德必集团,18.91,4.94,0.89,22035,40580933.2,5.49,18.98,17.99,17.99,18.02,1.43,107.16,2.32
2,3,300295,三六五网,16.99,3.72,0.61,44625,75818902.0,4.46,17.4,16.67,16.67,16.38,2.66,236.88,2.64
3,4,600895,张江高科,25.2,3.45,0.84,96653,240095490.0,3.49,25.29,24.44,24.44,24.36,0.62,73.28,3.14
4,5,000560,我爱我家,3.45,2.99,0.1,410671,141867317.16,2.99,3.5,3.4,3.46,3.35,1.82,138.41,0.85
5,6,002305,南国置业,1.93,2.66,0.05,124090,23881623.61,2.13,1.94,1.9,1.91,1.88,0.72,382.74,6.84
6,7,002244,滨江集团,10.18,2.21,0.22,46751,47636975.0,2.21,10.29,10.07,10.25,9.96,0.17,13.58,1.2
7,8,000002,万  科Ａ,9.4,2.17,0.2,356783,335355165.0,1.85,9.49,9.32,9.41,9.2,0.37,-5.69,0.46
8,9,600048,保利发展,11.15,2.01,0.22,350244,390289009.0,2.2,11.3,11.06,11.14,10.93,0.29,8.99,0.68
9,10,300621,维业股份,12.32,1.65,0.2,116298,144135763.48,7.92,12.97,12.01,12.01,12.12,5.93,129.45,2.88
10,11,600325,华发股份,6.92,1.47,0.1,52414,36178704.0,1.76,6.98,6.86,6.88,6.82,0.2,7.53,0.82
11,12,000863,三湘印象,3.58,1.42,0.05,19789,7031810.0,1.7,3.59,3.53,3.53,3.53,0.17,177.44,0.94
12,13,000056,皇庭国际,2.22,1.37,0.03,71606,15881562.0,2.28,2.24,2.19,2.22,2.19,0.79,-9.03,3.18
13,14,600604,市北高新,4.2,1.2,0.05,6845,2855250.0,1.93,4.2,4.12,4.12,4.15,0.05,-28.89,1.26
14,15,001979,招商蛇口,11.13,0.91,0.1,117861,131636980.0,1.99,11.3,11.08,11.2,11.03,0.14,35.58,1.04
15,16,000011,深物业A,9.06,0.89,0.08,10088,9123017.0,1.56,9.13,8.99,9.03,8.98,0.19,293.06,1.2
16,17,000090,天健集团,4.07,0.74,0.03,23241,9444032.0,1.24,4.09,4.04,4.06,4.04,0.12,15.4,0.68
17,18,002574,明牌珠宝,4.55,-0.44,-0.02,2758,1252791.0,1.09,4.57,4.52,4.53,4.57,0.05,84.63,0.77
