,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603291,联合水务,10.97,6.5,0.67,25986.0,28919191.0,3.79,11.32,10.93,11.32,10.3,2.0,27.95,2.69
1,2,603759,海天股份,6.6,5.26,0.33,18754.0,12440680.0,5.26,6.78,6.45,6.45,6.27,0.41,14.74,1.2
2,3,601199,江南水务,5.6,2.94,0.16,49438.0,27826006.0,4.96,5.82,5.55,5.58,5.44,0.53,15.43,1.38
3,4,600283,钱江水利,9.02,2.85,0.25,20033.0,18033263.0,2.51,9.12,8.9,8.97,8.77,0.41,26.2,1.88
4,5,601158,重庆水务,4.87,2.31,0.11,41367.0,20037756.0,2.1,4.89,4.79,4.85,4.76,0.09,28.09,1.4
5,6,600187,国中水务,3.46,1.76,0.06,147208.0,50661761.0,1.76,3.47,3.41,3.44,3.4,0.91,538.97,1.77
6,7,601368,绿城水务,4.65,1.53,0.07,18598.0,8692519.0,1.31,4.7,4.64,4.68,4.58,0.21,30.27,0.87
7,8,000605,渤海股份,5.32,1.53,0.08,10877.0,5783310.0,1.91,5.36,5.26,5.3,5.24,0.33,57.43,0.88
8,9,003039,顺控发展,12.56,1.45,0.18,8035.0,10137765.0,1.7,12.71,12.5,12.6,12.38,0.13,32.06,3.0
9,10,600008,首创环保,3.17,0.96,0.03,79164.0,25105755.0,1.59,3.19,3.14,3.15,3.14,0.11,12.7,1.21
10,11,000598,兴蓉环境,7.35,0.82,0.06,25746.0,18870285.99,1.23,7.37,7.28,7.3,7.29,0.09,11.82,1.28
11,12,600461,洪城环境,9.48,0.64,0.06,9902.0,9387047.0,0.96,9.51,9.42,9.47,9.42,0.08,9.98,1.4
12,13,002893,京能热力,9.6,0.31,0.03,4927.0,4709306.0,1.67,9.62,9.46,9.52,9.57,0.24,11.02,2.04
13,14,001210,金房能源,12.6,0.08,0.01,674.0,845787.0,1.03,12.61,12.48,12.54,12.59,0.08,9.35,1.26
14,15,900913,国新B股,,,,,,,,,,0.244,0.0,30.86,0.94
15,16,605162,新中港,6.72,0.0,0.0,1313.0,879312.0,1.34,6.75,6.66,6.66,6.72,0.03,20.77,2.25
16,17,000685,中山公用,8.34,-0.12,-0.01,12348.0,10308772.0,0.96,8.39,8.31,8.34,8.35,0.1,11.08,0.73
17,18,000692,惠天热电,2.99,-0.33,-0.01,4133.0,1238527.0,1.67,3.03,2.98,2.99,3.0,0.08,-2.71,-13.43
18,19,600167,联美控股,5.61,-0.36,-0.02,3677.0,2060880.0,1.07,5.63,5.57,5.6,5.63,0.02,13.44,1.17
19,20,000544,中原环保,8.19,-0.36,-0.03,4603.0,3765420.0,1.22,8.22,8.12,8.12,8.22,0.05,5.67,0.99
20,21,600052,东望时代,4.16,-0.72,-0.03,5092.0,2107760.0,1.43,4.18,4.12,4.18,4.19,0.06,17.87,1.15
21,22,600168,武汉控股,4.45,-0.89,-0.04,19951.0,8840103.0,1.78,4.47,4.39,4.39,4.49,0.2,27.2,0.84
22,23,001376,百通能源,16.25,-1.22,-0.2,1898.0,3077881.0,1.22,16.31,16.11,16.28,16.45,0.41,35.12,7.26
23,24,605011,杭州热电,21.09,-1.31,-0.28,1932.0,4082622.0,2.06,21.38,20.94,21.0,21.37,0.05,36.15,3.77
