,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300917,特发服务,60.0,5.15,2.94,5019,30114000.0,0.0,60.0,60.0,60.0,57.06,0.3,88.03,9.66
1,2,000560,我爱我家,3.46,3.28,0.11,47320,16372720.0,0.0,3.46,3.46,3.46,3.35,0.21,138.81,0.86
2,3,002285,世联行,2.69,3.07,0.08,36347,9777343.0,0.0,2.69,2.69,2.69,2.61,0.18,176.52,1.75
3,4,600658,电子城,4.35,2.59,0.11,7559,3288165.0,0.0,4.35,4.35,4.35,4.24,0.07,-50.21,0.67
4,5,000608,阳光股份,2.11,2.43,0.05,4766,1005626.0,0.0,2.11,2.11,2.11,2.06,0.06,-55.3,0.66
5,6,000056,皇庭国际,2.22,1.37,0.03,10714,2378508.0,0.0,2.22,2.22,2.22,2.19,0.12,-9.03,3.18
6,7,002146,荣盛发展,1.57,1.29,0.02,12759,2003163.0,0.0,1.57,1.57,1.57,1.55,0.03,-10.78,0.29
7,8,600684,珠江股份,3.27,0.93,0.03,692,226284.0,0.0,3.27,3.27,3.27,3.24,0.01,-223.77,6.37
8,9,002188,中天服务,4.55,0.89,0.04,741,337155.0,0.0,4.55,4.55,4.55,4.51,0.03,44.94,9.07
9,10,603506,南都物业,8.3,0.85,0.07,382,317060.0,0.0,8.3,8.3,8.3,8.23,0.02,37.95,1.43
10,11,002575,群兴玩具,6.1,0.66,0.04,21781,13286410.0,0.0,6.1,6.1,6.1,6.06,0.37,-297.15,4.77
11,12,000007,全新好,6.8,0.15,0.01,461,313480.0,0.0,6.8,6.8,6.8,6.79,0.01,380.46,18.28
12,13,601588,北辰实业,1.66,0.0,0.0,1856,308096.0,0.0,1.66,1.66,1.66,1.66,0.01,-3.79,0.47
13,14,600605,汇通能源,30.61,0.0,0.0,48,146928.0,0.0,30.61,30.61,30.61,30.61,0.0,38.46,4.61
14,15,001914,招商积余,10.84,-0.18,-0.02,851,922484.0,0.0,10.84,10.84,10.84,10.86,0.01,13.2,1.15
15,16,603682,锦和商管,4.08,-0.49,-0.02,136,55488.0,0.0,4.08,4.08,4.08,4.1,0.0,41.51,1.85
16,17,002968,新大正,9.95,-0.7,-0.07,957,952215.0,0.0,9.95,9.95,9.95,10.02,0.04,13.77,1.87
17,18,600604,市北高新,4.12,-0.72,-0.03,512,210944.0,0.0,4.12,4.12,4.12,4.15,0.0,-28.34,1.23
18,19,600239,云南城投,2.8,-5.41,-0.16,39027,10927560.0,0.0,2.8,2.8,2.8,2.96,0.24,54.71,3.19
