,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300655,晶瑞电材,9.6,13.07,1.11,185397,174859305.16,9.42,9.78,8.98,8.98,8.49,1.95,-1021.97,3.95
1,2,300576,容大感光,48.99,5.15,2.4,56300,273702915.63,3.18,49.36,47.88,48.5,46.59,3.07,100.5,11.13
2,3,300537,广信材料,19.17,4.02,0.74,20785,39335566.0,4.77,19.28,18.4,18.61,18.43,1.45,68.97,4.77
3,4,300346,南大光电,39.97,3.5,1.35,55528,220961792.72,4.87,40.48,38.6,38.61,38.62,1.08,60.75,8.48
4,5,300637,扬帆新材,10.96,3.01,0.32,23274,25178136.0,5.26,11.02,10.46,10.46,10.64,0.99,-60.57,3.88
5,6,300398,飞凯材料,14.65,2.59,0.37,22680,32756771.29,5.6,14.78,13.98,14.0,14.28,0.43,32.23,2.04
6,7,300429,强力新材,12.94,2.54,0.32,44525,57103537.6,5.31,13.06,12.39,12.39,12.62,1.18,3184.73,4.11
7,8,300236,上海新阳,36.4,1.34,0.48,6032,21874167.0,4.18,36.7,35.2,35.2,35.92,0.22,96.83,2.99
8,9,002584,西陇科学,7.0,1.16,0.08,22642,15684434.0,2.6,7.03,6.85,6.86,6.92,0.52,47.96,1.78
9,10,603931,格林达,20.52,0.79,0.16,2584,5243842.0,2.55,20.52,20.0,20.0,20.36,0.13,26.36,2.73
10,11,688106,金宏气体,18.45,0.6,0.11,3013,5512880.0,2.07,18.5,18.12,18.19,18.34,0.06,27.78,2.98
11,12,603078,江化微,14.25,0.42,0.06,8980,12590829.0,3.38,14.3,13.82,13.94,14.19,0.23,48.3,3.33
12,13,300481,濮阳惠成,15.08,0.2,0.03,3253,4861190.0,2.19,15.13,14.8,14.88,15.05,0.11,19.81,1.85
13,14,688268,华特气体,52.1,0.13,0.07,1129,5842914.0,2.67,52.44,51.05,51.51,52.03,0.09,32.62,3.56
14,15,300054,鼎龙股份,25.92,0.04,0.01,18704,47697625.0,3.4,26.01,25.13,25.18,25.91,0.26,55.82,5.82
15,16,688550,瑞联新材,26.51,0.0,0.0,2567,6756758.0,2.72,26.74,26.02,26.06,26.51,0.15,24.3,1.61
16,17,002643,万润股份,9.77,-0.1,-0.01,11747,11386089.0,1.94,9.8,9.61,9.67,9.78,0.13,21.11,1.31
17,18,688019,安集科技,130.44,-0.12,-0.16,1752,22640646.0,3.42,131.24,126.77,128.0,130.6,0.14,36.01,7.09
18,19,002409,雅克科技,58.78,-0.49,-0.29,11287,65474311.0,2.51,58.8,57.32,57.9,59.07,0.35,26.92,4.03
19,20,688548,广钢气体,8.87,-0.67,-0.06,3916,3463388.0,1.68,8.95,8.8,8.85,8.93,0.07,43.1,2.03
20,21,002741,光华科技,14.19,-0.7,-0.1,2654,3763041.0,1.54,14.25,14.03,14.25,14.29,0.07,264.01,4.17
21,22,603002,宏昌电子,4.86,-0.82,-0.04,17384,8397028.0,2.04,4.88,4.78,4.81,4.9,0.16,109.66,1.61
22,23,688359,三孚新科,31.42,-1.01,-0.32,315,981305.0,2.84,31.5,30.6,30.6,31.74,0.03,-248.84,6.03
23,24,688146,中船特气,30.2,-1.08,-0.33,1960,5891601.0,1.38,30.3,29.88,30.12,30.53,0.14,44.95,2.97
24,25,688549,中巨芯-U,6.67,-1.33,-0.09,19493,12921922.0,1.63,6.68,6.57,6.61,6.76,0.34,214.51,3.24
