,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300826,测绘股份,17.56,20.03,2.93,20604,36180641.56,0.0,17.56,17.56,17.56,14.63,1.35,152.46,2.31
1,2,430564,天润科技,16.5,19.05,2.64,4957,8179677.0,0.0,16.5,16.5,16.5,13.86,1.47,-65.8,4.0
2,3,688651,盛邦安全,35.0,14.01,4.3,1384,4844840.0,0.0,35.0,35.0,35.0,30.7,0.44,-70.6,2.74
3,4,301221,光庭信息,51.95,11.24,5.25,3886,20187770.0,0.0,51.95,51.95,51.95,46.7,0.89,-179.64,2.43
4,5,688509,正元地信,3.99,7.84,0.29,6791,2709769.0,0.0,3.99,3.99,3.99,3.7,0.18,-25.75,2.17
5,6,300036,超图软件,20.0,5.6,1.06,7397,14794000.0,0.0,20.0,20.0,20.0,18.94,0.17,145.35,3.42
6,7,300047,天源迪科,15.46,4.11,0.61,9029,13958834.0,0.0,15.46,15.46,15.46,14.85,0.16,161.08,2.96
7,8,300177,中海达,11.8,3.96,0.45,17958,21190440.0,0.0,11.8,11.8,11.8,11.35,0.3,-119.07,5.37
8,9,301390,经纬股份,31.49,3.96,1.2,336,1058064.0,0.0,31.49,31.49,31.49,30.29,0.12,70.67,2.01
9,10,300287,飞利信,5.02,3.08,0.15,14595,7326690.0,0.0,5.02,5.02,5.02,4.87,0.11,-33.84,5.65
10,11,688066,航天宏图,18.3,2.87,0.51,1115,2039773.0,0.0,18.3,18.3,18.3,17.79,0.04,-12.94,2.38
11,12,300324,旋极信息,3.09,1.98,0.06,9672,2988648.0,0.0,3.09,3.09,3.09,3.03,0.06,-23.3,1.76
12,13,300053,航宇微,12.67,1.93,0.24,1668,2113356.0,0.0,12.67,12.67,12.67,12.43,0.03,-179.47,4.32
13,14,301136,招标股份,14.2,1.36,0.19,1757,2494940.0,0.0,14.2,14.2,14.2,14.01,0.17,507.79,2.67
14,15,301172,君逸数码,35.78,1.3,0.46,6649,23790122.0,0.0,35.78,35.78,35.78,35.32,0.95,102.45,3.08
15,16,000925,众合科技,6.27,1.13,0.07,112,70224.0,0.0,6.27,6.27,6.27,6.2,0.0,-24.11,1.29
16,17,600118,中国卫星,25.03,0.64,0.16,263,658289.0,0.0,25.03,25.03,25.03,24.87,0.0,1740.78,4.69
17,18,003013,地铁设计,13.93,0.36,0.05,71,98903.0,0.0,13.93,13.93,13.93,13.88,0.0,13.73,2.32
18,19,002298,中电兴发,4.43,0.23,0.01,1276,565268.0,0.0,4.43,4.43,4.43,4.42,0.02,-4.92,1.0
19,20,301169,零点有数,44.02,0.16,0.07,1130,4974260.0,0.0,44.02,44.02,44.02,43.95,0.4,-34.55,5.89
20,21,002355,兴民智通,7.26,-0.95,-0.07,9063,6579738.0,0.0,7.26,7.26,7.26,7.33,0.15,354.12,4.2
21,22,603559,*ST通脉,8.3,-1.07,-0.09,1358,1127140.0,0.0,8.3,8.3,8.3,8.39,0.09,-10.01,20.42
22,23,300588,熙菱信息,15.0,-3.85,-0.6,8157,12235500.0,0.0,15.0,15.0,15.0,15.6,0.61,-67.99,7.96
