,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,832145,恒合股份,18.6,29.53,4.24,,,0.0,,,,14.36,0.0,-103.46,4.92
1,2,002717,岭南股份,3.36,10.16,0.31,,,0.0,,,,3.05,0.0,-11.38,3.07
2,3,600292,远达环保,11.62,10.04,1.06,,,0.0,,,,10.56,0.0,77.01,1.75
3,4,832802,保丽洁,25.72,10.01,2.34,,,0.0,,,,23.38,0.0,95.94,3.93
4,5,605069,正和生态,9.57,10.0,0.87,,,0.0,,,,8.7,0.0,381.8,1.94
5,6,300152,新动力,5.85,6.95,0.38,,,0.0,,,,5.47,0.0,-1641.76,12.97
6,7,002310,*ST东园,1.68,5.0,0.08,,,0.0,,,,1.6,0.0,-1.98,-3.39
7,8,688021,奥福环保,11.5,2.86,0.32,,,0.0,,,,11.18,0.0,-23.7,1.0
8,9,000551,创元科技,13.81,2.75,0.37,,,0.0,,,,13.44,0.0,19.77,2.21
9,10,000885,城发环境,12.57,2.44,0.3,,,0.0,,,,12.27,0.0,7.0,0.98
10,11,300692,中环环保,5.55,2.4,0.13,,,0.0,,,,5.42,0.0,23.74,1.09
11,12,301305,朗坤环境,19.3,2.22,0.42,,,0.0,,,,18.88,0.0,18.23,1.33
12,13,301259,艾布鲁,52.52,2.14,1.1,,,0.0,,,,51.42,0.0,-183.25,9.85
13,14,603177,德创环保,8.38,1.82,0.15,,,0.0,,,,8.23,0.0,53.52,4.58
14,15,831370,新安洁,4.49,1.35,0.06,,,0.0,,,,4.43,0.0,-37.69,2.01
15,16,300355,蒙草生态,5.7,1.24,0.07,,,0.0,,,,5.63,0.0,137.18,2.09
16,17,836263,中航泰达,8.6,1.18,0.1,,,0.0,,,,8.5,0.0,20.63,2.13
17,18,301372,科净源,23.05,1.1,0.25,,,0.0,,,,22.8,0.0,-30.47,1.83
18,19,301265,华新环保,9.48,1.07,0.1,,,0.0,,,,9.38,0.0,53.21,1.4
19,20,300958,建工修复,12.63,0.96,0.12,,,0.0,,,,12.51,0.0,174.16,1.44
20,21,688701,卓锦股份,6.37,0.95,0.06,,,0.0,,,,6.31,0.0,-15.13,3.58
21,22,688057,金达莱,11.62,0.78,0.09,,,0.0,,,,11.53,0.0,23.83,1.0
22,23,002479,富春环保,4.74,0.64,0.03,,,0.0,,,,4.71,0.0,11.87,1.0
23,24,300929,华骐环保,9.57,0.63,0.06,,,0.0,,,,9.51,0.0,-77.27,1.52
24,25,600874,创业环保,5.98,0.5,0.03,,,0.0,,,,5.95,0.0,10.4,0.98
25,26,300335,迪森股份,4.94,0.41,0.02,,,0.0,,,,4.92,0.0,27.32,1.22
26,27,603588,高能环境,5.25,0.19,0.01,,,0.0,,,,5.24,0.0,10.77,0.84
27,28,603817,海峡环保,5.56,0.18,0.01,,,0.0,,,,5.55,0.0,13.04,1.09
28,29,600539,狮头股份,6.3,0.16,0.01,,,0.0,,,,6.29,0.0,-123.61,4.19
