,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,870976,视声智能,14.88,11.04,1.48,1762,2621439.36,0.0,14.88,14.88,14.88,13.4,0.68,22.22,4.05
1,2,000066,中国长城,10.45,10.0,0.95,74217,77556765.0,0.0,10.45,10.45,10.45,9.5,0.24,-39.99,2.75
2,3,300479,神思电子,19.69,6.09,1.13,1932,3804108.0,0.0,19.69,19.69,19.69,18.56,0.1,-25.1,8.47
3,4,300177,中海达,11.8,3.96,0.45,17958,21190440.0,0.0,11.8,11.8,11.8,11.35,0.3,-119.07,5.37
4,5,603106,恒银科技,9.0,3.57,0.31,30774,27696600.0,0.0,9.0,9.0,9.0,8.69,0.59,-63.9,3.81
5,6,603019,中科曙光,50.7,3.45,1.69,9652,48935640.0,0.0,50.7,50.7,50.7,49.01,0.07,72.45,3.87
6,7,430198,微创光电,8.57,3.13,0.26,654,560512.28,0.0,8.57,8.57,8.57,8.31,0.09,-13.95,3.56
7,8,300551,古鳌科技,13.78,2.76,0.37,5627,7754143.8,0.0,13.78,13.78,13.78,13.41,0.19,-19.8,5.81
8,9,300807,天迈科技,34.95,2.67,0.91,515,1799925.0,0.0,34.95,34.95,34.95,34.04,0.1,-35.6,4.65
9,10,688208,道通科技,32.61,2.26,0.72,621,2026385.0,0.0,32.61,32.61,32.61,31.89,0.01,19.06,4.96
10,11,000034,神州数码,31.38,2.02,0.62,2079,6523902.0,0.0,31.38,31.38,31.38,30.76,0.04,20.63,2.33
11,12,301042,安联锐视,34.49,1.98,0.67,28,96572.0,0.0,34.49,34.49,34.49,33.82,0.01,26.46,2.23
12,13,300546,雄帝科技,16.6,1.84,0.3,514,853240.0,0.0,16.6,16.6,16.6,16.3,0.04,204.89,2.88
13,14,301157,华塑科技,36.7,1.83,0.66,39,143130.0,0.0,36.7,36.7,36.7,36.04,0.02,63.43,2.06
14,15,600100,同方股份,6.32,1.77,0.11,4731,2989992.0,0.0,6.32,6.32,6.32,6.21,0.01,375.78,1.44
15,16,688288,鸿泉物联,16.23,1.63,0.26,526,853730.0,0.0,16.23,16.23,16.23,15.97,0.05,-44.84,2.29
16,17,301391,卡莱特,37.57,1.54,0.57,38,142766.0,0.0,37.57,37.57,37.57,37.0,0.01,139.27,1.65
17,18,002383,合众思壮,7.5,1.49,0.11,1291,968250.0,0.0,7.5,7.5,7.5,7.39,0.02,-48.08,3.02
18,19,300368,ST汇金,3.75,1.35,0.05,2486,932250.0,0.0,3.75,3.75,3.75,3.7,0.05,-17.42,6.66
19,20,000977,浪潮信息,41.45,1.32,0.54,6673,27659585.0,0.0,41.45,41.45,41.45,40.91,0.05,51.1,3.32
20,21,300455,航天智装,13.9,1.16,0.16,765,1063350.0,0.0,13.9,13.9,13.9,13.74,0.01,244.56,5.54
21,22,002180,纳思达,28.1,1.08,0.3,718,2017580.0,0.0,28.1,28.1,28.1,27.8,0.01,20.44,3.91
22,23,002152,广电运通,11.7,1.04,0.12,2185,2556450.0,0.0,11.7,11.7,11.7,11.58,0.01,29.16,2.38
23,24,300130,新国都,26.71,1.02,0.27,6602,17633942.0,0.0,26.71,26.71,26.71,26.44,0.15,16.68,3.39
24,25,300884,狄耐克,11.05,1.01,0.11,287,317135.0,0.0,11.05,11.05,11.05,10.94,0.02,53.59,2.1
25,26,301589,诺瓦星云,195.98,0.94,1.83,23,450754.0,0.0,195.98,195.98,195.98,194.15,0.01,27.92,5.22
26,27,300531,优博讯,17.18,0.82,0.14,1050,1803900.0,0.0,17.18,17.18,17.18,17.04,0.03,989.96,3.78
27,28,002970,锐明技术,42.5,0.78,0.33,2542,10803500.0,0.0,42.5,42.5,42.5,42.17,0.23,29.72,5.02
28,29,002835,同为股份,16.14,0.75,0.12,687,1108818.0,0.0,16.14,16.14,16.14,16.02,0.05,19.91,3.3
29,30,001339,智微智能,34.98,0.72,0.25,246,860508.0,0.0,34.98,34.98,34.98,34.73,0.03,77.67,4.38
30,31,688592,司南导航,40.26,0.7,0.28,21,86358.0,0.0,40.26,40.26,40.26,39.98,0.01,543.64,2.47
31,32,002236,大华股份,16.02,0.69,0.11,1233,1975266.0,0.0,16.02,16.02,16.02,15.91,0.01,14.57,1.52
32,33,002415,海康威视,28.46,0.64,0.18,2412,6864552.0,0.0,28.46,28.46,28.46,28.28,0.0,25.94,3.56
33,34,603516,淳中科技,28.35,0.53,0.15,326,924210.0,0.0,28.35,28.35,28.35,28.2,0.02,72.92,4.25
34,35,301608,博实结,66.61,0.53,0.35,61,406321.0,0.0,66.61,66.61,66.61,66.26,0.04,32.74,3.08
35,36,600764,中国海防,25.12,0.52,0.13,294,738528.0,0.0,25.12,25.12,25.12,24.99,0.0,118.42,2.19
