,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,837242,建邦科技,23.55,20.77,4.05,2721,6408732.15,0.0,23.55,23.55,23.55,19.5,0.77,15.05,2.72
1,2,832149,利尔达,6.9,17.95,1.05,9344,6447132.3,0.0,6.9,6.9,6.9,5.85,0.82,-35.43,3.87
2,3,002072,凯瑞德,4.87,1.88,0.09,493,240091.0,0.0,4.87,4.87,4.87,4.78,0.02,194.27,30.97
3,4,000626,远大控股,5.1,1.39,0.07,69,35190.0,0.0,5.1,5.1,5.1,5.03,0.0,-32.16,1.0
4,5,001287,中电港,19.37,1.36,0.26,586,1135082.0,0.0,19.37,19.37,19.37,19.11,0.01,67.13,2.88
5,6,002356,赫美集团,3.02,1.34,0.04,397,119894.0,0.0,3.02,3.02,3.02,2.98,0.0,-91.21,7.05
6,7,300755,华致酒行,17.04,1.07,0.18,396,674784.0,0.0,17.04,17.04,17.04,16.86,0.01,22.9,1.97
7,8,301370,国科恒泰,11.44,1.06,0.12,117,133848.0,0.0,11.44,11.44,11.44,11.32,0.0,42.78,2.23
8,9,001316,润贝航科,28.99,0.94,0.27,17,49283.0,0.0,28.99,28.99,28.99,28.72,0.01,26.99,2.06
9,10,300184,力源信息,10.29,0.88,0.09,19794,20368026.0,0.0,10.29,10.29,10.29,10.2,0.19,102.4,3.23
10,11,301099,雅创电子,41.41,0.88,0.36,245,1014545.0,0.0,41.41,41.41,41.41,41.05,0.07,53.41,4.29
11,12,002127,南极电商,3.07,0.66,0.02,1128,346296.0,0.0,3.07,3.07,3.07,3.05,0.01,48.37,1.68
12,13,600739,辽宁成大,11.13,0.54,0.06,426,474138.0,0.0,11.13,11.13,11.13,11.07,0.0,18.53,0.58
13,14,600981,汇鸿集团,2.09,0.48,0.01,2212,462308.0,0.0,2.09,2.09,2.09,2.08,0.01,-7.09,1.05
14,15,000829,天音控股,10.89,0.46,0.05,3663,3989007.0,0.0,10.89,10.89,10.89,10.84,0.04,570.93,3.74
15,16,600058,五矿发展,6.95,0.43,0.03,298,207117.0,0.0,6.95,6.95,6.95,6.92,0.0,73.39,1.51
16,17,002091,江苏国泰,7.1,0.42,0.03,140,99400.0,0.0,7.1,7.1,7.1,7.07,0.0,11.76,0.78
17,18,600755,厦门国贸,7.17,0.42,0.03,1022,732774.0,0.0,7.17,7.17,7.17,7.14,0.0,9.27,0.75
18,19,600710,苏美达,8.65,0.35,0.03,293,253445.0,0.0,8.65,8.65,8.65,8.62,0.0,9.91,1.62
19,20,000151,中成股份,12.2,0.33,0.04,1046,1276120.0,0.0,12.2,12.2,12.2,12.16,0.03,-19.85,7.37
20,21,000061,农 产 品,6.23,0.32,0.02,245,152635.0,0.0,6.23,6.23,6.23,6.21,0.0,24.84,1.72
21,22,603003,*ST龙宇,4.88,0.21,0.01,1792,874496.0,0.0,4.88,4.88,4.88,4.87,0.05,51.17,0.5
22,23,603071,物产环能,12.02,0.17,0.02,59,70918.0,0.0,12.02,12.02,12.02,12.0,0.0,9.32,1.31
23,24,600128,苏豪弘业,7.5,0.13,0.01,94,70500.0,0.0,7.5,7.5,7.5,7.49,0.0,47.41,0.88
24,25,600826,兰生股份,7.05,0.0,0.0,480,338400.0,0.0,7.05,7.05,7.05,7.05,0.01,31.54,1.38
25,26,600250,南京商旅,8.3,0.0,0.0,385,319550.0,0.0,8.3,8.3,8.3,8.3,0.01,46.69,4.3
26,27,600153,建发股份,10.27,0.0,0.0,3606,3703362.0,0.0,10.27,10.27,10.27,10.27,0.01,12.62,0.56
27,28,300975,商络电子,10.09,0.0,0.0,3765,3798885.0,0.0,10.09,10.09,10.09,10.09,0.08,94.62,3.29
28,29,002183,怡 亚 通,3.65,0.0,0.0,936,341640.0,0.0,3.65,3.65,3.65,3.65,0.0,115.02,1.04
29,30,000019,深粮控股,6.49,0.0,0.0,232,150568.0,0.0,6.49,6.49,6.49,6.49,0.01,28.99,1.58
30,31,601061,中信金属,7.64,-0.13,-0.01,426,325464.0,0.0,7.64,7.64,7.64,7.65,0.01,16.92,1.81
31,32,600278,东方创业,6.52,-0.31,-0.02,238,155176.0,0.0,6.52,6.52,6.52,6.54,0.0,22.12,0.8
32,33,600608,ST沪科,2.63,-0.38,-0.01,23,6049.0,0.0,2.63,2.63,2.63,2.64,0.0,518.31,19.5
33,34,600753,庚星股份,7.17,-1.78,-0.13,4479,3211185.0,0.0,7.17,7.17,7.17,7.3,0.19,-22.57,8.22
34,35,301558,三态股份,8.47,-2.42,-0.21,3582,3033954.0,0.0,8.47,8.47,8.47,8.68,0.16,73.62,4.96
35,36,002640,跨境通,3.02,-3.51,-0.11,34990,10566980.0,0.0,3.02,3.02,3.02,3.13,0.25,-206.66,3.53
