,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300311,任子行,8.48,19.94,1.41,,,0.0,,,,7.07,0.0,-29.44,9.27
1,2,002926,华西证券,8.62,6.03,0.49,,,0.0,,,,8.13,0.0,286.07,0.99
2,3,300300,ST峡创,2.21,1.38,0.03,,,0.0,,,,2.18,0.0,-26.07,9.27
3,4,600693,东百集团,3.21,0.63,0.02,,,0.0,,,,3.19,0.0,19.98,0.79
4,5,601519,大智慧,7.84,0.13,0.01,,,0.0,,,,7.83,0.0,-57.02,10.19
5,6,603739,蔚蓝生物,11.38,0.0,0.0,,,0.0,,,,11.38,0.0,49.05,1.68
6,7,600755,厦门国贸,6.98,0.0,0.0,,,0.0,,,,6.98,0.0,9.02,0.73
7,8,600551,时代出版,,,,,,,,,,8.42,0.0,16.64,1.01
8,9,000555,神州信息,11.23,0.0,0.0,,,0.0,,,,11.23,0.0,-71.59,1.8
9,10,601169,北京银行,5.85,-0.17,-0.01,,,0.0,,,,5.86,0.0,4.24,0.48
10,11,601128,常熟银行,7.25,-0.55,-0.04,,,0.0,,,,7.29,0.0,6.3,0.85
