,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301297,富乐德,29.98,20.02,5.0,2946,8833037.38,0.0,29.98,29.98,29.98,24.98,0.21,101.43,6.98
1,2,430139,华岭股份,16.8,8.18,1.27,17467,28537525.71,3.93,16.81,16.2,16.2,15.53,0.67,-801.54,4.07
2,3,300046,台基股份,27.0,5.59,1.43,22449,59742759.0,3.01,27.1,26.33,26.33,25.57,0.95,-2965.37,5.83
3,4,301369,联动科技,60.66,4.59,2.66,3501,20956111.5,1.91,60.77,59.66,59.67,58.0,1.44,760.17,2.89
4,5,301348,蓝箭电子,26.15,2.91,0.74,3179,8229651.0,1.5,26.18,25.8,25.84,25.41,0.24,-333.67,3.48
5,6,688372,伟测科技,60.97,2.09,1.25,654,3976047.0,2.14,61.0,59.72,60.9,59.72,0.08,83.93,2.73
6,7,688362,甬矽电子,20.94,1.85,0.38,1938,4053846.0,1.65,20.99,20.65,20.82,20.56,0.07,353.22,3.5
7,8,300458,全志科技,36.4,1.79,0.64,12784,46101943.0,1.73,36.4,35.78,36.0,35.76,0.25,96.82,7.65
8,9,300666,江丰电子,61.15,1.76,1.06,2624,15942234.0,1.56,61.15,60.21,60.78,60.09,0.12,50.35,3.8
9,10,300706,阿石创,23.73,1.76,0.41,1072,2528685.0,1.84,23.73,23.3,23.51,23.32,0.09,365.16,4.81
10,11,300671,富满微,42.06,1.62,0.67,2061,8504691.0,3.02,42.06,40.81,40.81,41.39,0.09,-95.75,5.14
11,12,300327,中颖电子,24.04,1.56,0.37,2543,6082401.0,1.99,24.13,23.66,23.66,23.67,0.07,57.76,4.89
12,13,688608,恒玄科技,243.0,1.53,3.66,120,2901618.0,1.46,243.0,239.5,240.0,239.34,0.01,98.79,4.68
13,14,688209,英集芯,14.75,1.51,0.22,1626,2390803.0,1.38,14.8,14.6,14.66,14.53,0.06,80.23,3.4
14,15,605588,冠石科技,42.5,1.5,0.63,694,2936880.0,1.91,42.8,42.0,42.0,41.87,0.09,77.0,2.91
15,16,300223,北京君正,64.94,1.45,0.93,2390,15279420.0,2.14,64.95,63.58,63.58,64.01,0.06,79.18,2.64
16,17,688409,富创精密,47.2,1.4,0.65,513,2401519.0,1.48,47.2,46.51,46.56,46.55,0.03,59.68,3.22
