,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002851,麦格米特,33.86,10.01,3.08,19560,66230904.92,0.0,33.86,33.86,33.86,30.78,0.47,27.13,3.82
1,2,300870,欧陆通,55.69,8.68,4.45,6571,36505393.0,5.76,57.5,54.55,54.55,51.24,0.65,32.64,3.01
2,3,002366,融发核电,4.17,2.71,0.11,222111,94535025.95,3.2,4.29,4.16,4.28,4.06,1.77,2400.39,1.87
3,4,301516,中远通,18.46,1.37,0.25,3439,6345979.0,1.54,18.5,18.22,18.47,18.21,0.53,-140.41,3.69
4,5,301386,未来电器,20.58,0.98,0.2,141,287221.0,1.42,20.58,20.29,20.3,20.38,0.03,32.26,2.01
5,6,002364,中恒电气,6.81,0.89,0.06,2403,1631664.0,1.19,6.83,6.75,6.77,6.75,0.04,28.21,1.64
6,7,002534,西子洁能,11.16,0.72,0.08,1150,1279360.0,1.17,11.19,11.06,11.06,11.08,0.02,12.05,2.06
7,8,301327,华宝新能,79.54,0.67,0.53,234,1852555.06,1.0,79.54,78.75,79.17,79.01,0.07,68.14,1.64
8,9,688551,科威尔,29.18,0.62,0.18,159,464110.0,1.52,29.49,29.05,29.06,29.0,0.02,29.29,1.88
9,10,688719,爱科赛博,25.27,0.6,0.15,132,330630.0,1.04,25.27,25.01,25.01,25.12,0.02,44.78,1.62
10,11,002227,奥 特 迅,9.09,0.44,0.04,874,797574.0,1.22,9.17,9.06,9.15,9.05,0.04,-64.53,2.17
11,12,300491,通合科技,15.22,0.33,0.05,254,384891.0,0.99,15.25,15.1,15.1,15.17,0.02,65.85,2.32
12,13,300153,科泰电源,7.31,0.27,0.02,1568,1141981.0,1.51,7.35,7.24,7.29,7.29,0.05,66.06,2.74
13,14,600405,动力源,4.0,0.25,0.01,1444,572823.0,1.25,4.0,3.95,3.95,3.99,0.03,-10.61,4.43
14,15,600202,哈空调,4.16,0.24,0.01,2116,875268.0,0.96,4.16,4.12,4.12,4.15,0.06,89.57,1.91
15,16,600475,华光环能,8.98,0.22,0.02,654,585959.0,0.45,8.99,8.95,8.95,8.96,0.01,10.8,1.01
16,17,300693,盛弘股份,24.18,0.21,0.05,1296,3128511.0,0.99,24.3,24.06,24.13,24.13,0.05,20.72,4.8
17,18,300713,英可瑞,15.83,0.19,0.03,917,1447466.0,1.08,15.85,15.68,15.8,15.8,0.1,-43.23,4.06
18,19,600875,东方电气,14.39,0.14,0.02,3480,4983351.0,0.7,14.39,14.29,14.31,14.37,0.02,13.26,1.2
19,20,002335,科华数据,22.19,0.14,0.03,734,1628934.0,0.81,22.3,22.12,22.15,22.16,0.02,22.7,2.35
20,21,002518,科士达,17.37,-0.06,-0.01,1145,1982638.0,0.69,17.38,17.26,17.27,17.38,0.02,23.07,2.41
21,22,300376,ST易事特,3.17,-0.31,-0.01,4733,1493167.0,0.94,3.17,3.14,3.16,3.18,0.02,29.61,1.04
22,23,300593,新雷能,12.07,-0.41,-0.05,2222,2682317.6,1.16,12.14,12.0,12.0,12.12,0.05,-48.12,2.27
23,24,000576,甘化科工,6.65,-0.6,-0.04,727,484214.0,1.05,6.69,6.62,6.69,6.69,0.02,55.07,1.78
24,25,002255,海陆重工,4.77,-0.63,-0.03,3641,1744922.0,1.46,4.83,4.76,4.81,4.8,0.06,15.53,1.0
25,26,601727,上海电气,4.4,-0.68,-0.03,25151,11058838.0,0.68,4.41,4.38,4.4,4.43,0.02,56.96,1.28
26,27,300105,龙源技术,7.21,-0.96,-0.07,4275,3086823.0,1.51,7.31,7.2,7.21,7.28,0.08,154.95,1.98
27,28,300820,英杰电气,45.31,-1.11,-0.51,543,2452549.5,1.07,45.49,45.0,45.22,45.82,0.05,28.27,4.39
28,29,002630,华西能源,3.04,-1.3,-0.04,136940,41016900.26,2.92,3.06,2.97,2.97,3.08,1.29,28.9,5.85
