,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,601665,齐鲁银行,5.51,1.29,0.07,4661,2553340.0,1.47,5.52,5.44,5.46,5.44,0.01,5.67,0.74
1,2,002839,张家港行,4.34,1.17,0.05,11319,4905111.53,0.47,4.35,4.33,4.33,4.29,0.05,4.98,0.62
2,3,601658,邮储银行,5.69,0.89,0.05,21743,12359432.0,0.71,5.7,5.66,5.68,5.64,0.0,5.78,0.7
3,4,601998,中信银行,6.84,0.88,0.06,10870,7408487.0,1.03,6.85,6.78,6.78,6.78,0.0,5.15,0.56
4,5,600036,招商银行,38.81,0.83,0.32,12795,49386132.0,0.88,38.85,38.51,38.51,38.49,0.01,6.55,1.02
5,6,601328,交通银行,7.56,0.8,0.06,14388,10847608.0,0.67,7.57,7.52,7.52,7.5,0.0,6.2,0.6
6,7,601838,成都银行,16.0,0.76,0.12,7850,12454340.0,1.13,16.0,15.82,15.82,15.88,0.02,4.95,0.89
7,8,601939,建设银行,8.34,0.72,0.06,16035,13280139.0,0.97,8.34,8.26,8.26,8.28,0.02,6.34,0.69
8,9,601860,紫金银行,2.82,0.71,0.02,15538,4365298.0,0.71,2.82,2.8,2.8,2.8,0.04,5.66,0.55
9,10,600000,浦发银行,10.29,0.68,0.07,10157,10369327.0,1.37,10.3,10.16,10.18,10.22,0.0,5.6,0.48
10,11,600015,华夏银行,7.41,0.68,0.05,5169,3823246.0,0.41,7.42,7.39,7.39,7.36,0.0,4.73,0.41
11,12,600908,无锡银行,5.95,0.68,0.04,2919,1734617.0,0.85,5.96,5.91,5.94,5.91,0.01,4.9,0.63
12,13,600919,江苏银行,9.09,0.66,0.06,26529,24102811.0,0.66,9.12,9.06,9.08,9.03,0.01,4.45,0.75
13,14,601398,工商银行,6.33,0.64,0.04,55393,34946434.0,0.79,6.34,6.29,6.29,6.29,0.0,6.62,0.65
14,15,601825,沪农商行,8.1,0.62,0.05,2759,2220611.0,0.75,8.1,8.04,8.04,8.05,0.0,5.6,0.66
15,16,601988,中国银行,5.08,0.59,0.03,20749,10515327.0,0.4,5.08,5.06,5.06,5.05,0.0,6.3,0.65
16,17,601528,瑞丰银行,5.17,0.58,0.03,2722,1406415.0,0.78,5.18,5.14,5.17,5.14,0.02,6.02,0.58
17,18,601818,光大银行,3.53,0.57,0.02,20455,7199302.0,0.57,3.53,3.51,3.51,3.51,0.0,4.26,0.45
18,19,601166,兴业银行,19.68,0.56,0.11,19717,38715634.0,0.36,19.68,19.61,19.62,19.57,0.01,4.75,0.56
19,20,600928,西安银行,3.65,0.55,0.02,5400,1963170.0,0.55,3.65,3.63,3.63,3.63,0.01,6.07,0.51
20,21,002948,青岛银行,3.71,0.54,0.02,5556,2061704.0,0.54,3.72,3.7,3.71,3.69,0.02,4.09,0.61
21,22,601169,北京银行,5.89,0.51,0.03,15885,9322778.0,0.51,5.89,5.86,5.86,5.86,0.01,4.27,0.48
22,23,601229,上海银行,8.03,0.5,0.04,7683,6154774.0,0.5,8.04,8.0,8.0,7.99,0.01,4.4,0.51
23,24,002966,苏州银行,8.09,0.5,0.04,5527,4465989.18,0.5,8.1,8.06,8.07,8.05,0.02,5.03,0.72
24,25,002807,江阴银行,4.16,0.48,0.02,4757,1980020.0,0.24,4.17,4.16,4.16,4.14,0.02,7.06,0.59
25,26,601009,南京银行,10.66,0.47,0.05,4760,5057424.0,0.57,10.66,10.6,10.61,10.61,0.01,4.87,0.76
26,27,002142,宁波银行,25.75,0.43,0.11,4327,11115041.0,0.66,25.79,25.62,25.64,25.64,0.01,6.23,0.88
27,28,000001,平安银行,12.0,0.42,0.05,42271,50531307.28,0.92,12.02,11.91,11.91,11.95,0.02,4.5,0.57
28,29,001227,兰州银行,2.45,0.41,0.01,10205,2499408.0,0.82,2.46,2.44,2.45,2.44,0.04,7.4,0.48
29,30,601288,农业银行,5.0,0.4,0.02,73763,36822774.0,0.6,5.01,4.98,4.99,4.98,0.0,6.44,0.71
30,31,601577,长沙银行,8.56,0.35,0.03,2053,1752340.0,0.59,8.56,8.51,8.52,8.53,0.01,4.18,0.55
31,32,002958,青农商行,2.9,0.35,0.01,20602,5949649.0,1.38,2.91,2.87,2.89,2.89,0.04,3.97,0.47
32,33,601916,浙商银行,2.92,0.34,0.01,12635,3687452.0,0.34,2.92,2.91,2.92,2.91,0.01,5.01,0.48
33,34,601997,贵阳银行,6.21,0.32,0.02,14865,9221996.0,0.48,6.22,6.19,6.19,6.19,0.04,4.26,0.39
34,35,601128,常熟银行,7.31,0.27,0.02,2419,1764043.0,0.82,7.32,7.26,7.29,7.29,0.01,6.35,0.86
35,36,600016,民生银行,3.9,0.26,0.01,32320,12582333.0,0.51,3.91,3.89,3.89,3.89,0.01,3.8,0.32
36,37,601187,厦门银行,5.16,0.19,0.01,1408,725865.0,0.39,5.17,5.15,5.16,5.15,0.01,5.61,0.55
