,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,835985,海泰新能,8.0,11.89,0.85,4744,3795192.0,0.0,8.0,8.0,8.0,7.15,0.35,15.17,1.87
1,2,834770,艾能聚,8.01,8.24,0.61,2235,1790531.37,0.0,8.01,8.01,8.01,7.4,0.27,27.18,1.84
2,3,839167,同享科技,21.19,6.11,1.22,1037,2197847.99,0.0,21.19,21.19,21.19,19.97,0.16,18.87,3.68
3,4,002897,意华股份,45.0,5.16,2.21,10763,48433500.0,0.0,45.0,45.0,45.0,42.79,0.6,25.18,3.53
4,5,300118,东方日升,13.17,4.61,0.58,9889,13023813.0,0.0,13.17,13.17,13.17,12.59,0.11,-7.8,1.08
5,6,603398,沐邦高科,18.83,4.38,0.79,8422,15858626.0,0.0,18.83,18.83,18.83,18.04,0.19,-26.45,4.1
6,7,603212,赛伍技术,12.37,3.78,0.45,12833,15874421.0,0.0,12.37,12.37,12.37,11.92,0.29,-174.72,1.84
7,8,002459,晶澳科技,14.22,3.72,0.51,11567,16447705.2,0.0,14.22,14.22,14.22,13.71,0.03,-26.92,1.47
8,9,300093,金刚光伏,18.2,3.7,0.65,7963,14492660.0,0.0,18.2,18.2,18.2,17.55,0.37,-8.81,-17.77
9,10,300751,迈为股份,102.0,3.05,3.02,1200,12240000.0,0.0,102.0,102.0,102.0,98.98,0.06,30.9,3.99
10,11,688147,微导纳米,27.96,2.98,0.81,219,611345.0,0.0,27.96,27.96,27.96,27.15,0.02,149.33,5.27
11,12,300274,阳光电源,96.98,2.62,2.48,11435,110896630.0,0.0,96.98,96.98,96.98,94.5,0.07,20.27,6.4
12,13,300393,中来股份,7.45,2.62,0.19,2591,1930295.0,0.0,7.45,7.45,7.45,7.26,0.03,-13.27,2.05
13,14,300842,帝科股份,41.85,2.45,1.0,574,2402190.0,0.0,41.85,41.85,41.85,40.85,0.05,12.64,3.93
14,15,688348,昱能科技,58.0,2.36,1.34,297,1723818.0,0.0,58.0,58.0,58.0,56.66,0.04,51.61,2.5
15,16,688599,天合光能,22.0,2.23,0.48,4395,9668318.0,0.0,22.0,22.0,22.0,21.52,0.02,45.56,1.59
16,17,600537,亿晶光电,2.8,2.19,0.06,4718,1321040.0,0.0,2.8,2.8,2.8,2.74,0.04,-3.54,1.62
17,18,600438,通威股份,20.87,2.15,0.44,3553,7415111.0,0.0,20.87,20.87,20.87,20.43,0.01,-15.01,1.83
