,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,873223,荣亿精密,12.7,29.99,2.93,,,0.0,,,,9.77,0.0,-72.59,7.33
1,2,001288,运机集团,29.0,6.23,1.7,,,0.0,,,,27.3,0.0,42.8,2.43
2,3,603338,浙江鼎力,50.8,4.74,2.3,,,0.0,,,,48.5,0.0,13.21,2.61
3,4,835174,五新隧装,26.76,3.2,0.83,,,0.0,,,,25.93,0.0,19.23,3.2
4,5,834599,同力股份,14.29,2.14,0.3,,,0.0,,,,13.99,0.0,10.64,2.38
5,6,600817,宇通重工,11.78,1.2,0.14,,,0.0,,,,11.64,0.0,36.27,2.65
6,7,603638,艾迪精密,16.0,0.76,0.12,,,0.0,,,,15.88,0.0,34.13,4.21
7,8,000680,山推股份,8.27,0.36,0.03,,,0.0,,,,8.24,0.0,14.83,2.15
8,9,000157,中联重科,6.76,0.3,0.02,,,0.0,,,,6.74,0.0,12.82,1.05
9,10,300022,吉峰科技,4.57,0.22,0.01,,,0.0,,,,4.56,0.0,-70.78,4.17
10,11,002204,大连重工,4.83,0.21,0.01,,,0.0,,,,4.82,0.0,17.71,1.29
11,12,603611,诺力股份,17.09,0.18,0.03,,,0.0,,,,17.06,0.0,9.16,1.61
12,13,000528,柳    工,11.93,0.08,0.01,,,0.0,,,,11.92,0.0,13.44,1.34
13,14,605389,长龄液压,,,,,,,,,,20.67,0.0,24.37,1.42
14,15,601226,华电科工,5.83,0.0,0.0,,,0.0,,,,5.83,0.0,47.4,1.59
15,16,601100,恒立液压,53.0,0.0,0.0,,,0.0,,,,53.0,0.0,29.75,4.72
16,17,300718,长盛轴承,16.45,0.0,0.0,,,0.0,,,,16.45,0.0,21.79,3.04
17,18,300201,海伦哲,4.32,0.0,0.0,,,0.0,,,,4.32,0.0,25.34,3.16
18,19,001226,拓山重工,24.23,0.0,0.0,,,0.0,,,,24.23,0.0,88.47,2.45
19,20,000425,徐工机械,7.54,0.0,0.0,,,0.0,,,,7.54,0.0,12.02,1.49
20,21,600761,安徽合力,17.84,-0.06,-0.01,,,0.0,,,,17.85,0.0,10.82,1.55
21,22,002097,山河智能,6.95,-0.14,-0.01,,,0.0,,,,6.96,0.0,109.39,1.63
22,23,871245,威博液压,19.0,-0.16,-0.03,,,0.0,,,,19.03,0.0,34.9,2.68
23,24,600984,建设机械,3.19,-0.31,-0.01,,,0.0,,,,3.2,0.0,-4.79,0.87
24,25,688425,铁建重工,4.3,-0.46,-0.02,,,0.0,,,,4.32,0.0,15.86,1.37
25,26,600031,三一重工,17.57,-0.51,-0.09,,,0.0,,,,17.66,0.0,20.84,2.15
26,27,600815,厦工股份,2.39,-0.83,-0.02,,,0.0,,,,2.41,0.0,423.37,2.79
27,28,603298,杭叉集团,17.25,-1.15,-0.2,,,0.0,,,,17.45,0.0,10.77,2.33
28,29,200055,方大Ｂ,1.71,-1.16,-0.02,,,0.0,,,,1.73,0.0,8.3,0.27
29,30,600375,*ST汉马,5.45,-1.8,-0.1,,,0.0,,,,5.55,0.0,-7.19,-3.01
30,31,873706,铁拓机械,14.3,-2.26,-0.33,,,0.0,,,,14.63,0.0,22.21,2.42
31,32,002272,川润股份,12.3,-9.56,-1.3,,,0.0,,,,13.6,0.0,-52.69,3.73
