,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300364,中文在线,33.66,20.0,5.61,1004206,3241605606.54,12.34,33.66,30.2,30.2,28.05,15.19,-81.85,22.33
1,2,300788,中信出版,34.58,10.23,3.21,64958,221638069.5,15.21,36.0,31.23,31.3,31.37,3.42,35.4,3.07
2,3,301052,果麦文化,32.9,6.85,2.11,47950,156284275.73,9.84,33.56,30.53,30.53,30.79,5.98,518.5,4.82
3,4,301231,荣信文化,20.39,5.76,1.11,30811,62773264.0,8.51,21.15,19.51,19.56,19.28,5.72,-70.28,1.92
4,5,301025,读客文化,11.36,5.09,0.55,69619,79568884.0,10.18,11.91,10.81,10.81,10.81,2.67,197.11,7.32
5,6,300133,华策影视,7.48,5.06,0.36,668040,499202207.8,7.58,7.7,7.16,7.18,7.12,4.11,99.85,2.02
6,7,601595,上海电影,28.21,4.83,1.3,76431,218043259.0,4.27,29.05,27.9,28.04,26.91,1.71,91.51,7.59
7,8,603721,中广天择,29.87,4.77,1.36,67090,199046636.0,8.91,30.46,27.92,27.92,28.51,5.16,-295.88,7.64
8,9,300654,世纪天鸿,10.83,3.64,0.38,96682,104379789.4,7.08,11.04,10.3,10.43,10.45,2.96,262.07,4.82
9,10,688787,海天瑞声,65.1,3.3,2.08,7669,49832804.0,7.01,66.99,62.57,63.15,63.02,1.27,4715.38,5.21
10,11,300418,昆仑万维,43.53,2.96,1.25,371290,1628504387.59,6.15,45.0,42.4,42.4,42.28,3.01,-68.88,3.55
11,12,603533,掌阅科技,19.5,2.74,0.52,62029,120887048.0,5.43,19.88,18.85,18.85,18.98,1.41,-89.7,3.47
12,13,300182,捷成股份,5.87,2.26,0.13,385920,226242653.12,4.01,5.95,5.72,5.78,5.74,1.72,32.39,1.88
13,14,002343,慈文传媒,6.66,1.99,0.13,54591,36408964.0,3.52,6.79,6.56,6.56,6.53,1.15,111.08,3.22
14,15,300071,福石控股,3.94,1.55,0.06,185918,73020804.99,5.93,4.03,3.8,3.8,3.88,2.01,455.76,13.27
15,16,601949,中国出版,6.91,1.47,0.1,58026,40086003.0,3.52,7.03,6.79,6.79,6.81,0.32,42.14,1.4
16,17,300413,芒果超媒,25.3,1.24,0.31,45295,114362850.25,3.16,25.61,24.82,24.95,24.99,0.44,22.22,2.13
17,18,002131,利欧股份,1.74,1.16,0.02,349441,60578711.54,2.91,1.76,1.71,1.72,1.72,0.6,-7.92,0.92
18,19,000719,中原传媒,11.62,1.04,0.12,23969,27934523.74,3.04,11.79,11.44,11.44,11.5,0.36,16.81,1.1
19,20,601858,中国科传,21.81,0.93,0.2,57533,123865414.0,3.79,21.9,21.08,21.56,21.61,0.73,61.66,3.27
20,21,600825,新华传媒,5.69,0.71,0.04,335031,190634694.0,6.37,5.84,5.48,5.65,5.65,3.21,100.44,2.39
21,22,000681,视觉中国,13.11,0.54,0.07,36777,48184937.73,2.38,13.25,12.94,12.99,13.04,0.54,90.31,2.63
22,23,002354,天娱数科,3.51,0.0,0.0,165301,58020053.78,3.42,3.56,3.44,3.47,3.51,1.02,-507.55,4.16
23,24,002908,德生科技,9.21,-1.5,-0.14,22383,20662444.18,2.14,9.37,9.17,9.37,9.35,0.73,142.29,3.49
24,25,600100,同方股份,7.0,-2.37,-0.17,690326,493332587.0,3.91,7.26,6.98,7.2,7.17,2.06,416.21,1.6
