,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300364,中文在线,33.66,20.0,5.61,1004206,3241605606.54,12.34,33.66,30.2,30.2,28.05,15.19,-81.85,22.33
1,2,300781,因赛集团,70.13,13.37,8.27,78370,531575723.8,15.84,73.0,63.2,63.67,61.86,9.66,193.53,11.06
2,3,300027,华谊兄弟,2.94,7.3,0.2,1103615,323174104.06,9.85,3.07,2.8,2.81,2.74,4.44,165.01,11.55
3,4,300133,华策影视,7.48,5.06,0.36,668040,499202207.8,7.58,7.7,7.16,7.18,7.12,4.11,99.85,2.02
4,5,603721,中广天择,29.87,4.77,1.36,67090,199046636.0,8.91,30.46,27.92,27.92,28.51,5.16,-295.88,7.64
5,6,301262,海看股份,27.49,3.66,0.97,16580,45247699.0,5.88,27.86,26.3,26.5,26.52,1.36,25.84,3.21
6,7,300426,唐德影视,10.93,3.02,0.32,53347,58247774.0,5.66,11.19,10.59,10.6,10.61,1.33,-48.7,47.69
7,8,603533,掌阅科技,19.5,2.74,0.52,62029,120887048.0,5.43,19.88,18.85,18.85,18.98,1.41,-89.7,3.47
8,9,002712,思美传媒,4.55,2.48,0.11,81992,37410981.0,4.95,4.65,4.43,4.43,4.44,1.52,1068.7,1.75
9,10,300058,蓝色光标,7.37,2.36,0.17,324913,238341005.18,4.31,7.45,7.14,7.18,7.2,1.33,50.85,2.32
10,11,300182,捷成股份,5.87,2.26,0.13,385920,226242653.12,4.01,5.95,5.72,5.78,5.74,1.72,32.39,1.88
11,12,603103,横店影视,12.26,2.0,0.24,16873,20675400.0,4.83,12.48,11.9,12.03,12.02,0.27,43.96,5.75
12,13,300291,百纳千成,5.29,1.93,0.1,100767,53095349.0,4.24,5.36,5.14,5.17,5.19,1.08,-84.37,1.41
13,14,002517,恺英网络,13.57,1.88,0.25,149946,201719482.69,3.45,13.66,13.2,13.4,13.32,0.78,18.05,5.13
14,15,002238,天威视讯,8.76,1.27,0.11,43470,38020328.0,3.7,8.9,8.58,8.58,8.65,0.54,234.09,3.08
15,16,300413,芒果超媒,25.3,1.24,0.31,45295,114362850.25,3.16,25.61,24.82,24.95,24.99,0.44,22.22,2.13
16,17,002615,哈尔斯,7.67,1.05,0.08,38228,29282336.41,1.58,7.71,7.59,7.59,7.59,1.26,13.9,2.33
17,18,002291,遥望科技,5.56,0.91,0.05,130124,72560870.9,2.54,5.65,5.51,5.6,5.51,1.48,-11.83,1.22
18,19,600637,东方明珠,7.21,0.84,0.06,56468,40753505.0,1.68,7.27,7.15,7.15,7.15,0.17,28.63,0.82
19,20,000917,电广传媒,6.33,0.64,0.04,103263,65252853.62,2.23,6.39,6.25,6.28,6.29,0.73,64.11,0.87
20,21,300494,盛天网络,11.82,0.0,0.0,67902,80684640.6,2.54,12.04,11.74,11.76,11.82,1.7,712.76,3.4
21,22,002354,天娱数科,3.51,0.0,0.0,165301,58020053.78,3.42,3.56,3.44,3.47,3.51,1.02,-507.55,4.16
22,23,002624,完美世界,10.0,-0.1,-0.01,416082,416835169.42,4.8,10.28,9.8,10.01,10.01,2.28,-54.84,2.47
23,24,002587,奥拓电子,6.07,-0.16,-0.01,39510,24013147.0,1.32,6.12,6.04,6.05,6.08,0.77,835.93,2.93
24,25,002195,岩山科技,2.88,-0.35,-0.01,190288,54704029.87,1.73,2.9,2.85,2.9,2.89,0.34,221.29,1.68
25,26,000810,创维数字,11.66,-1.6,-0.19,112678,132259412.98,1.77,11.86,11.65,11.76,11.85,1.01,36.88,2.1
26,27,300052,中青宝,22.97,-4.29,-1.03,377576,947535726.47,14.67,26.43,22.91,25.5,24.0,14.42,-120.26,13.22
