,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,834021,流金科技,7.65,20.47,1.3,277203,188685604.58,34.02,7.79,5.63,6.34,6.35,12.15,576.31,3.57
1,2,300364,中文在线,33.66,20.0,5.61,1004206,3241605606.54,12.34,33.66,30.2,30.2,28.05,15.19,-81.85,22.33
2,3,300781,因赛集团,70.01,13.17,8.15,78370,531575723.8,15.84,73.0,63.2,63.67,61.86,9.66,193.2,11.04
3,4,300063,天龙集团,8.1,10.66,0.78,668152,528389857.54,15.85,8.5,7.34,7.37,7.32,10.69,96.38,3.86
4,5,300788,中信出版,34.6,10.3,3.23,65106,222149367.5,15.21,36.0,31.23,31.3,31.37,3.42,35.42,3.07
5,6,000793,华闻集团,1.99,9.94,0.18,1226184,236556824.5,13.26,1.99,1.75,1.77,1.81,6.25,-32.79,4.53
6,7,301551,无线传媒,83.08,8.46,6.48,40841,333390124.37,10.23,85.03,77.19,77.19,76.6,11.51,132.06,14.06
7,8,300027,华谊兄弟,2.94,7.3,0.2,1103615,323174104.06,9.85,3.07,2.8,2.81,2.74,4.44,165.01,11.55
8,9,301052,果麦文化,32.9,6.85,2.11,48060,156646291.73,9.84,33.56,30.53,30.53,30.79,5.99,518.5,4.82
9,10,301231,荣信文化,20.39,5.76,1.11,30817,62785493.0,8.51,21.15,19.51,19.56,19.28,5.72,-70.28,1.92
10,11,300133,华策影视,7.48,5.06,0.36,668040,499202207.8,7.58,7.7,7.16,7.18,7.12,4.11,99.85,2.02
11,12,301025,读客文化,11.35,5.0,0.54,69705,79666624.0,10.18,11.91,10.81,10.81,10.81,2.68,196.93,7.31
12,13,601595,上海电影,28.21,4.83,1.3,76431,218043259.0,4.27,29.05,27.9,28.04,26.91,1.71,91.51,7.59
13,14,603721,中广天择,29.87,4.77,1.36,67090,199046636.0,8.91,30.46,27.92,27.92,28.51,5.16,-295.88,7.64
14,15,300242,佳云科技,4.06,4.37,0.17,378074,153428239.0,6.43,4.18,3.93,3.96,3.89,6.01,-40.67,6.89
15,16,002292,奥飞娱乐,7.29,4.29,0.3,432710,311425075.48,7.3,7.41,6.9,6.9,6.99,4.25,97.99,3.18
16,17,000892,欢瑞世纪,3.24,4.18,0.13,100844,32813162.0,9.32,3.4,3.11,3.11,3.11,1.42,99.07,2.8
17,18,300612,宣亚国际,17.25,3.73,0.62,66004,113858416.62,4.21,17.6,16.9,17.04,16.63,3.67,-128.41,6.02
18,19,300528,幸福蓝海,8.77,3.66,0.31,44214,38474179.4,5.67,8.86,8.38,8.38,8.46,1.19,-54.87,4.7
19,20,300654,世纪天鸿,10.83,3.64,0.38,96682,104379789.4,7.08,11.04,10.3,10.43,10.45,2.96,262.07,4.82
20,21,301262,海看股份,27.47,3.58,0.95,16581,45250446.0,5.88,27.86,26.3,26.5,26.52,1.36,25.82,3.21
21,22,603598,引力传媒,15.32,3.16,0.47,100331,152912969.0,7.34,15.64,14.55,14.63,14.85,3.75,115.18,18.81
22,23,002995,天地在线,18.88,3.06,0.56,80200,150938324.49,3.98,19.23,18.5,18.5,18.32,7.13,-74.85,3.43
23,24,300426,唐德影视,10.93,3.02,0.32,53347,58247774.0,5.66,11.19,10.59,10.6,10.61,1.33,-48.7,47.69
24,25,300280,紫天科技,18.18,2.77,0.49,49344,89273536.0,6.27,18.48,17.37,17.6,17.69,3.07,123.4,2.4
25,26,603533,掌阅科技,19.5,2.74,0.52,62029,120887048.0,5.43,19.88,18.85,18.85,18.98,1.41,-89.7,3.47
26,27,301102,兆讯传媒,10.55,2.73,0.28,25983,27275543.25,4.09,10.64,10.22,10.26,10.27,2.56,52.33,1.42
27,28,603729,龙韵股份,14.87,2.69,0.39,18219,26923101.0,4.21,14.98,14.37,14.37,14.48,1.95,-85.6,3.91
28,29,605577,龙版传媒,14.48,2.62,0.37,21010,30361798.0,3.9,14.66,14.11,14.2,14.11,0.47,31.39,1.73
29,30,002712,思美传媒,4.55,2.48,0.11,81992,37410981.0,4.95,4.65,4.43,4.43,4.44,1.52,1068.7,1.75
30,31,002181,粤 传 媒,3.87,2.38,0.09,43715,16890988.0,4.76,3.94,3.76,3.78,3.78,0.39,-46.87,1.08
31,32,603096,新经典,17.73,2.37,0.41,5961,10543634.0,2.94,17.91,17.4,17.4,17.32,0.39,15.02,1.46
32,33,300058,蓝色光标,7.37,2.36,0.17,324913,238341005.18,4.31,7.45,7.14,7.18,7.2,1.33,50.85,2.32
33,34,300182,捷成股份,5.87,2.26,0.13,385920,226242653.12,4.01,5.95,5.72,5.78,5.74,1.72,32.39,1.88
