,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600418,江淮汽车,35.36,5.84,1.95,570839,1976224725.0,9.43,35.85,32.7,32.8,33.41,2.61,128.36,5.73
1,2,000957,中通客车,10.56,4.04,0.41,155541,162565796.0,4.43,10.65,10.2,10.26,10.15,2.62,28.22,2.22
2,3,000625,长安汽车,13.54,2.73,0.36,657469,883533240.46,3.57,13.58,13.11,13.17,13.18,0.8,23.71,1.87
3,4,600733,北汽蓝谷,7.52,2.04,0.15,648045,485918382.0,4.07,7.61,7.31,7.33,7.37,1.33,-8.15,11.27
4,5,000980,众泰汽车,1.85,1.65,0.03,391186,72059067.84,3.85,1.87,1.8,1.82,1.82,0.8,-18.36,7.49
5,6,000868,安凯客车,5.07,1.6,0.08,91141,46034339.06,3.81,5.11,4.92,4.98,4.99,1.24,328.15,5.55
6,7,600104,上汽集团,13.13,1.47,0.19,82509,107926434.0,2.24,13.19,12.9,12.9,12.94,0.07,11.47,0.53
7,8,601633,长城汽车,27.04,1.46,0.39,49301,132957020.0,2.44,27.21,26.56,26.65,26.65,0.08,16.31,3.14
8,9,000800,一汽解放,8.5,1.43,0.12,174881,151178789.65,5.61,8.95,8.48,8.95,8.38,0.38,43.74,1.59
9,10,600166,福田汽车,2.49,1.22,0.03,358306,89347165.0,2.85,2.52,2.45,2.46,2.46,0.55,23.8,1.34
10,11,000572,海马汽车,3.42,1.18,0.04,85187,29026471.0,2.37,3.44,3.36,3.39,3.38,0.52,-18.55,3.22
11,12,601127,赛力斯,91.36,1.08,0.98,123981,1130471466.0,3.32,92.5,89.5,89.55,90.38,0.82,42.45,10.42
12,13,600841,动力新科,4.33,0.93,0.04,23781,10300042.0,2.56,4.37,4.26,4.3,4.29,0.26,-4.36,1.24
13,14,600686,金龙汽车,12.46,0.89,0.11,150033,186960832.0,1.94,12.59,12.35,12.36,12.35,2.09,67.28,2.82
14,15,601777,力帆科技,5.11,0.79,0.04,164275,84891041.0,4.34,5.24,5.02,5.03,5.07,0.36,441.0,2.2
15,16,000550,江铃汽车,27.34,0.77,0.21,26030,71341675.66,2.21,27.65,27.05,27.13,27.13,0.5,13.18,2.21
16,17,600006,东风股份,6.57,0.77,0.05,72421,47719606.0,2.15,6.65,6.51,6.54,6.52,0.36,100.48,1.58
17,18,200625,长  安Ｂ,3.82,0.53,0.02,6821,2603487.3,1.84,3.85,3.78,3.79,3.8,0.04,6.11,0.48
18,19,601238,广汽集团,8.04,0.5,0.04,38847,31197077.0,1.38,8.08,7.97,8.0,8.0,0.05,27.47,0.72
19,20,000951,中国重汽,15.98,0.38,0.06,24574,39451568.0,1.82,16.19,15.9,16.0,15.92,0.21,15.18,1.3
20,21,301039,中集车辆,10.2,0.2,0.02,22454,22958776.64,1.96,10.31,10.11,10.21,10.18,0.15,16.98,1.33
21,22,002594,比亚迪,307.0,0.18,0.55,14385,440886660.98,1.76,308.9,303.51,305.0,306.45,0.12,32.76,6.26
22,23,200550,江  铃Ｂ,11.83,0.17,0.02,195,231004.0,0.51,11.87,11.81,11.81,11.81,0.01,5.2,0.87
23,24,600303,ST曙光,2.52,0.0,0.0,17938,4528598.0,1.19,2.54,2.51,2.52,2.52,0.27,-6.23,1.1
24,25,600066,宇通客车,24.49,-0.69,-0.17,42315,104367223.0,1.82,24.9,24.45,24.82,24.66,0.19,16.2,4.45
