,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,838971,天马新材,65.0,29.59,14.84,42109,266374171.01,9.37,65.15,60.45,63.0,50.16,4.97,226.83,16.16
1,2,836807,奔朗新材,10.55,22.11,1.91,84628,94594074.14,8.45,11.23,10.5,11.23,8.64,8.7,51.42,2.07
2,3,002130,沃尔核材,19.82,4.32,0.82,73073,142507531.0,3.95,19.94,19.19,19.19,19.0,0.58,29.77,4.91
3,4,600330,天通股份,7.51,4.16,0.3,54787,41693899.0,3.47,7.75,7.5,7.6,7.21,0.44,58.73,1.16
4,5,001359,平安电工,23.35,3.59,0.81,4279,9930882.86,1.42,23.4,23.08,23.08,22.54,0.92,19.84,2.42
5,6,839719,宁新新材,11.49,2.96,0.33,8568,9945064.48,4.93,11.76,11.21,11.73,11.16,1.29,-29.15,1.15
6,7,001301,尚太科技,55.34,1.06,0.58,931,5121990.0,1.24,55.43,54.75,54.76,54.76,0.06,20.24,2.48
7,8,603119,浙江荣泰,16.69,0.48,0.08,1551,2583732.0,1.14,16.8,16.61,16.65,16.61,0.08,30.06,3.57
8,9,688119,中钢洛耐,3.93,0.0,0.0,1180,467205.0,1.53,3.99,3.93,3.99,3.93,0.02,-397.52,1.45
9,10,002057,中钢天源,6.95,0.0,0.0,779,541876.0,0.72,6.99,6.94,6.95,6.95,0.01,25.68,1.72
10,11,688733,壹石通,19.8,-0.05,-0.01,2633,5269585.0,2.17,20.13,19.7,20.13,19.81,0.13,339.39,1.8
11,12,688300,联瑞新材,54.2,-0.13,-0.07,878,4774072.0,1.42,54.97,54.2,54.3,54.27,0.05,42.84,7.33
12,13,600783,鲁信创投,12.8,-0.31,-0.04,1130,1446574.0,0.93,12.85,12.73,12.84,12.84,0.02,20.17,2.0
13,14,603612,索通发展,12.19,-0.33,-0.04,598,730258.0,0.74,12.27,12.18,12.23,12.23,0.01,105.15,1.17
14,15,688281,华秦科技,103.01,-0.36,-0.37,623,6474905.0,1.93,105.0,103.0,105.0,103.38,0.13,46.51,4.59
15,16,688357,建龙微纳,24.47,-0.37,-0.09,261,647941.0,2.2,24.87,24.33,24.87,24.56,0.03,26.38,1.49
16,17,600516,方大炭素,5.07,-0.39,-0.02,1248,634436.0,0.39,5.09,5.07,5.09,5.09,0.0,59.3,1.19
17,18,600172,黄河旋风,2.45,-0.41,-0.01,6040,1486707.0,0.81,2.47,2.45,2.47,2.46,0.05,-7.11,1.57
18,19,001296,长江材料,16.1,-0.49,-0.08,387,624793.0,0.49,16.18,16.1,16.18,16.18,0.07,17.24,1.4
19,20,300409,道氏技术,12.07,-0.58,-0.07,3027,3665244.0,1.32,12.18,12.02,12.18,12.14,0.06,31.72,1.31
20,21,300395,菲利华,45.59,-0.65,-0.3,3178,14515493.0,3.23,46.0,44.52,45.89,45.89,0.06,75.75,5.83
21,22,300035,中科电气,10.31,-0.67,-0.07,4565,4735163.0,2.02,10.5,10.29,10.32,10.38,0.08,51.02,1.59
22,23,301071,力量钻石,27.57,-0.72,-0.2,995,2740368.0,0.97,27.77,27.5,27.5,27.77,0.04,24.21,1.36
23,24,603826,坤彩科技,27.01,-0.88,-0.24,1225,3332549.0,0.92,27.26,27.01,27.25,27.25,0.02,200.44,9.39
24,25,603688,石英股份,29.2,-1.48,-0.44,3290,9714463.0,1.65,29.67,29.18,29.66,29.64,0.06,30.79,2.77
25,26,300861,美畅股份,21.74,-1.5,-0.33,1905,4163220.0,1.81,22.05,21.65,22.04,22.07,0.06,18.92,1.58
26,27,603260,合盛硅业,52.28,-1.53,-0.81,751,3971379.0,1.54,53.09,52.27,53.09,53.09,0.01,31.6,1.87
27,28,836675,秉扬科技,8.75,-2.56,-0.23,3623,3166117.37,1.34,8.81,8.69,8.7,8.98,0.46,20.77,2.57
28,29,832175,东方碳素,8.61,-2.71,-0.24,2704,2348945.32,1.36,8.7,8.58,8.7,8.85,0.45,-58.31,1.23
29,30,301611,珂玛科技,72.7,-3.01,-2.26,15521,112628310.71,3.71,74.78,72.0,72.0,74.96,2.75,113.9,22.76
30,31,300743,天地数码,16.94,-4.56,-0.81,5866,10071550.21,2.7,17.38,16.9,17.38,17.75,0.45,27.49,4.46
31,32,839725,惠丰钻石,15.34,-4.78,-0.77,3355,5162752.8,2.11,15.61,15.27,15.33,16.11,0.8,100.69,2.21
32,33,839792,东和新材,11.8,-5.3,-0.66,12427,14131348.86,5.46,11.8,11.12,11.12,12.46,2.08,30.9,2.02
