,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300364,中文在线,40.39,19.99,6.73,,,0.0,,,,33.66,0.0,-98.22,26.79
1,2,000829,天音控股,15.46,9.96,1.4,,,0.0,,,,14.06,0.0,810.53,5.31
2,3,603533,掌阅科技,20.75,4.38,0.87,,,0.0,,,,19.88,0.0,-95.45,3.69
3,4,600640,国脉文化,12.97,4.18,0.52,,,0.0,,,,12.45,0.0,440.64,2.6
4,5,301025,读客文化,11.76,2.98,0.34,,,0.0,,,,11.42,0.0,234.34,7.54
5,6,300571,平治信息,26.66,1.99,0.52,,,0.0,,,,26.14,0.0,612.71,2.35
6,7,600229,城市传媒,7.74,1.98,0.15,,,0.0,,,,7.59,0.0,16.54,1.6
7,8,000719,中原传媒,11.8,1.29,0.15,,,0.0,,,,11.65,0.0,17.07,1.11
8,9,601900,南方传媒,14.87,1.16,0.17,,,0.0,,,,14.7,0.0,22.27,1.71
9,10,300603,立昂技术,9.41,0.86,0.08,,,0.0,,,,9.33,0.0,-131.32,3.08
10,11,601811,新华文轩,15.3,0.66,0.1,,,0.0,,,,15.2,0.0,13.19,1.39
11,12,301428,世纪恒通,33.3,0.48,0.16,,,0.0,,,,33.14,0.0,37.54,2.63
12,13,000727,冠捷科技,2.35,0.43,0.01,,,0.0,,,,2.34,0.0,99.68,3.51
13,14,600373,中文传媒,15.13,0.07,0.01,,,0.0,,,,15.12,0.0,16.72,1.14
14,15,600226,亨通股份,2.19,0.0,0.0,,,0.0,,,,2.19,0.0,28.74,1.96
15,16,002362,汉王科技,19.15,-0.05,-0.01,,,0.0,,,,19.16,0.0,-46.07,3.89
16,17,603096,新经典,17.88,-0.11,-0.02,,,0.0,,,,17.9,0.0,15.15,1.47
17,18,601928,凤凰传媒,10.93,-0.73,-0.08,,,0.0,,,,11.01,0.0,11.36,1.46
18,19,300788,中信出版,32.5,-2.46,-0.82,,,0.0,,,,33.32,0.0,33.27,2.89
