,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002456,欧菲光,16.04,10.01,1.46,,,0.0,,,,14.58,0.0,678.13,14.96
1,2,002273,水晶光电,23.36,9.98,2.12,,,0.0,,,,21.24,0.0,28.28,3.67
2,3,002217,*ST合泰,1.74,4.82,0.08,,,0.0,,,,1.66,0.0,-3.29,-0.74
3,4,603005,晶方科技,25.86,2.29,0.58,,,0.0,,,,25.28,0.0,68.57,3.99
4,5,688322,奥比中光-UW,32.45,1.63,0.52,,,0.0,,,,31.93,0.0,-161.43,4.42
5,6,002962,五方光电,15.66,1.62,0.25,,,0.0,,,,15.41,0.0,53.31,2.5
6,7,002189,中光学,25.82,0.04,0.01,,,0.0,,,,25.81,0.0,-226.67,6.28
7,8,300400,劲拓股份,17.93,0.0,0.0,,,0.0,,,,17.93,0.0,54.08,5.6
8,9,002475,立讯精密,43.38,-0.09,-0.04,,,0.0,,,,43.42,0.0,25.93,4.89
9,10,603501,韦尔股份,109.0,-0.31,-0.34,,,0.0,,,,109.34,0.0,41.8,5.9
10,11,002036,联创电子,9.07,-1.52,-0.14,,,0.0,,,,9.21,0.0,-157.4,3.61
