,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000793,华闻集团,2.41,10.05,0.22,,,0.0,,,,2.19,0.0,-39.71,5.49
1,2,002005,ST德豪,1.22,0.83,0.01,,,0.0,,,,1.21,0.0,-26.57,6.18
2,3,600269,赣粤高速,4.95,0.41,0.02,,,0.0,,,,4.93,0.0,9.22,0.65
3,4,688015,交控科技,,,,,,,,,,19.55,0.0,87.99,1.49
4,5,603050,科林电气,,,,,,,,,,23.57,0.0,22.63,3.94
5,6,603018,华设集团,,,,,,,,,,8.07,0.0,17.93,1.13
6,7,002870,香山股份,,,,,,,,,,32.68,0.0,27.17,2.75
7,8,000885,城发环境,,,,,,,,,,12.36,0.0,8.1,1.01
8,9,000007,全新好,,,,,,,,,,6.86,0.0,383.82,18.44
9,10,601199,江南水务,5.5,-3.85,-0.22,,,0.0,,,,5.72,0.0,15.15,1.35
