,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300261,雅本化学,7.73,13.18,0.9,19201,14842373.0,0.0,7.73,7.73,7.73,6.83,0.21,-98.46,3.3
1,2,002626,金达威,16.3,8.59,1.29,13021,21224230.0,0.0,16.3,16.3,16.3,15.01,0.21,38.21,2.5
2,3,002317,众生药业,13.2,2.96,0.38,7861,10376520.0,0.0,13.2,13.2,13.2,12.82,0.1,64.3,2.63
3,4,002562,兄弟科技,4.2,2.94,0.12,14938,6273960.0,0.0,4.2,4.2,4.2,4.08,0.21,158.23,1.45
4,5,300267,尔康制药,2.88,1.41,0.04,14320,4124160.0,0.0,2.88,2.88,2.88,2.84,0.1,471.44,1.24
5,6,300511,雪榕生物,3.92,1.03,0.04,1891,741272.0,0.0,3.92,3.92,3.92,3.88,0.05,-6.81,1.46
6,7,600298,安琪酵母,36.35,0.5,0.18,530,1926550.0,0.0,36.35,36.35,36.35,36.17,0.01,22.84,3.1
7,8,002728,特一药业,8.38,0.36,0.03,901,755038.0,0.0,8.38,8.38,8.38,8.35,0.02,795.63,2.34
8,9,300630,普利制药,10.49,0.0,0.0,1072,1124528.0,0.0,10.49,10.49,10.49,10.49,0.03,-41.71,1.7
9,10,002277,友阿股份,2.72,0.0,0.0,1422,386784.0,0.0,2.72,2.72,2.72,2.72,0.01,19.28,0.56
10,11,000525,*ST红阳,9.8,-0.61,-0.06,1867,1829660.0,0.0,9.8,9.8,9.8,9.86,0.03,134.03,6.3
11,12,002038,双鹭药业,7.51,-0.66,-0.05,435,326685.0,0.0,7.51,7.51,7.51,7.56,0.01,130.37,1.32
12,13,600062,华润双鹤,23.88,-0.67,-0.16,74,176712.0,0.0,23.88,23.88,23.88,24.04,0.0,11.86,2.5
13,14,000639,西王食品,2.98,-0.67,-0.02,15092,4497416.0,0.0,2.98,2.98,2.98,3.0,0.14,39.56,0.95
14,15,300221,银禧科技,6.39,-2.44,-0.16,5803,3708117.0,0.0,6.39,6.39,6.39,6.55,0.13,58.28,2.27
