,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300391,长药控股,7.02,6.36,0.42,390907,271586397.43,12.73,7.29,6.45,6.45,6.6,11.16,-8.06,57.8
1,2,833266,生物谷,11.05,4.84,0.51,19271,21331808.75,5.41,11.26,10.69,10.9,10.54,2.48,142.68,1.36
2,3,000790,华神科技,4.07,4.63,0.18,220003,90509331.67,5.91,4.18,3.95,3.95,3.89,3.53,139.34,2.41
3,4,002317,众生药业,13.38,4.37,0.56,241091,323212546.15,3.04,13.59,13.2,13.2,12.82,3.17,65.17,2.66
4,5,002728,特一药业,8.7,4.19,0.35,117637,102043640.48,5.87,8.87,8.38,8.38,8.35,3.14,826.02,2.43
5,6,836433,大唐药业,7.54,4.14,0.3,62161,46354865.29,10.91,7.8,7.01,7.01,7.24,3.68,187.67,4.08
6,7,002873,新天药业,10.57,3.53,0.36,91302,96020665.24,3.04,10.67,10.36,10.38,10.21,4.15,39.27,2.39
7,8,300108,*ST吉药,2.29,2.69,0.06,111343,25589670.52,4.04,2.34,2.25,2.26,2.23,1.7,-5.5,-3.64
8,9,603963,*ST大药,2.95,2.43,0.07,18573,5490732.0,4.51,3.0,2.87,2.88,2.88,0.85,-26.66,1.76
9,10,603139,康惠制药,14.11,2.17,0.3,6913,9754860.0,3.11,14.27,13.84,13.85,13.81,0.69,-80.98,1.5
10,11,002750,*ST龙津,2.15,1.9,0.04,37258,7943004.0,4.27,2.18,2.09,2.11,2.11,0.93,-101.93,1.7
11,12,600479,千金药业,11.36,1.79,0.2,20141,22789458.0,2.6,11.45,11.16,11.17,11.16,0.48,20.46,2.04
12,13,002424,ST百灵,3.74,1.63,0.06,168664,62866323.5,5.71,3.83,3.62,3.65,3.68,1.39,29.88,1.5
13,14,002907,华森制药,13.68,1.41,0.19,9191,12557349.0,2.59,13.78,13.43,13.43,13.49,0.3,60.5,3.47
14,15,002412,汉森制药,6.06,1.34,0.08,24393,14784182.0,1.51,6.09,6.0,6.05,5.98,0.49,15.17,1.47
15,16,002644,佛慈制药,7.65,1.32,0.1,16948,12921345.0,2.12,7.67,7.51,7.53,7.55,0.33,54.11,2.21
16,17,002349,精华制药,7.82,1.3,0.1,93406,73139181.0,1.94,7.9,7.75,7.8,7.72,1.15,23.51,2.54
17,18,002166,莱茵生物,8.09,1.25,0.1,57329,46355310.77,1.13,8.12,8.03,8.03,7.99,1.12,46.25,2.0
18,19,300026,红日药业,4.08,1.24,0.05,199429,81280126.0,2.23,4.1,4.01,4.02,4.03,0.74,41.34,1.4
19,20,600594,益佰制药,3.68,1.1,0.04,34901,12848405.0,2.75,3.72,3.62,3.64,3.64,0.44,-13.68,1.07
20,21,002107,沃华医药,4.77,1.06,0.05,9030,4299956.4,1.91,4.8,4.71,4.73,4.72,0.16,124.23,4.1
21,22,000919,金陵药业,6.8,1.04,0.07,12848,8725787.0,2.08,6.85,6.71,6.74,6.73,0.25,41.27,1.13
22,23,600222,太龙药业,5.15,0.98,0.05,35653,18385821.0,1.76,5.18,5.09,5.09,5.1,0.62,55.52,1.9
23,24,600129,太极集团,25.71,0.94,0.24,32065,82358699.0,1.81,25.8,25.34,25.4,25.47,0.58,14.47,3.62
24,25,600993,马应龙,25.26,0.92,0.23,13920,35063861.0,1.56,25.32,24.93,24.93,25.03,0.32,17.45,2.82
25,26,300039,上海凯宝,6.67,0.91,0.06,96720,64564921.84,2.57,6.72,6.55,6.56,6.61,1.05,24.54,1.99
26,27,002566,益盛药业,7.0,0.86,0.06,6511,4546646.0,1.73,7.02,6.9,6.9,6.94,0.28,34.75,1.05
27,28,301111,粤万年青,17.58,0.86,0.15,8500,14996736.0,3.1,17.84,17.3,17.35,17.43,1.21,93.12,3.63
28,29,300878,维康药业,17.62,0.86,0.15,3784,6681447.0,2.4,17.78,17.36,17.45,17.47,0.68,89.88,1.93
29,30,000999,华润三九,48.78,0.83,0.4,13376,64943885.7,1.45,48.8,48.1,48.37,48.38,0.1,13.06,3.14
