,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300261,雅本化学,7.73,13.18,0.9,19201,14842373.0,0.0,7.73,7.73,7.73,6.83,0.21,-98.46,3.3
1,2,000553,安道麦A,7.26,10.0,0.66,65816,47782416.0,0.0,7.26,7.26,7.26,6.6,0.3,-9.45,0.81
2,3,002496,辉丰股份,2.25,2.27,0.05,32810,7382250.0,0.0,2.25,2.25,2.25,2.2,0.28,48.79,2.21
3,4,200553,安道麦B,2.47,1.65,0.04,20,4940.0,0.0,2.47,2.47,2.47,2.43,0.0,-2.93,0.25
4,5,002250,联化科技,5.64,0.71,0.04,1426,804264.0,0.0,5.64,5.64,5.64,5.6,0.02,183.92,0.82
5,6,603718,海利生物,7.3,0.69,0.05,21308,15554840.0,0.0,7.3,7.3,7.3,7.25,0.33,158.77,3.82
6,7,003042,中农联合,14.4,0.49,0.07,563,810720.0,0.0,14.4,14.4,14.4,14.33,0.04,-31.49,1.42
7,8,300796,贝斯美,10.57,0.48,0.05,152,160664.0,0.0,10.57,10.57,10.57,10.52,0.0,115.32,2.31
8,9,002868,绿康生化,16.24,0.31,0.05,172,279328.0,0.0,16.24,16.24,16.24,16.19,0.01,-14.49,7.74
9,10,833819,颖泰生物,3.62,0.28,0.01,1517,549172.1,0.0,3.62,3.62,3.62,3.61,0.01,-27.95,0.8
10,11,605033,美邦股份,12.13,0.25,0.03,33,40029.0,0.0,12.13,12.13,12.13,12.1,0.0,17.29,1.44
11,12,838275,驱动力,4.8,0.21,0.01,155,74400.0,0.0,4.8,4.8,4.8,4.79,0.02,68.59,3.34
12,13,600486,扬农化工,58.75,0.19,0.11,52,305500.0,0.0,58.75,58.75,58.75,58.64,0.0,15.66,2.36
13,14,301035,润丰股份,47.23,0.17,0.08,39,184197.0,0.0,47.23,47.23,47.23,47.15,0.0,36.2,2.04
14,15,600201,生物股份,6.7,0.15,0.01,638,427460.0,0.0,6.7,6.7,6.7,6.69,0.01,30.53,1.39
15,16,603810,丰山集团,9.29,0.11,0.01,322,299138.0,0.0,9.29,9.29,9.29,9.28,0.02,-34.29,1.05
16,17,603639,海利尔,12.16,0.08,0.01,80,97280.0,0.0,12.16,12.16,12.16,12.15,0.0,12.75,1.16
