,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301281,科源制药,42.03,19.91,6.98,152130,634963546.97,6.9,42.06,39.64,42.06,35.05,22.1,63.05,3.42
1,2,836547,无锡晶海,20.65,12.47,2.29,24519,50260454.22,11.66,21.19,19.05,19.2,18.36,10.25,28.98,2.51
2,3,300381,溢多利,8.11,11.4,0.83,207029,166202948.24,12.77,8.54,7.61,7.61,7.28,4.24,69.65,1.52
3,4,830946,森萱医药,11.85,9.72,1.05,52845,60113913.82,12.5,11.88,10.53,10.63,10.8,1.24,36.3,4.44
4,5,873167,新赣江,15.87,8.25,1.21,20161,31531481.37,12.35,16.48,14.67,14.7,14.66,4.83,36.08,2.35
5,6,000813,德展健康,3.11,7.61,0.22,424737,128995211.08,4.84,3.11,2.97,2.97,2.89,1.96,331.59,1.28
6,7,300630,普利制药,11.27,7.44,0.78,188617,208288734.68,8.39,11.31,10.43,10.49,10.49,5.58,-44.81,1.83
7,8,300584,海辰药业,24.33,7.42,1.68,48810,116979814.5,8.21,24.76,22.9,22.9,22.65,5.94,59.01,2.9
8,9,300158,振东制药,4.75,6.74,0.3,390879,185134797.3,7.19,4.88,4.56,4.6,4.45,3.9,89.26,0.93
9,10,300267,尔康制药,3.03,6.69,0.19,404009,121473905.48,7.39,3.09,2.88,2.88,2.84,2.84,496.0,1.3
10,11,000566,海南海药,4.74,4.87,0.22,794720,377374342.6,6.42,4.88,4.59,4.7,4.52,6.82,-15.35,3.3
11,12,000908,*ST景峰,4.77,4.84,0.22,260347,122719517.0,5.71,4.78,4.52,4.55,4.55,3.3,-88.18,-57.24
12,13,832735,德源药业,32.26,4.74,1.46,6158,19786320.15,5.06,32.66,31.1,31.11,30.8,0.89,15.74,2.52
13,14,600789,鲁抗医药,8.65,4.72,0.39,492480,422010340.0,3.51,8.67,8.38,8.38,8.26,5.48,12.96,2.01
14,15,832566,梓橦宫,10.53,4.67,0.47,29872,31194127.03,7.95,10.77,9.97,10.06,10.06,2.67,19.54,2.1
15,16,300016,北陆药业,6.69,4.53,0.29,110972,73585720.1,6.09,6.76,6.37,6.37,6.4,2.26,84.21,2.11
16,17,301258,富士莱,28.15,4.45,1.2,28191,80061618.0,5.05,29.0,27.64,27.64,26.95,8.33,139.8,1.36
17,18,430017,星昊医药,16.09,4.28,0.66,20033,32246315.55,6.16,16.4,15.45,15.64,15.43,1.65,16.32,1.31
18,19,002793,罗欣药业,4.96,3.98,0.19,101753,49951688.9,4.61,4.99,4.77,4.79,4.77,0.94,-30.4,2.36
19,20,430478,峆一药业,20.02,3.73,0.72,21414,43377832.31,5.65,20.89,19.8,20.0,19.3,6.26,19.32,2.4
20,21,301277,新天地,15.35,2.88,0.43,29644,45271772.6,4.16,15.48,14.86,14.93,14.92,4.11,22.74,2.85
