,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300320,海达股份,12.71,16.61,1.81,532164,691019989.11,7.34,13.08,12.28,13.08,10.9,10.85,49.42,3.41
1,2,836247,华密新材,25.79,4.41,1.09,20896,53187201.64,11.38,26.31,23.5,25.0,24.7,5.43,75.89,7.18
2,3,002224,三 力 士,4.41,3.76,0.16,54324,23972896.0,7.76,4.55,4.22,4.24,4.25,0.67,173.51,1.24
3,4,871694,中裕科技,14.78,3.65,0.52,7436,10894706.51,9.33,15.0,13.67,14.09,14.26,2.96,20.38,2.01
4,5,001207,联科科技,18.59,3.34,0.6,18126,33259598.0,4.56,18.67,17.85,17.85,17.99,0.9,14.12,2.06
5,6,832225,利通科技,12.06,3.08,0.36,9160,10956852.99,5.38,12.23,11.6,11.74,11.7,1.34,16.54,2.49
6,7,000599,青岛双星,4.7,2.84,0.13,112519,52824335.19,5.25,4.78,4.54,4.58,4.57,1.38,-33.62,1.84
7,8,300121,阳谷华泰,11.38,1.88,0.21,82686,92770395.3,5.01,11.5,10.94,11.01,11.17,2.1,16.77,1.53
8,9,873665,科强股份,10.71,1.81,0.19,14239,15363789.09,3.8,10.94,10.54,10.86,10.52,3.65,18.27,2.03
9,10,002068,黑猫股份,6.29,0.48,0.03,48825,30709827.1,1.76,6.33,6.22,6.25,6.26,0.66,-42.45,1.56
10,11,301233,盛帮股份,43.09,0.47,0.2,2162,9290545.0,1.75,43.27,42.52,42.68,42.89,1.16,26.21,2.52
11,12,600182,S佳通,13.84,0.44,0.06,4188,5766610.0,0.94,13.84,13.71,13.75,13.78,0.25,26.2,3.87
12,13,002381,双箭股份,6.8,0.29,0.02,6743,4578862.0,1.18,6.83,6.75,6.75,6.78,0.21,12.75,1.33
13,14,300547,川环科技,18.38,-0.11,-0.02,11321,20905717.0,2.45,18.73,18.28,18.4,18.4,0.64,20.27,3.54
14,15,301459,丰茂股份,39.65,-0.18,-0.07,747,2967379.0,1.13,40.0,39.55,39.55,39.72,0.37,19.32,2.84
15,16,002753,永东股份,6.22,-0.32,-0.02,5523,3447176.5,1.12,6.27,6.2,6.23,6.24,0.23,22.55,1.04
16,17,601163,三角轮胎,15.02,-0.4,-0.06,7102,10684368.0,0.73,15.11,15.0,15.01,15.08,0.09,9.82,0.93
17,18,300731,科创新源,21.58,-0.42,-0.09,28936,62529132.0,6.32,22.35,20.98,21.2,21.67,2.41,481.01,4.57
18,19,002442,龙星化工,4.64,-0.43,-0.02,16834,7845668.0,1.29,4.68,4.62,4.65,4.66,0.35,18.68,1.33
19,20,603650,彤程新材,33.35,-0.63,-0.21,10926,36565769.0,1.64,33.7,33.15,33.2,33.56,0.18,31.9,6.62
20,21,601966,玲珑轮胎,19.44,-0.72,-0.14,20065,39180485.0,1.07,19.62,19.41,19.49,19.58,0.14,15.37,1.34
21,22,601500,通用股份,5.12,-0.78,-0.04,35421,18220824.0,1.16,5.17,5.11,5.13,5.16,0.22,14.2,1.45
22,23,000589,贵州轮胎,5.07,-0.78,-0.04,32468,16489018.04,0.78,5.1,5.06,5.07,5.11,0.21,9.24,0.92
23,24,601118,海南橡胶,5.87,-0.84,-0.05,38978,22910472.0,1.86,5.94,5.83,5.87,5.92,0.09,-42.36,2.7
24,25,002984,森麒麟,25.96,-0.88,-0.23,45427,118713925.9,1.49,26.35,25.96,26.16,26.19,0.65,11.61,2.14
25,26,601058,赛轮轮胎,13.84,-1.07,-0.15,61998,86162356.0,1.22,13.99,13.82,13.97,13.99,0.19,10.58,2.55
26,27,603033,三维股份,14.04,-1.13,-0.16,5475,7707903.0,2.32,14.34,14.01,14.01,14.2,0.05,120.57,4.18
27,28,605183,确成股份,17.9,-1.32,-0.24,4945,8915811.0,1.65,18.2,17.9,18.12,18.14,0.12,14.21,2.46
28,29,300767,震安科技,10.72,-1.47,-0.16,13333,14378399.0,1.75,10.88,10.69,10.78,10.88,0.63,-45.36,1.78
29,30,300587,天铁股份,4.91,-1.6,-0.08,48727,24218413.0,2.61,5.04,4.91,4.95,4.99,0.53,35.94,2.18
30,31,600469,风神股份,6.73,-1.61,-0.11,23746,16033159.0,1.32,6.81,6.72,6.76,6.84,0.33,10.64,1.48
31,32,871642,通易航天,12.69,-2.61,-0.34,33483,42175544.06,6.83,13.0,12.11,13.0,13.03,3.32,-97.37,5.48
