,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002671,龙泉股份,5.03,10.07,0.46,,,0.0,,,,4.57,0.0,85.91,1.76
1,2,002742,ST三圣,4.06,4.91,0.19,,,0.0,,,,3.87,0.0,-13.19,6.24
2,3,002541,鸿路钢构,15.1,3.28,0.48,,,0.0,,,,14.62,0.0,12.18,1.16
3,4,600668,尖峰集团,10.63,1.82,0.19,,,0.0,,,,10.44,0.0,38.4,0.73
4,5,600801,华新水泥,13.27,0.53,0.07,,,0.0,,,,13.2,0.0,18.88,0.96
5,6,002596,海南瑞泽,2.24,0.45,0.01,,,0.0,,,,2.23,0.0,-26.64,2.73
6,7,002233,塔牌集团,7.64,0.26,0.02,,,0.0,,,,7.62,0.0,20.13,0.78
7,8,605122,四方新材,,,,,,,,,,11.83,0.0,90.18,0.92
8,9,601992,金隅集团,1.7,0.0,0.0,,,0.0,,,,1.7,0.0,-11.25,0.41
9,10,600802,福建水泥,,,,,,,,,,3.44,0.0,-7.05,1.44
10,11,600585,海螺水泥,,,,,,,,,,25.48,0.0,20.3,0.74
11,12,600496,精工钢构,,,,,,,,,,2.79,0.0,10.28,0.66
12,13,600477,杭萧钢构,,,,,,,,,,2.68,0.0,19.86,1.23
13,14,600449,宁夏建材,13.39,0.0,0.0,,,0.0,,,,13.39,0.0,28.11,0.89
14,15,600326,西藏天路,,,,,,,,,,6.69,0.0,-64.81,2.31
15,16,003037,三和管桩,,,,,,,,,,6.01,0.0,957.35,1.32
16,17,002743,富煌钢构,,,,,,,,,,4.38,0.0,25.2,0.6
17,18,002205,国统股份,,,,,,,,,,8.02,0.0,-16.08,2.55
18,19,000877,天山股份,5.86,0.0,0.0,,,0.0,,,,5.86,0.0,-6.1,0.52
19,20,000789,万年青,,,,,,,,,,5.41,0.0,1429.23,0.64
20,21,000672,上峰水泥,,,,,,,,,,7.82,0.0,22.19,0.88
21,22,000401,冀东水泥,,,,,,,,,,5.31,0.0,-8.75,0.51
22,23,002302,西部建设,7.45,-0.4,-0.03,,,0.0,,,,7.48,0.0,727.99,1.03
23,24,000935,四川双马,18.28,-0.65,-0.12,,,0.0,,,,18.4,0.0,61.54,1.92
24,25,600881,亚泰集团,1.62,-1.82,-0.03,,,0.0,,,,1.65,0.0,-2.84,1.09
25,26,600678,四川金顶,7.83,-3.09,-0.25,,,0.0,,,,8.08,0.0,-122.4,12.31
26,27,603616,韩建河山,3.46,-5.21,-0.19,,,0.0,,,,3.65,0.0,-19.86,3.41
27,28,600425,青松建化,3.34,-8.49,-0.31,,,0.0,,,,3.65,0.0,12.45,0.85
