,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,832000,安徽凤凰,27.62,20.35,4.67,62357.0,159464934.46,30.33,28.78,21.82,22.91,22.95,12.91,36.12,4.26
1,2,833533,骏创科技,22.33,19.99,3.72,35462.0,75942716.9,24.18,23.5,19.0,19.0,18.61,9.42,37.39,6.52
2,3,300432,富临精工,15.04,17.04,2.19,514906.0,747802873.42,14.63,15.4,13.52,13.88,12.85,4.27,44.33,4.23
3,4,837663,明阳科技,16.69,15.18,2.2,17918.0,28368904.15,15.11,16.88,14.69,14.73,14.49,3.51,21.67,4.9
4,5,300580,贝斯特,19.99,13.71,2.41,220093.0,419165690.01,12.51,20.4,18.2,18.2,17.58,4.69,33.29,3.31
5,6,300681,英搏尔,24.25,12.74,2.74,104938.0,245172670.88,14.74,24.61,21.44,21.44,21.51,6.07,89.74,3.21
6,7,603201,常润股份,20.0,10.01,1.82,44314.0,86506778.0,12.27,20.0,17.77,18.09,18.18,6.9,15.49,2.04
7,8,603035,常熟汽饰,14.96,10.0,1.36,245374.0,361734792.0,5.22,14.96,14.25,14.4,13.6,6.46,11.06,1.08
8,9,603809,豪能股份,13.22,9.98,1.2,554650.0,725501348.0,6.74,13.22,12.41,13.2,12.02,9.54,23.7,3.2
9,10,831906,舜宇精工,18.78,9.89,1.69,11829.0,21402493.84,10.24,18.78,17.03,17.03,17.09,3.56,648.15,2.27
10,11,301550,斯菱股份,52.7,9.86,4.73,39728.0,203297431.52,10.3,53.45,48.51,49.0,47.97,7.23,31.77,3.41
11,12,300176,派生科技,9.21,9.38,0.79,336898.0,299703055.36,12.71,9.25,8.18,8.18,8.42,8.7,90.84,3.81
12,13,000559,万向钱潮,6.87,9.05,0.57,659792.0,440702584.82,10.63,6.93,6.26,6.29,6.3,2.0,23.76,2.49
13,14,300680,隆盛科技,25.19,8.53,1.98,140635.0,350952645.96,8.27,25.99,24.07,24.48,23.21,8.12,28.42,3.16
14,15,300507,苏奥传感,7.03,7.82,0.51,176797.0,121421707.91,8.13,7.09,6.56,6.6,6.52,2.29,38.22,2.74
15,16,002472,双环传动,29.51,7.31,2.01,75303.0,219358528.98,6.95,29.7,27.79,27.79,27.5,1.0,25.41,2.93
16,17,836270,天铭科技,11.93,7.28,0.81,10090.0,11944117.55,8.81,12.12,11.14,11.14,11.12,1.24,19.5,3.04
17,18,300652,雷迪克,35.4,7.27,2.4,23873.0,83561932.36,5.7,35.88,34.0,34.0,33.0,2.59,29.29,2.66
18,19,300100,双林股份,20.67,6.99,1.35,69252.0,139387047.34,7.87,20.77,19.25,19.3,19.32,1.79,16.95,3.33
19,20,301007,德迈仕,15.18,6.98,0.99,51210.0,76715235.18,7.89,15.31,14.19,14.19,14.19,3.41,42.62,3.54
20,21,601689,拓普集团,45.8,6.74,2.89,110377.0,497612067.0,5.34,45.99,43.7,44.0,42.91,0.65,25.92,4.14
21,22,002703,浙江世宝,12.99,6.21,0.76,154942.0,197278877.11,7.52,12.99,12.07,12.19,12.23,2.64,71.57,5.61
22,23,300969,恒帅股份,76.09,6.2,4.44,7159.0,53514615.0,7.36,76.99,71.72,71.86,71.65,3.36,27.92,4.94
23,24,300926,博俊科技,23.94,6.16,1.39,40398.0,95611924.69,7.54,24.25,22.55,22.71,22.55,1.51,19.77,4.66
24,25,688071,华依科技,23.71,6.13,1.37,4698.0,10905073.0,7.03,23.86,22.29,22.29,22.34,0.55,-51.32,2.0
25,26,836221,易实精密,17.5,6.06,1.0,12413.0,21259786.95,9.45,17.66,16.1,16.19,16.5,3.01,27.59,4.33
26,27,002553,南方精工,12.24,5.97,0.69,145629.0,177420732.9,6.15,12.44,11.73,11.73,11.55,5.81,68.84,3.69
27,28,600178,东安动力,15.08,5.97,0.85,536305.0,826138386.0,8.08,15.65,14.5,14.5,14.23,11.5,-3333.15,2.79
28,29,301160,翔楼新材,55.05,5.87,3.05,11059.0,60123980.0,7.1,55.69,52.0,52.0,52.0,2.61,23.55,2.83
29,30,832978,开特股份,14.31,5.69,0.77,14894.0,20791155.26,5.91,14.4,13.6,13.6,13.54,1.49,20.26,4.06
