,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,837344,三元基因,23.97,21.74,4.28,14344,31781018.69,23.77,24.88,20.2,20.2,19.69,1.26,151.03,4.77
1,2,430047,诺思兰德,15.87,12.79,1.8,37479,56182086.61,12.15,15.96,14.25,14.31,14.07,2.08,-81.84,12.44
2,3,833230,欧康医药,22.85,8.04,1.7,39734,92192519.24,16.55,25.3,21.8,21.9,21.15,11.87,62.4,4.39
3,4,300357,我武生物,25.14,8.04,1.87,82809,201424092.68,8.51,25.18,23.2,23.33,23.27,1.71,36.26,5.58
4,5,839729,永顺生物,7.56,8.0,0.56,23271,17152778.25,7.57,7.57,7.04,7.09,7.0,2.9,66.52,3.25
5,6,833575,康乐卫士,20.66,7.27,1.4,18298,36413696.33,7.27,20.66,19.26,19.35,19.26,0.98,-15.68,8.03
6,7,002693,双成药业,30.08,6.97,1.96,691345,1878688971.96,19.91,30.91,25.31,25.31,28.12,16.81,-368.04,27.43
7,8,301301,川宁生物,14.12,4.98,0.67,495852,712005620.88,5.13,14.7,14.01,14.41,13.45,8.05,21.92,4.15
8,9,688046,药康生物,13.61,4.29,0.56,20057,26689255.0,5.06,13.62,12.96,13.06,13.05,0.98,36.55,2.64
9,10,301207,华兰疫苗,19.78,3.61,0.69,20574,40296497.9,4.03,19.85,19.08,19.17,19.09,1.45,235.18,2.01
10,11,688253,英诺特,43.01,3.61,1.5,7137,30224873.0,4.07,43.19,41.5,41.7,41.51,1.04,14.23,2.94
11,12,832982,锦波生物,231.01,3.43,7.67,1888,43144402.28,4.6,232.5,222.23,224.9,223.34,0.41,29.49,15.53
12,13,688336,三生国健,23.58,3.33,0.76,10547,24565931.0,4.25,23.65,22.68,22.9,22.82,0.17,46.81,2.87
13,14,300142,沃森生物,15.57,3.25,0.49,174595,269722048.24,2.32,15.59,15.24,15.25,15.08,1.12,73.0,2.62
14,15,688197,首药控股-U,37.21,3.07,1.11,5030,18634812.0,5.29,37.75,35.84,36.1,36.1,0.9,-26.9,6.03
15,16,688302,海创药业-U,37.6,3.07,1.12,5918,22191492.0,5.02,38.23,36.4,36.46,36.48,0.81,-18.54,2.91
16,17,688443,智翔金泰-U,28.54,2.7,0.75,5900,16786888.0,4.21,28.88,27.71,27.71,27.79,0.52,-14.46,4.19
17,18,688247,宣泰医药,10.02,2.66,0.26,14179,14081671.0,4.3,10.09,9.67,9.69,9.76,1.0,41.94,3.75
18,19,688176,亚虹医药-U,6.73,2.28,0.15,22442,15035968.0,2.74,6.77,6.59,6.67,6.58,0.6,-10.42,1.76
