,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,830896,旺成科技,13.5,29.93,3.11,66861.0,90259087.62,2.02,13.5,13.29,13.5,10.39,15.06,47.28,3.41
1,2,300024,机器人,15.46,20.03,2.58,931324.0,1358627509.58,19.49,15.46,12.95,12.95,12.88,6.08,-182.04,5.57
2,3,301596,瑞迪智驱,106.98,20.0,17.83,34887.0,361577497.94,8.95,106.98,99.0,100.0,89.15,25.32,60.25,7.34
3,4,300607,拓斯达,14.66,19.97,2.44,165302.0,235880684.18,16.45,14.66,12.65,12.65,12.22,5.79,517.64,2.71
4,5,920002,万达轴承,69.9,19.88,11.59,8049.0,54311325.54,20.08,71.18,59.47,59.47,58.31,16.95,37.83,3.38
5,6,430510,丰光精密,22.5,19.74,3.71,57906.0,127544602.05,20.17,23.79,20.0,20.0,18.79,6.61,141.49,10.34
6,7,688017,绿的谐波,101.97,15.22,13.47,38284.0,370515464.0,11.49,101.97,91.8,91.8,88.5,2.27,219.38,8.49
7,8,835579,机科股份,21.52,14.41,2.71,27597.0,56646177.85,16.21,21.95,18.9,19.22,18.81,6.19,258.73,5.38
8,9,300503,昊志机电,18.3,13.03,2.11,255394.0,449837764.74,12.66,18.74,16.69,16.69,16.19,10.68,51.97,4.72
9,10,430418,苏轴股份,24.91,12.87,2.84,22155.0,52460018.25,12.87,24.99,22.15,22.15,22.07,3.09,21.51,4.3
10,11,301368,丰立智能,54.25,12.86,6.18,75406.0,393069138.7,10.63,55.0,49.89,49.98,48.07,11.76,308.82,6.68
11,12,836720,吉冈精密,16.76,11.73,1.76,44179.0,72816480.48,10.27,16.9,15.36,15.82,15.0,8.91,54.12,6.88
12,13,688165,埃夫特-U,10.22,11.33,1.04,51690.0,51438559.0,12.75,10.37,9.2,9.2,9.18,0.99,-37.94,3.14
13,14,300780,德恩精工,16.5,10.15,1.52,68038.0,110552225.0,8.74,16.93,15.62,15.62,14.98,6.49,-48.9,2.11
14,15,002747,埃斯顿,16.13,10.03,1.47,223189.0,353269226.14,8.73,16.13,14.85,14.86,14.66,2.84,-157.71,5.41
15,16,001306,夏厦精密,52.03,10.0,4.73,9214.0,47670501.52,9.56,52.03,47.51,47.51,47.3,5.94,50.69,2.45
16,17,002896,中大力德,32.47,9.99,2.95,79201.0,252418125.81,8.4,32.47,29.99,29.99,29.52,5.24,64.66,4.24
17,18,000837,秦川机床,9.37,9.98,0.85,239252.0,218012880.5,9.27,9.37,8.58,8.58,8.52,2.46,126.33,1.97
18,19,600215,派斯林,7.28,9.97,0.66,163918.0,116952178.0,9.06,7.28,6.68,6.68,6.62,3.59,29.58,1.69
19,20,301255,通力科技,32.34,9.96,2.93,15227.0,47962219.75,9.35,32.45,29.7,29.7,29.41,5.6,60.47,3.41
20,21,900910,海立Ｂ股,0.433,9.9,0.039,29203.0,1257279.0,3.3,0.433,0.42,0.42,0.394,1.03,107.55,0.53
21,22,300421,力星股份,10.81,9.86,0.97,144173.0,154268370.8,14.02,11.38,10.0,10.02,9.84,6.26,47.0,2.55
22,23,601002,晋亿实业,4.71,8.78,0.38,446051.0,208316657.0,10.62,4.76,4.3,4.31,4.33,4.67,41.38,1.09
23,24,301032,新柴股份,13.17,8.04,0.98,146432.0,187781557.7,6.73,13.22,12.4,12.46,12.19,9.23,50.93,2.79
24,25,603667,五洲新春,18.5,7.5,1.29,68439.0,123811142.0,5.58,18.54,17.58,17.6,17.21,1.87,51.74,2.31
25,26,301261,恒工精密,41.02,7.27,2.78,24924.0,100602730.19,4.45,41.2,39.5,39.8,38.24,6.58,28.13,2.31
26,27,873570,坤博精工,36.19,7.07,2.39,5572.0,19848878.22,9.62,37.0,33.75,33.75,33.8,3.98,71.29,4.74
27,28,300809,华辰装备,23.55,6.85,1.51,24934.0,57675774.8,7.4,23.78,22.15,22.15,22.04,1.78,76.72,3.72
28,29,603082,北自科技,34.39,6.67,2.15,18988.0,63881153.0,6.27,34.5,32.48,32.5,32.24,5.85,34.36,3.67
29,30,002520,日发精机,5.42,6.48,0.33,147960.0,78025620.5,6.88,5.43,5.08,5.14,5.09,2.29,-49.16,3.92
30,31,603915,国茂股份,10.16,6.28,0.6,47744.0,47706877.0,7.11,10.21,9.53,9.56,9.56,0.73,24.08,1.86
31,32,301603,乔锋智能,44.73,6.25,2.63,12966.0,57105057.85,6.34,44.9,42.23,42.26,42.1,5.65,26.88,2.57
32,33,002965,祥鑫科技,28.99,6.23,1.7,31178.0,89576237.34,8.02,29.49,27.3,27.39,27.29,2.04,16.5,1.45
33,34,300161,华中数控,28.08,6.08,1.61,24856.0,68369735.43,5.97,28.12,26.54,26.81,26.47,1.28,-62.4,3.52
34,35,301107,瑜欣电子,27.23,5.99,1.54,5264.0,14049293.08,7.47,27.63,25.71,25.94,25.69,2.51,32.72,2.17
35,36,300488,恒锋工具,23.63,5.96,1.33,12090.0,28025260.0,5.92,23.63,22.31,22.31,22.3,0.88,30.38,2.81
36,37,002444,巨星科技,31.16,5.77,1.7,95427.0,292867156.02,4.75,31.3,29.9,29.9,29.46,0.83,14.52,2.27
37,38,300817,双飞集团,14.14,5.68,0.76,27245.0,38091452.58,6.28,14.28,13.44,13.44,13.38,2.19,47.15,3.04
38,39,300992,泰福泵业,20.23,5.64,1.08,13944.0,27822307.54,8.36,20.61,19.01,19.01,19.15,1.92,70.39,2.5
39,40,000410,沈阳机床,8.36,5.56,0.44,222010.0,180184699.58,7.7,8.38,7.77,7.82,7.92,1.32,-105.03,18.69
40,41,873169,七丰精工,14.73,5.52,0.77,13650.0,19950853.02,6.59,14.92,14.0,14.16,13.96,2.7,114.41,3.87
41,42,300853,申昊科技,17.83,5.5,0.93,24147.0,42329935.0,6.69,17.95,16.82,16.82,16.9,2.19,-16.58,3.05
42,43,002931,锋龙股份,11.6,5.45,0.6,38590.0,44189855.8,7.09,11.68,10.9,11.12,11.0,2.07,1502.74,3.36
43,44,002903,宇环数控,17.57,5.34,0.89,27068.0,46828004.0,5.4,17.59,16.69,16.69,16.68,2.63,153.79,3.48
44,45,300083,创世纪,7.9,5.33,0.4,258640.0,201176039.8,5.87,7.94,7.5,7.51,7.5,1.73,48.92,2.57
45,46,688577,浙海德曼,34.32,5.28,1.72,3637.0,12163882.0,5.77,34.49,32.61,33.0,32.6,0.48,118.03,2.71
