,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301091,深城交,56.22,20.0,9.37,367422,2000963758.15,14.3,56.22,49.52,49.52,46.85,19.07,-1181.28,10.28
1,2,300675,建科院,16.46,13.2,1.92,160321,262917585.0,12.79,17.39,15.53,15.53,14.54,10.93,-42.45,4.2
2,3,300746,汉嘉设计,18.1,8.45,1.41,118963,211379532.84,13.84,18.89,16.58,16.58,16.69,5.36,696.38,3.46
3,4,300284,苏交科,14.84,6.99,0.97,786058,1155836122.96,9.95,15.28,13.9,13.99,13.87,6.58,59.38,2.25
4,5,301505,苏州规划,28.31,5.01,1.35,48774,139398618.55,4.56,29.0,27.77,27.8,26.96,8.38,84.84,2.55
5,6,000779,甘咨询,8.62,4.36,0.36,130391,111762994.7,4.36,8.69,8.33,8.33,8.26,2.81,16.67,1.06
6,7,300989,蕾奥规划,14.16,4.35,0.59,58746,82980058.15,4.57,14.28,13.66,13.8,13.57,6.13,602.89,2.86
7,8,300977,深圳瑞捷,19.78,4.32,0.82,39736,78977869.24,3.48,20.2,19.54,19.78,18.96,4.19,142.21,2.16
8,9,300732,设研院,8.28,4.15,0.33,98157,81153415.47,6.42,8.51,8.0,8.0,7.95,3.03,-15.35,0.99
9,10,836892,广咨国际,12.2,4.01,0.47,8508,10207313.86,5.29,12.28,11.66,12.0,11.73,0.64,21.93,5.11
10,11,300844,山水比德,32.61,3.92,1.23,13234,43297051.0,4.78,33.28,31.78,31.78,31.38,5.88,76.43,2.77
11,12,300778,新城市,12.85,3.63,0.45,46807,60341785.09,4.44,13.13,12.58,12.58,12.4,2.3,-14.9,1.99
12,13,300635,中达安,10.86,3.63,0.38,35321,38181293.0,3.72,10.91,10.52,10.52,10.48,2.94,160.27,3.46
13,14,833427,华维设计,10.93,3.5,0.37,14486,15431878.12,4.55,10.93,10.45,10.55,10.56,2.97,128.92,3.43
14,15,300649,杭州园林,11.82,3.5,0.4,14373,16906808.0,3.94,11.88,11.43,11.47,11.42,1.35,-44.03,3.05
15,16,900906,中毅达B,0.227,3.18,0.007,6867,154757.0,5.0,0.228,0.217,0.22,0.22,0.19,-55.09,80.64
16,17,301027,华蓝集团,10.01,2.98,0.29,23301,23316122.0,2.57,10.1,9.85,9.85,9.72,1.97,-35.83,1.57
17,18,300500,启迪设计,12.68,2.84,0.35,19448,24602607.0,4.3,12.85,12.32,12.33,12.33,1.19,50.73,1.8
18,19,301167,建研设计,13.96,2.72,0.37,13566,18918726.0,2.87,14.05,13.66,13.66,13.59,1.91,138.31,1.69
19,20,003001,中岩大地,32.05,2.46,0.77,28323,92042393.76,5.63,33.5,31.74,32.0,31.28,3.87,100.52,3.51
20,21,301136,招标股份,14.67,2.44,0.35,59065,86696314.0,3.35,14.93,14.45,14.45,14.32,5.69,524.6,2.76
21,22,300564,筑博设计,11.93,2.4,0.28,16448,19680650.0,3.0,12.1,11.75,11.83,11.65,1.45,1194.07,1.52
22,23,002116,中国海诚,10.33,2.08,0.21,36481,37622185.57,3.16,10.48,10.16,10.16,10.12,0.8,16.92,2.0
23,24,300983,尤安设计,18.89,2.05,0.38,3614,6794348.22,2.59,18.9,18.42,18.43,18.51,0.31,-51.79,1.07
24,25,833873,中设咨询,5.55,2.02,0.11,40766,22351499.11,3.49,5.57,5.38,5.38,5.44,3.73,-11.17,2.23
25,26,600629,华建集团,5.06,1.81,0.09,59545,30021032.0,2.21,5.07,4.96,4.98,4.97,0.63,13.11,0.97
26,27,603017,中衡设计,8.9,1.71,0.15,14894,13239619.0,2.29,8.95,8.75,8.78,8.75,0.54,17.28,1.63
27,28,603153,上海建科,18.05,1.52,0.27,9593,17277133.0,1.91,18.15,17.81,17.84,17.78,0.71,38.84,2.19
28,29,300949,奥雅股份,33.33,1.43,0.47,3743,12549377.0,2.83,33.75,32.82,32.95,32.86,0.62,-14.12,2.23
29,30,603357,设计总院,9.35,1.41,0.13,27319,25499922.0,1.63,9.4,9.25,9.25,9.22,0.5,11.22,1.51
30,31,300826,测绘股份,17.03,1.37,0.23,28088,47599352.73,3.04,17.16,16.65,16.93,16.8,1.81,130.57,2.2
31,32,603860,中公高科,32.92,1.35,0.44,11647,38374783.0,3.73,33.38,32.17,32.17,32.48,1.75,-216.21,2.91
32,33,002883,中设股份,10.54,1.25,0.13,15278,16093745.0,1.83,10.6,10.41,10.41,10.41,1.12,43.7,2.4
33,34,603458,勘设股份,6.13,1.16,0.07,32067,19679314.0,1.49,6.16,6.07,6.07,6.06,1.03,-12.24,0.58
34,35,003013,地铁设计,14.14,1.0,0.14,3350,4729553.0,0.93,14.18,14.05,14.05,14.0,0.08,13.94,2.35
35,36,603018,华设集团,8.18,0.99,0.08,37360,30574968.0,1.85,8.24,8.09,8.12,8.1,0.55,18.17,1.15
36,37,603959,ST百利,2.1,0.96,0.02,213024,45387559.0,5.29,2.18,2.07,2.1,2.08,4.34,-3.84,2.53
37,38,600720,中交设计,9.71,0.62,0.06,17301,16764959.0,1.14,9.72,9.61,9.62,9.65,0.22,17.76,1.6
38,39,300668,杰恩设计,19.91,0.56,0.11,14185,28634210.0,2.58,20.42,19.91,19.91,19.8,1.61,411.35,3.19
39,40,002949,华阳国际,15.29,0.46,0.07,21128,32451628.0,3.35,15.68,15.17,15.2,15.22,1.41,25.3,2.19
40,41,000928,中钢国际,6.36,0.32,0.02,45727,29131186.0,0.95,6.39,6.33,6.33,6.34,0.32,10.75,1.11
41,42,300492,华图山鼎,74.45,0.26,0.19,2068,15465988.68,1.59,75.36,74.18,74.27,74.26,0.15,43.01,29.34
42,43,603909,建发合诚,9.25,-0.43,-0.04,12051,11232611.0,1.94,9.4,9.22,9.3,9.29,0.46,35.42,2.38
