,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,872374,云里物里,33.41,30.0,7.71,,,0.0,,,,25.7,0.0,76.12,10.86
1,2,300656,民德电子,32.46,20.0,5.41,,,0.0,,,,27.05,0.0,-408.51,4.97
2,3,002134,天津普林,20.84,9.97,1.89,,,0.0,,,,18.95,0.0,123.84,11.02
3,4,837821,则成电子,45.0,9.76,4.0,,,0.0,,,,41.0,0.0,161.12,8.63
4,5,871981,晶赛科技,53.49,7.0,3.5,,,0.0,,,,49.99,0.0,360.57,8.02
5,6,002161,远 望 谷,5.23,6.73,0.33,,,0.0,,,,4.9,0.0,43.55,2.51
6,7,301285,鸿日达,27.77,5.99,1.57,,,0.0,,,,26.2,0.0,178.49,5.52
7,8,000062,深圳华强,31.32,5.31,1.58,,,0.0,,,,29.74,0.0,92.77,4.59
8,9,600237,铜峰电子,7.38,5.28,0.37,,,0.0,,,,7.01,0.0,49.98,2.64
9,10,300460,惠伦晶体,15.74,4.38,0.66,,,0.0,,,,15.08,0.0,856.11,4.96
10,11,688093,世华科技,20.28,4.37,0.85,,,0.0,,,,19.43,0.0,20.43,2.7
11,12,871857,泓禧科技,17.18,4.31,0.71,,,0.0,,,,16.47,0.0,51.11,3.31
12,13,688183,生益电子,32.88,3.1,0.99,,,0.0,,,,31.89,0.0,142.32,7.03
13,14,002636,金安国纪,8.67,3.09,0.26,,,0.0,,,,8.41,0.0,45.12,1.85
14,15,688371,菲沃泰,16.45,3.07,0.49,,,0.0,,,,15.96,0.0,177.87,2.87
15,16,688035,德邦科技,41.14,3.0,1.2,,,0.0,,,,39.94,0.0,72.61,2.58
16,17,301566,达利凯普,19.72,2.87,0.55,,,0.0,,,,19.17,0.0,67.07,5.96
17,18,870357,雅葆轩,23.2,2.84,0.64,,,0.0,,,,22.56,0.0,38.09,5.25
18,19,002463,沪电股份,43.5,2.76,1.17,,,0.0,,,,42.33,0.0,33.81,7.61
19,20,002916,深南电路,111.9,2.52,2.75,,,0.0,,,,109.15,0.0,29.06,4.19
20,21,301132,满坤科技,29.8,2.3,0.67,,,0.0,,,,29.13,0.0,56.62,2.59
21,22,833914,远航精密,12.99,2.12,0.27,,,0.0,,,,12.72,0.0,21.71,1.48
22,23,832110,雷特科技,24.69,2.11,0.51,,,0.0,,,,24.18,0.0,26.6,2.89
23,24,600353,旭光电子,7.36,2.08,0.15,,,0.0,,,,7.21,0.0,54.39,3.45
24,25,688662,富信科技,41.59,1.96,0.8,,,0.0,,,,40.79,0.0,82.68,5.36
25,26,301041,金百泽,27.0,1.89,0.5,,,0.0,,,,26.5,0.0,88.97,4.3
26,27,837212,智新电子,14.36,1.84,0.26,,,0.0,,,,14.1,0.0,94.13,3.76
27,28,000988,华工科技,36.3,1.77,0.63,,,0.0,,,,35.67,0.0,29.2,3.68
28,29,688103,国力股份,44.5,1.69,0.74,,,0.0,,,,43.76,0.0,144.97,3.93
29,30,301571,国科天成,54.19,1.69,0.9,,,0.0,,,,53.29,0.0,68.12,5.48
30,31,838701,豪声电子,34.74,1.61,0.55,,,0.0,,,,34.19,0.0,11.89,4.38
31,32,603115,海星股份,13.79,1.4,0.19,,,0.0,,,,13.6,0.0,23.78,1.67
32,33,300814,中富电路,34.15,1.34,0.45,,,0.0,,,,33.7,0.0,144.45,5.26
33,34,834950,迅安科技,16.9,1.32,0.22,,,0.0,,,,16.68,0.0,17.95,3.8
34,35,002138,顺络电子,29.07,1.22,0.35,,,0.0,,,,28.72,0.0,31.85,3.96
35,36,002869,金溢科技,29.96,1.22,0.36,,,0.0,,,,29.6,0.0,172.82,2.53
36,37,002579,中京电子,8.4,1.2,0.1,,,0.0,,,,8.3,0.0,-35.24,2.13
37,38,688582,芯动联科,47.47,1.15,0.54,,,0.0,,,,46.93,0.0,103.13,8.58
38,39,002214,大立科技,13.11,1.08,0.14,,,0.0,,,,12.97,0.0,-20.04,4.56
39,40,301413,安培龙,45.52,1.04,0.47,,,0.0,,,,45.05,0.0,53.84,3.77
40,41,300227,光韵达,7.9,1.02,0.08,,,0.0,,,,7.82,0.0,146.35,2.46
41,42,688629,华丰科技,37.02,0.98,0.36,,,0.0,,,,36.66,0.0,-475.99,11.67
42,43,300476,胜宏科技,48.7,0.95,0.46,,,0.0,,,,48.24,0.0,45.76,5.29
43,44,603678,火炬电子,28.89,0.94,0.27,,,0.0,,,,28.62,0.0,40.3,2.46
44,45,002724,海洋王,5.38,0.94,0.05,,,0.0,,,,5.33,0.0,48.08,1.49
45,46,002913,奥士康,26.8,0.83,0.22,,,0.0,,,,26.58,0.0,19.12,2.02
46,47,301282,金禄电子,23.64,0.81,0.19,,,0.0,,,,23.45,0.0,45.1,2.13
47,48,605058,澳弘电子,21.51,0.8,0.17,,,0.0,,,,21.34,0.0,19.64,1.86
48,49,002384,东山精密,25.93,0.78,0.2,,,0.0,,,,25.73,0.0,39.45,2.43
49,50,301366,一博科技,47.07,0.75,0.35,,,0.0,,,,46.72,0.0,64.36,3.27
50,51,300868,杰美特,24.4,0.74,0.18,,,0.0,,,,24.22,0.0,232.27,2.04
51,52,000636,风华高科,16.35,0.74,0.12,,,0.0,,,,16.23,0.0,45.64,1.57
52,53,605258,协和电子,28.85,0.73,0.21,,,0.0,,,,28.64,0.0,40.19,2.17
53,54,836395,朗鸿科技,13.79,0.73,0.1,,,0.0,,,,13.69,0.0,35.23,8.55
54,55,002436,兴森科技,10.39,0.68,0.07,,,0.0,,,,10.32,0.0,450.1,3.4
