,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,835237,力佳科技,26.2,26.27,5.45,33979,80740386.37,26.36,26.97,21.5,21.56,20.75,5.22,26.92,3.78
1,2,831627,力王股份,23.7,18.62,3.72,59176,131284297.96,13.51,23.7,21.0,21.3,19.98,12.64,76.28,5.21
2,3,873152,天宏锂电,12.8,18.08,1.96,62741,74869374.73,20.39,13.13,10.92,11.0,10.84,11.18,200.4,5.11
3,4,833523,德瑞锂电,23.79,15.32,3.16,33048,72986076.61,17.06,24.09,20.57,20.6,20.63,5.45,19.14,4.75
4,5,836239,长虹能源,42.8,14.53,5.43,41506,167569822.22,10.3,42.8,38.95,38.95,37.37,8.35,32.25,6.97
5,6,301121,紫建电子,47.77,14.17,5.93,48860,235242005.0,12.0,50.02,45.0,46.0,41.84,13.54,47.01,2.03
6,7,835185,贝特瑞,26.71,11.66,2.79,90566,242510841.37,10.87,27.97,25.37,25.39,23.92,0.82,30.26,2.55
7,8,002805,丰元股份,12.97,10.01,1.18,112947,144838150.54,9.92,12.97,11.8,11.9,11.79,4.05,-22.5,1.82
8,9,830809,安达科技,6.7,8.06,0.5,103503,66850509.88,9.03,6.7,6.14,6.33,6.2,3.23,-5.64,1.93
9,10,301152,天力锂能,37.04,7.89,2.71,66889,246489378.96,7.02,37.66,35.25,36.25,34.33,8.91,-19.85,2.59
10,11,688707,振华新材,11.9,7.01,0.78,64615,76504325.0,6.21,12.04,11.35,11.38,11.12,1.27,-14.91,1.28
11,12,688063,派能科技,50.12,7.0,3.28,41556,203283814.0,6.66,50.12,47.0,47.0,46.84,1.69,309.34,1.33
12,13,603659,璞泰来,15.43,6.34,0.92,200715,303443580.0,6.06,15.45,14.57,14.57,14.51,0.94,19.97,1.79
13,14,688148,芳源股份,5.03,6.12,0.29,60871,30062705.0,6.54,5.07,4.76,4.76,4.74,1.19,-19.38,3.4
14,15,688005,容百科技,28.85,5.87,1.6,63973,182000442.0,5.06,28.88,27.5,27.77,27.25,2.03,677.93,1.66
15,16,300919,中伟股份,40.18,5.76,2.19,62325,245749112.16,6.13,40.33,38.0,38.0,37.99,0.69,21.79,1.88
16,17,301238,瑞泰新材,17.7,5.55,0.93,63670,111048652.08,5.07,17.77,16.92,16.92,16.77,2.98,60.07,1.82
17,18,300890,翔丰华,32.18,5.51,1.68,54388,174982746.0,6.56,33.0,31.0,31.0,30.5,5.58,46.84,1.99
18,19,002812,恩捷股份,34.59,5.01,1.65,106415,363867524.2,4.89,34.61,33.0,33.0,32.94,1.29,58.07,1.33
19,20,300457,赢合科技,22.99,4.98,1.09,193845,442925755.0,5.98,23.3,21.99,22.39,21.9,3.06,22.08,2.33
20,21,688638,誉辰智能,28.6,4.92,1.34,3532,9993728.0,4.11,28.73,27.61,27.72,27.26,2.05,-17.69,1.5
21,22,300568,星源材质,10.21,4.83,0.47,276137,279336098.62,4.62,10.26,9.81,9.82,9.74,2.27,28.31,1.4
22,23,300438,鹏辉能源,34.55,4.7,1.55,142675,492646495.5,5.03,35.28,33.62,33.62,33.0,3.53,215.58,3.22
23,24,688499,利元亨,23.87,4.6,1.05,17910,42291280.0,4.69,23.89,22.82,22.82,22.82,1.41,-8.75,1.36
24,25,688388,嘉元科技,12.12,4.48,0.52,37127,44447355.0,4.31,12.13,11.63,11.63,11.6,0.87,-24.55,0.76
25,26,688567,孚能科技,12.83,4.48,0.55,42939,54379824.0,5.21,12.84,12.2,12.43,12.28,0.35,-41.18,1.54
26,27,301511,德福科技,15.22,4.46,0.65,78070,117544125.29,4.39,15.24,14.6,14.6,14.57,2.09,-45.49,2.32
27,28,300530,领湃科技,22.07,4.3,0.91,21733,47742969.9,6.85,22.45,21.0,21.0,21.16,1.37,-19.95,55.28
28,29,300619,金银河,32.13,4.25,1.31,19648,62332628.2,3.83,32.18,31.0,31.0,30.82,1.79,-165.35,2.63
29,30,300068,南都电源,23.35,4.24,0.95,691860,1635896920.61,6.16,24.38,23.0,23.38,22.4,8.34,55.0,3.7
30,31,301325,曼恩斯特,41.3,4.24,1.68,20117,83501375.45,5.91,42.54,40.2,40.2,39.62,3.47,41.27,2.02
31,32,300014,亿纬锂能,46.84,4.23,1.9,224614,1049787844.71,3.09,47.29,45.9,45.9,44.94,1.21,22.54,2.62
32,33,600847,万里股份,10.64,4.21,0.43,27384,28640485.0,4.9,10.68,10.18,10.18,10.21,1.79,-63.1,2.51
33,34,002759,天际股份,7.56,4.13,0.3,63885,47874464.84,4.41,7.6,7.28,7.28,7.26,1.27,-14.84,0.86
34,35,300769,德方纳米,43.0,4.12,1.7,83687,359575529.5,5.52,43.88,41.6,41.6,41.3,3.32,-11.68,1.9
35,36,301150,中一科技,23.03,3.93,0.87,17295,39512556.76,3.43,23.09,22.33,22.33,22.16,1.87,-39.81,1.17
36,37,688778,厦钨新能,35.8,3.89,1.34,13979,49429108.0,4.06,35.8,34.4,34.4,34.46,0.33,31.5,1.77
37,38,600110,诺德股份,3.79,3.84,0.14,142670,53785509.0,3.84,3.8,3.66,3.68,3.65,0.82,-20.67,1.12
38,39,300073,当升科技,44.47,3.83,1.64,99329,440402624.18,2.73,44.77,43.6,43.62,42.83,1.97,39.26,1.74
39,40,688779,五矿新能,5.8,3.57,0.2,109620,62926697.0,3.75,5.82,5.61,5.62,5.6,0.57,-84.86,1.56
40,41,603031,安孚科技,29.6,3.5,1.0,24416,71856037.0,3.85,29.88,28.78,28.81,28.6,1.16,33.54,3.55
41,42,600152,维科技术,6.29,3.45,0.21,121111,76793286.0,3.78,6.46,6.23,6.31,6.08,2.29,-227.45,1.85
42,43,300450,先导智能,19.32,3.43,0.64,145526,279876097.63,3.21,19.55,18.95,18.95,18.68,0.93,32.94,2.56
43,44,688275,万润新能,35.25,3.22,1.1,4796,16797501.0,3.31,35.3,34.17,34.18,34.15,0.57,-5.5,0.72
44,45,603906,龙蟠科技,10.68,3.19,0.33,46817,49828476.0,3.29,10.79,10.45,10.46,10.35,0.83,-13.66,1.99
45,46,688006,杭可科技,18.93,3.16,0.58,18010,33691178.0,2.78,18.93,18.42,18.42,18.35,0.3,21.22,2.23
46,47,300648,星云股份,25.7,3.09,0.77,11102,28466807.05,3.09,25.97,25.2,25.2,24.93,1.05,-46.84,4.62
47,48,688772,珠海冠宇,16.98,3.03,0.5,42279,70964720.0,2.67,16.98,16.54,16.54,16.48,0.38,94.03,2.98
48,49,301358,湖南裕能,42.66,3.02,1.25,38591,161957702.21,4.52,42.67,40.8,41.09,41.41,1.01,41.5,2.83
49,50,301210,金杨股份,34.11,2.96,0.98,6121,20754651.54,3.05,34.15,33.14,33.56,33.13,1.99,57.63,1.53
50,51,603032,德新科技,16.56,2.86,0.46,27664,45485896.0,3.23,16.56,16.04,16.06,16.1,1.2,248.92,3.09
51,52,688573,信宇人,17.04,2.84,0.47,6035,10280194.0,3.02,17.18,16.68,16.79,16.57,1.32,-22.52,1.93
52,53,300037,新宙邦,41.33,2.81,1.13,22212,91285363.13,2.64,41.47,40.41,40.41,40.2,0.41,37.47,3.47
53,54,301587,中瑞股份,27.1,2.77,0.73,12439,33485090.36,1.74,27.21,26.75,26.8,26.37,4.07,44.35,2.0
54,55,301487,盟固利,25.75,2.71,0.68,68576,177155951.5,4.27,26.27,25.2,25.42,25.07,2.51,762.13,6.04
55,56,002074,国轩高科,22.75,2.62,0.58,96037,218512653.08,3.47,23.0,22.23,22.23,22.17,0.72,75.24,1.65
56,57,300340,科恒股份,10.26,2.6,0.26,30597,31336995.2,2.6,10.35,10.09,10.09,10.0,1.63,-23.31,14.04
57,58,605378,野马电池,17.25,2.56,0.43,9654,16519196.0,2.97,17.25,16.75,16.82,16.82,0.52,23.59,2.68
58,59,300953,震裕科技,66.1,2.53,1.63,8983,59280377.0,1.86,66.5,65.3,65.76,64.47,1.32,25.79,2.75
59,60,688345,博力威,20.17,2.39,0.47,1774,3551983.0,4.37,20.28,19.42,19.7,19.7,0.18,-44.68,1.8
60,61,002850,科达利,95.75,2.26,2.12,6296,60254857.31,2.17,96.96,94.93,94.93,93.63,0.33,20.01,2.45
61,62,002245,蔚蓝锂芯,9.12,2.24,0.2,85973,78262681.85,1.68,9.15,9.0,9.01,8.92,0.79,31.4,1.59
62,63,600241,时代万恒,6.98,2.2,0.15,30759,21354806.0,2.93,7.01,6.81,6.81,6.83,1.05,107.81,1.78
63,64,000049,德赛电池,25.86,2.17,0.55,24848,63870843.64,1.78,25.9,25.45,25.6,25.31,0.65,46.22,1.58
64,65,300750,宁德时代,251.5,2.17,5.34,70612,1765118730.11,2.46,252.35,246.3,252.34,246.16,0.18,23.07,4.67
65,66,601311,骆驼股份,8.49,2.17,0.18,72015,60616590.0,2.65,8.5,8.28,8.28,8.31,0.61,15.32,1.06
66,67,688184,帕瓦股份,13.86,2.14,0.29,3053,4211768.0,3.24,13.95,13.51,13.51,13.57,0.3,-3.76,0.85
67,68,688819,天能股份,32.76,2.09,0.67,9228,30000362.0,2.21,32.8,32.09,32.09,32.09,0.09,13.33,2.04
68,69,002733,雄韬股份,12.82,1.91,0.24,28657,36757315.54,2.62,12.96,12.63,12.64,12.58,0.78,34.29,1.85
69,70,688339,亿华通-U,25.24,1.86,0.46,10017,25210807.0,2.87,25.38,24.67,24.8,24.78,0.63,-20.66,2.01
70,71,300207,欣旺达,22.64,1.21,0.27,169630,385231526.58,1.97,22.92,22.48,22.66,22.37,0.98,25.59,1.79
71,72,301222,浙江恒威,25.59,1.15,0.29,2920,7471704.0,1.54,25.72,25.33,25.33,25.3,1.0,20.97,1.91
