,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000839,中信国安,3.26,10.14,0.3,,,0.0,,,,2.96,0.0,40.67,10.78
1,2,600624,复旦复华,4.81,10.07,0.44,,,0.0,,,,4.37,0.0,-104.47,4.21
2,3,000009,中国宝安,9.74,10.06,0.89,,,0.0,,,,8.85,0.0,64.15,2.52
3,4,000532,华金资本,14.73,9.03,1.22,,,0.0,,,,13.51,0.0,105.04,3.72
4,5,000158,常山北明,26.28,3.71,0.94,,,0.0,,,,25.34,0.0,-86.22,7.49
5,6,000909,ST数源,4.57,1.78,0.08,,,0.0,,,,4.49,0.0,14.06,1.65
6,7,002053,云南能投,12.16,1.67,0.2,,,0.0,,,,11.96,0.0,9.85,1.53
7,8,600784,鲁银投资,5.87,1.21,0.07,,,0.0,,,,5.8,0.0,11.15,1.31
8,9,000632,三木集团,3.43,0.59,0.02,,,0.0,,,,3.41,0.0,107.85,1.03
9,10,002758,浙农股份,8.88,0.57,0.05,,,0.0,,,,8.83,0.0,21.99,1.03
10,11,000833,粤桂股份,5.87,0.34,0.02,,,0.0,,,,5.85,0.0,17.37,1.38
11,12,600805,悦达投资,4.2,0.0,0.0,,,0.0,,,,4.2,0.0,162.85,0.81
12,13,600673,东阳光,7.8,0.0,0.0,,,0.0,,,,7.8,0.0,51.91,2.6
13,14,600568,ST中珠,1.26,0.0,0.0,,,0.0,,,,1.26,0.0,-19.23,1.08
14,15,200025,特  力Ｂ,,,,,,,,,,4.57,0.0,12.33,1.05
15,16,000803,山高环能,4.02,-0.25,-0.01,,,0.0,,,,4.03,0.0,-27.05,1.37
16,17,600051,宁波联合,6.3,-0.63,-0.04,,,0.0,,,,6.34,0.0,21.82,0.59
17,18,600620,天宸股份,5.52,-1.08,-0.06,,,0.0,,,,5.58,0.0,746.75,2.83
18,19,000652,泰达股份,4.05,-1.46,-0.06,,,0.0,,,,4.11,0.0,30.19,1.05
19,20,600113,浙江东日,9.52,-1.75,-0.17,,,0.0,,,,9.69,0.0,32.67,1.72
20,21,600770,综艺股份,4.58,-2.35,-0.11,,,0.0,,,,4.69,0.0,61.89,1.8
