,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,834765,美之高,12.66,29.98,2.92,40899,50891623.02,11.81,12.66,11.51,11.61,9.74,9.3,37.27,2.72
1,2,301365,矩阵股份,15.53,20.02,2.59,44637,69320919.34,0.0,15.53,15.53,15.53,12.94,9.63,46.89,1.56
2,3,603038,华立股份,23.49,9.61,2.06,600346,1357322899.0,17.59,23.57,19.8,20.99,21.43,22.34,171.61,4.66
3,4,002713,东易日盛,4.57,8.55,0.36,525309,234588548.26,9.98,4.63,4.21,4.21,4.21,12.77,-1.78,-4.03
4,5,603385,惠达卫浴,6.47,5.72,0.35,44460,28670818.0,4.08,6.56,6.31,6.4,6.12,1.17,19.77,0.66
5,6,002482,广田集团,1.78,5.33,0.09,319724,56176522.34,5.92,1.8,1.7,1.7,1.69,0.85,-28.0,10.17
6,7,002822,ST中装,2.03,5.18,0.1,112374,22795600.52,2.59,2.03,1.98,2.03,1.93,2.15,-1.63,0.68
7,8,002620,瑞和股份,3.43,4.57,0.15,116336,39993207.0,5.49,3.5,3.32,3.43,3.28,3.69,-7.84,8.89
8,9,002989,中天精装,26.83,4.15,1.07,46060,122127333.29,3.69,26.98,26.03,26.49,25.76,2.78,-53.49,3.01
9,10,605318,法狮龙,19.19,3.95,0.73,13719,26109128.0,6.99,19.67,18.38,18.4,18.46,1.09,-200.45,3.1
10,11,603272,联翔股份,11.8,3.78,0.43,9656,11257339.0,3.96,11.84,11.39,11.39,11.37,2.27,-44.87,2.09
11,12,002047,宝鹰股份,1.99,3.65,0.07,121226,24147137.0,5.21,2.03,1.93,1.95,1.92,0.9,-6.74,121.04
12,13,002789,建艺集团,10.6,2.91,0.3,15376,16359376.0,2.62,10.77,10.5,10.62,10.3,1.17,152.03,46.99
13,14,002856,美芝股份,9.57,2.68,0.25,19889,19068072.15,3.76,9.75,9.4,9.45,9.32,1.64,-28.92,3.85
14,15,603828,ST柯利达,2.75,2.61,0.07,255496,69143260.0,9.7,2.81,2.55,2.81,2.68,4.29,58.51,2.19
15,16,002375,亚厦股份,3.94,2.6,0.1,63093,24789131.99,2.86,3.97,3.86,3.86,3.84,0.48,18.19,0.67
16,17,002247,聚力文化,1.98,2.59,0.05,144224,28414477.0,3.63,2.0,1.93,1.94,1.93,2.24,3.8,2.69
17,18,002830,名雕股份,11.98,2.57,0.3,9428,11264941.0,3.42,12.09,11.69,11.69,11.68,1.41,74.41,2.47
18,19,000055,方大集团,3.94,2.34,0.09,33051,12944662.5,2.34,3.95,3.86,3.87,3.85,0.49,18.11,0.7
19,20,300986,志特新材,12.49,2.21,0.27,37820,46851421.53,6.55,12.75,11.95,12.03,12.22,1.54,38.91,2.29
20,21,833580,科创新材,10.2,2.0,0.2,16168,16236810.13,5.1,10.26,9.75,9.9,10.0,2.89,69.52,2.68
21,22,002081,金 螳 螂,3.57,1.71,0.06,63947,22723817.5,2.28,3.58,3.5,3.5,3.51,0.24,13.77,0.71
22,23,001212,中旗新材,21.6,1.65,0.35,6334,13632909.9,2.31,21.65,21.16,21.24,21.25,0.62,55.2,1.68
23,24,601886,江河集团,5.54,1.47,0.08,20750,11440261.0,2.01,5.55,5.44,5.45,5.46,0.18,9.73,0.9
24,25,603030,全筑股份,2.14,1.42,0.03,52387,11104913.0,2.37,2.14,2.09,2.09,2.11,0.4,-169.77,2.75
25,26,300374,中铁装配,19.11,1.38,0.26,75641,142628376.5,3.55,19.3,18.63,18.67,18.85,3.72,-52.69,5.59
26,27,600193,创兴资源,3.04,1.33,0.04,112869,34627996.0,4.67,3.14,3.0,3.04,3.0,2.65,-93.44,4.46
27,28,002084,海鸥住工,2.96,1.02,0.03,27811,8226476.0,1.71,2.98,2.93,2.93,2.93,0.43,85.59,1.2
28,29,603216,梦天家居,10.36,0.78,0.08,4640,4806854.0,1.36,10.44,10.3,10.31,10.28,0.82,46.4,1.32
29,30,301113,雅艺科技,25.19,0.76,0.19,1550,3883212.0,3.12,25.29,24.51,25.09,25.0,0.84,236.45,2.42
30,31,002963,豪尔赛,12.14,0.5,0.06,9976,12084179.0,1.66,12.2,12.0,12.04,12.08,0.81,220.57,1.19
31,32,605287,德才股份,13.3,0.38,0.05,8163,10819314.0,1.66,13.37,13.15,13.18,13.25,0.82,13.93,0.98
32,33,300506,*ST名家,3.67,0.0,0.0,40789,14885040.62,3.27,3.72,3.6,3.67,3.67,0.71,-89.56,19.66
33,34,603408,建霖家居,12.39,-0.16,-0.02,4084,5058353.0,1.13,12.46,12.32,12.42,12.41,0.09,10.71,1.77
34,35,605178,时空科技,18.4,-0.27,-0.05,59305,109117689.0,4.77,18.78,17.9,18.66,18.45,5.98,-12.25,1.2
35,36,605289,罗曼股份,27.33,-0.36,-0.1,11532,31487835.0,2.92,27.7,26.9,27.54,27.43,2.28,292.18,2.29
36,37,603929,亚翔集成,30.05,-0.79,-0.24,11605,34918577.0,1.65,30.35,29.85,30.32,30.29,0.54,13.51,4.41
37,38,300621,维业股份,10.0,-1.67,-0.17,35250,35363542.0,1.57,10.13,9.97,10.07,10.17,1.8,117.21,2.33
