,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,871553,凯腾精工,11.4,28.67,2.54,,,0.0,,,,8.86,0.0,128.92,4.89
1,2,833075,柏星龙,24.0,12.68,2.7,,,0.0,,,,21.3,0.0,28.72,3.95
2,3,002229,鸿博股份,15.28,10.01,1.39,,,0.0,,,,13.89,0.0,-95.82,5.03
3,4,833394,民士达,26.0,8.79,2.1,,,0.0,,,,23.9,0.0,40.32,5.55
4,5,600235,民丰特纸,5.63,2.74,0.15,,,0.0,,,,5.48,0.0,24.33,1.33
5,6,000695,滨海能源,10.47,2.55,0.26,,,0.0,,,,10.21,0.0,734.35,12.53
6,7,603499,翔港科技,24.95,2.09,0.51,,,0.0,,,,24.44,0.0,121.24,6.83
7,8,002831,裕同科技,24.86,1.97,0.48,,,0.0,,,,24.38,0.0,23.27,2.17
8,9,603165,荣晟环保,11.64,1.48,0.17,,,0.0,,,,11.47,0.0,9.57,1.45
9,10,002836,新宏泽,7.85,1.42,0.11,,,0.0,,,,7.74,0.0,32.02,5.36
10,11,301469,恒达新材,24.31,1.04,0.25,,,0.0,,,,24.06,0.0,30.7,1.61
11,12,605377,华旺科技,13.29,0.68,0.09,,,0.0,,,,13.2,0.0,10.22,1.63
12,13,600966,博汇纸业,4.58,0.66,0.03,,,0.0,,,,4.55,0.0,23.36,0.91
13,14,600356,恒丰纸业,7.03,0.43,0.03,,,0.0,,,,7.0,0.0,18.7,0.84
14,15,600433,冠豪高新,3.15,0.32,0.01,,,0.0,,,,3.14,0.0,32.71,1.23
15,16,605007,五洲特纸,13.4,0.22,0.03,,,0.0,,,,13.37,0.0,12.41,2.15
16,17,603058,永吉股份,10.77,0.19,0.02,,,0.0,,,,10.75,0.0,26.47,3.91
17,18,603429,集友股份,5.44,0.18,0.01,,,0.0,,,,5.43,0.0,-20.63,2.2
18,19,603607,XD京华激,16.6,0.18,0.03,,,0.0,,,,16.57,0.0,35.95,3.08
19,20,600567,山鹰国际,1.76,0.0,0.0,,,0.0,,,,1.76,0.0,38.28,0.59
20,21,600103,青山纸业,2.03,0.0,0.0,,,0.0,,,,2.03,0.0,41.49,1.17
21,22,300883,龙利得,,,,,,,,,,5.16,0.0,227.55,1.25
22,23,200488,晨  鸣Ｂ,,,,,,,,,,1.51,0.0,71.13,0.25
23,24,002521,齐峰新材,9.99,0.0,0.0,,,0.0,,,,9.99,0.0,34.82,1.32
24,25,002511,中顺洁柔,7.16,0.0,0.0,,,0.0,,,,7.16,0.0,53.19,1.69
25,26,002067,景兴纸业,3.18,0.0,0.0,,,0.0,,,,3.18,0.0,39.8,0.69
26,27,001279,强邦新材,56.93,0.0,0.0,,,0.0,,,,56.93,0.0,98.74,9.74
27,28,000815,美利云,9.53,0.0,0.0,,,0.0,,,,9.53,0.0,-934.27,3.56
28,29,002078,太阳纸业,13.53,-0.07,-0.01,,,0.0,,,,13.54,0.0,10.75,1.36
29,30,002117,东港股份,7.23,-0.14,-0.01,,,0.0,,,,7.24,0.0,36.88,2.93
30,31,301355,南王科技,10.84,-0.18,-0.02,,,0.0,,,,10.86,0.0,47.99,1.39
31,32,002235,安妮股份,5.11,-0.2,-0.01,,,0.0,,,,5.12,0.0,125.69,4.03
32,33,000488,晨鸣纸业,3.82,-0.26,-0.01,,,0.0,,,,3.83,0.0,197.15,0.68
33,34,600308,华泰股份,3.62,-0.28,-0.01,,,0.0,,,,3.63,0.0,14.97,0.59
34,35,600793,宜宾纸业,10.6,-0.28,-0.03,,,0.0,,,,10.63,0.0,-11.89,3.74
35,36,603733,仙鹤股份,18.33,-0.38,-0.07,,,0.0,,,,18.4,0.0,11.75,1.76
36,37,605500,森林包装,6.96,-0.57,-0.04,,,0.0,,,,7.0,0.0,18.08,1.17
37,38,600963,岳阳林纸,5.32,-0.93,-0.05,,,0.0,,,,5.37,0.0,-96.61,1.12
38,39,002012,凯恩股份,4.8,-1.23,-0.06,,,0.0,,,,4.86,0.0,79.04,1.46
39,40,603863,松炀资源,29.59,-1.56,-0.47,,,0.0,,,,30.06,0.0,-50.45,9.44
