,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,836149,旭杰科技,22.11,29.98,5.1,,,0.0,,,,17.01,0.0,85.1,8.58
1,2,300656,民德电子,38.95,19.99,6.49,,,0.0,,,,32.46,0.0,-490.19,5.96
2,3,600198,大唐电信,13.07,10.02,1.19,,,0.0,,,,11.88,0.0,-137.81,68.59
3,4,601727,上海电气,7.03,10.02,0.64,,,0.0,,,,6.39,0.0,91.01,2.05
4,5,603038,华立股份,25.93,10.01,2.36,,,0.0,,,,23.57,0.0,189.44,5.14
5,6,603268,松发股份,30.77,10.01,2.8,,,0.0,,,,27.97,0.0,-47.51,256.43
6,7,603991,至正股份,87.86,10.0,7.99,,,0.0,,,,79.87,0.0,-529.28,26.18
7,8,000958,电投产融,7.26,10.0,0.66,,,0.0,,,,6.6,0.0,36.87,2.0
8,9,002693,双成药业,37.42,9.99,3.4,,,0.0,,,,34.02,0.0,-457.85,34.12
9,10,600246,万通发展,11.25,9.97,1.02,,,0.0,,,,10.23,0.0,-141.27,4.03
10,11,600292,远达环保,9.6,9.97,0.87,,,0.0,,,,8.73,0.0,63.62,1.44
11,12,603790,雅运股份,11.39,9.94,1.03,,,0.0,,,,10.36,0.0,24.99,1.83
12,13,603958,哈森股份,14.8,9.39,1.27,,,0.0,,,,13.53,0.0,-136.99,4.1
13,14,301281,科源制药,54.0,6.99,3.53,,,0.0,,,,50.47,0.0,110.52,4.37
14,15,300080,易成新能,4.99,5.94,0.28,,,0.0,,,,4.71,0.0,-17.58,1.73
15,16,688528,秦川物联,12.6,5.26,0.63,,,0.0,,,,11.97,0.0,-53.86,3.58
16,17,300417,南华仪器,11.75,4.63,0.52,,,0.0,,,,11.23,0.0,30.22,3.36
17,18,603718,海利生物,7.8,3.72,0.28,,,0.0,,,,7.52,0.0,169.64,4.09
18,19,002387,维信诺,9.15,3.62,0.32,,,0.0,,,,8.83,0.0,-5.4,1.87
19,20,001239,永达股份,17.8,3.13,0.54,,,0.0,,,,17.26,0.0,66.26,3.4
20,21,688115,思林杰,46.88,3.1,1.41,,,0.0,,,,45.47,0.0,194.69,2.5
21,22,002701,奥瑞金,4.98,2.68,0.13,,,0.0,,,,4.85,0.0,11.62,1.43
22,23,300936,中英科技,51.88,2.53,1.28,,,0.0,,,,50.6,0.0,106.68,3.9
23,24,600067,冠城大通,2.56,2.4,0.06,,,0.0,,,,2.5,0.0,-66.04,0.55
24,25,600187,国中水务,4.02,2.03,0.08,,,0.0,,,,3.94,0.0,626.2,2.06
25,26,000410,沈阳机床,7.62,2.01,0.15,,,0.0,,,,7.47,0.0,-97.34,16.29
26,27,000761,本钢板材,3.61,1.98,0.07,,,0.0,,,,3.54,0.0,-4.78,1.02
27,28,000523,红棉股份,3.08,1.65,0.05,,,0.0,,,,3.03,0.0,75.37,3.91
28,29,000935,四川双马,18.45,1.6,0.29,,,0.0,,,,18.16,0.0,62.12,1.94
29,30,000599,青岛双星,5.29,1.54,0.08,,,0.0,,,,5.21,0.0,-37.84,2.07
30,31,688536,思瑞浦,125.11,1.51,1.86,,,0.0,,,,123.25,0.0,-126.37,3.06
31,32,300489,光智科技,105.0,1.38,1.43,,,0.0,,,,103.57,0.0,-428.45,24.68
32,33,000800,一汽解放,8.84,1.38,0.12,,,0.0,,,,8.72,0.0,45.49,1.66
33,34,301307,美利信,25.98,1.09,0.28,,,0.0,,,,25.7,0.0,-85.61,1.72
34,35,600881,亚泰集团,1.92,1.05,0.02,,,0.0,,,,1.9,0.0,-3.36,1.29
35,36,600250,南京商旅,8.94,0.79,0.07,,,0.0,,,,8.87,0.0,50.29,4.63
36,37,000100,TCL科技,4.49,0.45,0.02,,,0.0,,,,4.47,0.0,42.36,1.61
37,38,600742,一汽富维,9.03,0.33,0.03,,,0.0,,,,9.0,0.0,12.76,0.81
38,39,300765,新诺威,30.4,0.33,0.1,,,0.0,,,,30.3,0.0,229.85,11.2
39,40,301297,富乐德,69.01,0.25,0.17,,,0.0,,,,68.84,0.0,233.47,16.08
40,41,000422,湖北宜化,13.83,0.22,0.03,,,0.0,,,,13.8,0.0,13.87,2.05
41,42,688622,禾信仪器,,,,,,,,,,29.78,0.0,-47.24,5.03
