,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,831087,秋乐种业,11.27,16.79,1.62,42002,44019448.16,12.23,11.29,10.11,10.35,9.65,2.62,-218.1,3.68
1,2,300087,荃银高科,11.13,15.58,1.5,353032,381816900.82,15.78,11.54,10.02,10.02,9.63,3.94,-93.77,5.99
2,3,200992,中  鲁Ｂ,2.3,10.05,0.21,3023,693434.29,1.44,2.3,2.27,2.29,2.09,0.22,-15.89,0.55
3,4,603336,宏辉果蔬,5.19,9.96,0.47,135350,68298548.0,8.05,5.19,4.81,4.88,4.72,2.37,117.96,2.64
4,5,600811,东方集团,2.54,9.96,0.23,122271,31056750.0,0.0,2.54,2.54,2.54,2.31,0.33,50.64,0.55
5,6,300175,朗源股份,6.34,6.38,0.38,75972,46930951.6,7.38,6.35,5.91,5.91,5.96,1.61,-68.57,5.2
6,7,600371,万向德农,9.02,6.24,0.53,43471,38523198.0,7.42,9.14,8.51,8.59,8.49,1.49,32.21,4.69
7,8,837403,康农种业,12.99,5.95,0.73,9773,12495948.66,3.83,12.99,12.52,12.97,12.26,3.28,59.54,2.23
8,9,300021,大禹节水,4.28,5.94,0.24,129405,54917020.55,3.71,4.33,4.18,4.2,4.04,1.85,91.76,1.96
9,10,300189,神农种业,3.2,5.26,0.16,213074,67351513.05,7.57,3.25,3.02,3.03,3.04,2.4,-103.96,4.34
10,11,000638,万方发展,4.89,5.16,0.24,38366,18515548.0,5.81,4.92,4.65,4.65,4.65,1.24,727.06,9.0
11,12,002772,众兴菌业,7.08,4.89,0.33,49341,34577719.45,4.3,7.14,6.85,6.85,6.75,1.26,23.55,0.82
12,13,000702,正虹科技,9.13,4.7,0.41,144346,129305355.84,9.75,9.25,8.4,9.05,8.72,5.41,-141.01,7.62
13,14,832419,路斯股份,11.76,4.53,0.51,10048,12006847.53,4.8,12.23,11.69,11.95,11.25,1.07,15.38,2.29
14,15,000713,丰乐种业,7.06,4.44,0.3,63890,44482421.9,6.07,7.11,6.7,6.7,6.76,1.04,-97.01,2.26
15,16,300673,佩蒂股份,16.81,3.83,0.62,14068,23329784.0,4.26,16.94,16.25,16.45,16.19,0.87,20.27,2.28
16,17,002299,圣农发展,14.0,3.63,0.49,49982,68940382.0,3.77,14.03,13.52,13.52,13.51,0.41,34.11,1.68
17,18,002069,獐子岛,3.21,3.55,0.11,26451,8389910.0,3.23,3.22,3.12,3.12,3.1,0.37,-52.17,44.2
18,19,002041,登海种业,9.77,3.39,0.32,28985,28066873.12,3.39,9.77,9.45,9.45,9.45,0.33,81.52,2.39
19,20,600354,敦煌种业,5.76,3.23,0.18,48183,27474238.0,3.76,5.79,5.58,5.59,5.58,0.91,48.41,4.83
20,21,300268,ST佳沃,8.12,3.05,0.24,3850,3050533.0,4.57,8.14,7.78,7.9,7.88,0.29,-1.63,-0.93
21,22,300967,晓鸣股份,12.78,2.9,0.36,8504,10722989.0,3.62,12.79,12.34,12.34,12.42,0.68,-212.72,3.75
22,23,002982,湘佳股份,18.69,2.58,0.47,14546,27204603.6,2.09,18.88,18.5,18.6,18.22,1.58,22.47,1.67
23,24,600191,华资实业,5.81,2.47,0.14,6522,3760952.0,2.47,5.83,5.69,5.7,5.67,0.13,194.78,1.74
24,25,002696,百洋股份,4.98,2.47,0.12,9152,4506226.0,3.29,5.01,4.85,4.85,4.86,0.27,-34.96,1.25
25,26,600313,农发种业,6.76,2.42,0.16,73853,49211043.0,4.39,6.78,6.49,6.51,6.6,0.68,99.1,3.81
26,27,300970,华绿生物,13.55,2.19,0.29,6822,9220394.0,3.77,13.69,13.19,13.21,13.26,0.73,-18.17,1.1
27,28,600097,开创国际,8.96,2.17,0.19,7860,6985285.0,2.05,8.98,8.8,8.8,8.77,0.33,-41.59,1.0
28,29,600127,金健米业,7.12,2.15,0.15,39968,28183459.0,2.15,7.12,6.97,6.97,6.97,0.62,5279.08,6.58
29,30,002385,大北农,4.76,2.15,0.1,84351,39788506.0,2.15,4.77,4.67,4.68,4.66,0.25,115.65,2.42
30,31,002321,华英农业,1.94,2.11,0.04,32154,6186217.0,1.58,1.94,1.91,1.91,1.9,0.15,115.29,4.12
31,32,603717,天域生物,6.08,2.01,0.12,6997,4254401.0,3.52,6.2,5.99,5.99,5.96,0.24,141.61,2.7
32,33,600540,新赛股份,4.08,2.0,0.08,13652,5527888.0,2.75,4.1,3.99,4.0,4.0,0.23,159.7,3.22
33,34,001313,粤海饲料,7.49,1.9,0.14,4477,3321974.0,1.9,7.49,7.35,7.45,7.35,0.21,-54.64,2.02
34,35,002679,福建金森,8.27,1.85,0.15,6134,5051252.2,2.09,8.3,8.13,8.15,8.12,0.26,-25.88,2.72
35,36,000998,隆平高科,11.1,1.83,0.2,47285,52135124.0,2.66,11.15,10.86,10.88,10.9,0.36,65.68,2.87
36,37,600108,亚盛集团,2.78,1.83,0.05,38444,10590443.0,2.2,2.78,2.72,2.73,2.73,0.2,92.38,1.29
37,38,600257,大湖股份,5.01,1.83,0.09,43388,21640700.0,2.03,5.03,4.93,4.93,4.92,0.9,-87.47,2.8
38,39,000505,京粮控股,6.55,1.71,0.11,13255,8620415.0,2.33,6.57,6.42,6.44,6.44,0.21,98.96,1.52
39,40,002891,中宠股份,29.87,1.7,0.5,10218,30482158.0,2.01,30.12,29.53,29.61,29.37,0.35,23.37,3.58
40,41,002548,金新农,4.32,1.65,0.07,30011,12873060.0,2.35,4.34,4.24,4.24,4.25,0.37,93.59,2.3
41,42,002200,ST交投,5.67,1.61,0.09,2473,1394792.0,1.61,5.69,5.6,5.62,5.58,0.13,-35.86,34.69
42,43,600467,好当家,1.94,1.57,0.03,58261,11193950.0,3.14,1.95,1.89,1.9,1.91,0.4,71.99,0.84
43,44,000592,平潭发展,2.01,1.52,0.03,71345,14325210.0,1.52,2.02,1.99,1.99,1.98,0.37,89.11,1.87
44,45,600359,新农开发,6.82,1.49,0.1,12299,8343273.0,2.23,6.84,6.69,6.73,6.72,0.32,24.29,3.74
45,46,600965,福成股份,4.2,1.45,0.06,16842,7037969.0,2.42,4.23,4.13,4.14,4.14,0.21,89.12,1.61
46,47,603668,天马科技,13.08,1.4,0.18,7037,9111916.0,2.33,13.11,12.81,12.81,12.9,0.14,58.59,2.92
47,48,001201,东瑞股份,16.45,1.23,0.2,4492,7360199.2,1.42,16.48,16.25,16.28,16.25,0.27,-19.27,1.26
48,49,001366,播恩集团,11.66,1.13,0.13,3259,3781950.0,1.47,11.67,11.5,11.52,11.53,0.59,-231.81,2.24
49,50,600598,北大荒,14.61,1.11,0.16,27129,39453452.0,1.31,14.65,14.46,14.48,14.45,0.15,13.2,3.37
50,51,601952,苏垦农发,10.46,1.06,0.11,13615,14139881.0,2.13,10.48,10.26,10.35,10.35,0.1,24.43,2.24
51,52,603151,邦基科技,10.72,1.04,0.11,1603,1710979.0,1.13,10.73,10.61,10.63,10.61,0.2,38.43,1.48
52,53,600975,新五丰,6.43,0.94,0.06,37245,23751642.0,1.88,6.44,6.32,6.34,6.37,0.43,-16.42,2.95
53,54,002567,唐人神,5.36,0.94,0.05,66482,35499681.0,1.32,5.38,5.31,5.32,5.31,0.46,824.68,1.38
54,55,000798,中水渔业,7.57,0.93,0.07,5897,4433639.0,1.6,7.58,7.46,7.5,7.5,0.16,128.38,5.65
55,56,002100,天康生物,6.78,0.89,0.06,38264,25801417.0,1.19,6.78,6.7,6.71,6.72,0.28,16.73,1.4
56,57,600883,博闻科技,7.03,0.86,0.06,6264,4381550.0,1.43,7.03,6.93,7.02,6.97,0.27,20.88,1.78
57,58,600265,景谷林业,15.53,0.84,0.13,1632,2518698.0,1.3,15.56,15.36,15.38,15.4,0.13,-122.98,12.75
