,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300010,豆神教育,6.66,20.0,1.11,427490,284708226.78,0.0,6.66,6.66,6.66,5.55,3.79,93.1,12.69
1,2,300338,*ST开元,3.56,13.38,0.42,136360,47487282.0,12.1,3.62,3.24,3.24,3.14,3.96,-39.78,-11.19
2,3,003032,传智教育,11.21,8.0,0.83,92051,101576128.2,7.71,11.35,10.55,10.55,10.38,3.37,-65.91,3.34
3,4,300359,全通教育,6.44,5.57,0.34,93653,59858733.25,6.89,6.54,6.12,6.15,6.1,1.48,-159.88,5.94
4,5,002659,凯文教育,5.41,5.05,0.26,56932,30560082.0,5.05,5.44,5.18,5.18,5.15,0.95,-163.84,1.48
5,6,300688,创业黑马,28.92,4.44,1.23,58665,172694347.62,5.42,30.0,28.5,29.0,27.69,4.13,-84.12,9.97
6,7,600730,中国高科,6.07,3.58,0.21,152179,91733331.0,4.1,6.14,5.9,5.97,5.86,2.59,81.78,2.0
7,8,600661,昂立教育,14.97,3.53,0.51,15784,23596661.0,3.46,15.15,14.65,14.67,14.46,0.55,-125.25,103.05
8,9,600880,博瑞传播,4.56,2.01,0.09,44144,20071922.0,3.13,4.6,4.46,4.46,4.47,0.4,288.78,1.64
9,10,000526,学大教育,46.79,1.89,0.87,9324,43365200.0,2.4,46.9,45.8,45.9,45.92,0.78,17.85,7.25
10,11,300192,科德教育,16.89,1.75,0.29,78653,132863093.0,4.22,17.25,16.55,16.55,16.6,3.74,39.25,6.52
11,12,002607,中公教育,3.16,1.28,0.04,801014,249058708.85,4.49,3.18,3.04,3.07,3.12,1.59,84.07,28.53
12,13,600455,博通股份,22.38,1.04,0.23,10983,24876976.0,2.21,22.86,22.37,22.52,22.15,1.76,74.93,5.02
13,14,605098,行动教育,36.58,0.36,0.13,4143,14940362.0,2.36,36.65,35.79,36.01,36.45,0.35,16.81,4.57
14,15,600636,国新文化,10.97,-1.53,-0.17,71689,78710552.0,3.23,11.16,10.8,11.0,11.14,1.63,-65.49,1.99
