,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600581,八一钢铁,3.55,9.91,0.32,420759,146985677.0,4.64,3.55,3.4,3.4,3.23,2.74,-3.79,5.12
1,2,600569,安阳钢铁,1.85,8.82,0.15,219872,39918795.0,5.29,1.86,1.77,1.77,1.7,0.77,-2.1,1.14
2,3,600307,酒钢宏兴,1.73,8.81,0.14,939872,162019948.0,5.66,1.75,1.66,1.67,1.59,1.5,-5.59,1.18
3,4,000655,金岭矿业,6.53,8.29,0.5,78707,50086461.62,5.64,6.53,6.19,6.22,6.03,1.32,19.45,1.17
4,5,600782,新钢股份,3.92,7.99,0.29,271748,104328396.0,5.51,3.92,3.72,3.73,3.63,0.86,-81.69,0.47
5,6,000932,华菱钢铁,4.63,7.42,0.32,710237,324748094.16,5.57,4.65,4.41,4.46,4.31,1.03,12.01,0.6
6,7,300881,盛德鑫泰,35.5,6.83,2.27,13272,46039718.4,5.48,35.54,33.72,33.72,33.23,2.31,15.18,3.73
7,8,600231,凌钢股份,1.92,6.67,0.12,88682,16797663.0,3.33,1.92,1.86,1.9,1.8,0.31,-5.25,0.8
8,9,002110,三钢闽光,3.44,6.5,0.21,108580,36803013.0,4.95,3.46,3.3,3.3,3.23,0.45,-18.0,0.42
9,10,000717,中南股份,2.91,6.2,0.17,344207,98862143.0,4.38,2.93,2.81,2.86,2.74,1.42,-7.85,0.81
10,11,601003,柳钢股份,3.17,6.02,0.18,66447,20635082.0,4.68,3.17,3.03,3.03,2.99,0.26,75.03,0.92
11,12,601005,重庆钢铁,1.39,5.3,0.07,512797,70097598.0,4.55,1.4,1.34,1.34,1.32,0.61,-8.99,0.65
12,13,600117,西宁特钢,2.88,4.73,0.13,40313,11459226.0,4.0,2.89,2.78,2.8,2.75,0.12,-15.96,1.85
13,14,000959,首钢股份,3.37,4.66,0.15,109424,36416900.14,4.66,3.39,3.24,3.25,3.22,0.17,33.18,0.53
14,15,000761,本钢板材,3.7,4.52,0.16,40307,14764296.0,2.82,3.72,3.62,3.63,3.54,0.11,-4.9,1.05
15,16,600808,马钢股份,2.34,4.46,0.1,127219,29326773.0,4.46,2.35,2.25,2.26,2.24,0.21,-7.92,0.68
16,17,000898,鞍钢股份,2.46,4.24,0.1,122017,29559219.6,3.81,2.46,2.37,2.37,2.36,0.15,-4.29,0.44
