,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603985,恒润股份,13.71,10.03,1.25,,,0.0,,,,12.46,0.0,-94.55,1.82
1,2,603063,禾望电气,16.43,7.95,1.21,,,0.0,,,,15.22,0.0,23.53,1.82
2,3,300850,新强联,23.03,4.11,0.91,,,0.0,,,,22.12,0.0,-171.7,1.71
3,4,688349,三一重能,33.25,3.97,1.27,,,0.0,,,,31.98,0.0,47.03,3.31
4,5,300772,运达股份,13.5,3.29,0.43,,,0.0,,,,13.07,0.0,26.63,1.73
5,6,300443,金雷股份,25.59,2.65,0.66,,,0.0,,,,24.93,0.0,55.33,1.36
6,7,600458,时代新材,13.0,2.36,0.3,,,0.0,,,,12.7,0.0,24.15,1.83
7,8,301040,中环海陆,16.04,2.17,0.34,,,0.0,,,,15.7,0.0,-17.89,1.82
8,9,601615,明阳智能,12.45,1.63,0.2,,,0.0,,,,12.25,0.0,21.4,1.05
9,10,301155,海力风电,71.0,1.54,1.08,,,0.0,,,,69.92,0.0,71.7,2.81
10,11,301232,飞沃科技,31.4,1.49,0.46,,,0.0,,,,30.94,0.0,-24.16,1.6
11,12,301063,海锅股份,17.44,1.45,0.25,,,0.0,,,,17.19,0.0,59.28,1.19
12,13,605305,中际联合,31.5,1.45,0.45,,,0.0,,,,31.05,0.0,23.83,2.78
13,14,688660,电气风电,4.34,1.4,0.06,,,0.0,,,,4.28,0.0,-7.48,1.06
14,15,300129,泰胜风能,9.08,1.11,0.1,,,0.0,,,,8.98,0.0,32.76,1.94
15,16,002202,金风科技,11.06,0.55,0.06,,,0.0,,,,11.0,0.0,19.56,1.27
16,17,600072,中船科技,13.86,0.36,0.05,,,0.0,,,,13.81,0.0,-127.76,1.93
17,18,002487,大金重工,24.5,0.08,0.02,,,0.0,,,,24.48,0.0,44.93,2.24
18,19,603507,振江股份,26.7,0.0,0.0,,,0.0,,,,26.7,0.0,19.93,2.01
19,20,603218,日月股份,13.81,0.0,0.0,,,0.0,,,,13.81,0.0,16.88,1.39
20,21,601218,吉鑫科技,3.28,0.0,0.0,,,0.0,,,,3.28,0.0,47.78,1.13
21,22,300690,双一科技,26.26,0.0,0.0,,,0.0,,,,26.26,0.0,50.75,2.99
22,23,300185,通裕重工,2.92,0.0,0.0,,,0.0,,,,2.92,0.0,140.22,1.71
23,24,002531,天顺风能,9.76,-0.1,-0.01,,,0.0,,,,9.77,0.0,40.6,1.96
24,25,301163,宏德股份,23.55,-0.21,-0.05,,,0.0,,,,23.6,0.0,75.31,1.73
25,26,300904,威力传动,47.04,-0.76,-0.36,,,0.0,,,,47.4,0.0,95.38,4.27
26,27,301456,盘古智能,24.81,-1.19,-0.3,,,0.0,,,,25.11,0.0,62.47,1.76
27,28,300569,天能重工,5.36,-4.11,-0.23,,,0.0,,,,5.59,0.0,713.6,1.0
