,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,831961,创远信科,24.53,22.96,4.58,120896,281562523.64,26.82,25.88,20.53,21.2,19.95,11.47,1371.15,4.65
1,2,301517,陕西华达,70.6,12.73,7.97,46476,313887949.24,10.41,71.0,64.48,65.5,62.63,10.94,167.65,5.66
2,3,300342,天银机电,22.36,12.08,2.41,366325,784247156.2,14.14,22.78,19.96,19.96,19.95,8.77,128.94,6.19
3,4,301050,雷电微力,64.58,10.77,6.28,102872,635388135.56,10.81,64.7,58.4,58.4,58.3,4.95,31.72,5.44
4,5,002792,通宇通讯,15.2,9.99,1.38,176148,259998677.5,8.32,15.2,14.05,14.12,13.82,5.61,115.68,2.86
5,6,002446,盛路通信,8.05,9.52,0.7,362077,278851077.09,8.98,8.06,7.4,7.46,7.35,4.27,83.15,2.24
6,7,300136,信维通信,29.88,9.05,2.48,486937,1391503079.28,8.8,29.92,27.51,28.2,27.4,5.91,40.66,4.03
7,8,002465,海格通信,13.01,7.7,0.93,442652,562182823.31,8.11,13.14,12.16,12.16,12.08,1.82,130.96,2.55
8,9,300123,亚光科技,7.89,6.62,0.49,336454,257341113.14,5.95,7.89,7.45,7.5,7.4,3.36,-73.64,3.36
9,10,688387,信科移动-U,7.04,6.34,0.42,279013,191590107.0,5.59,7.05,6.68,6.71,6.62,2.02,-106.29,3.78
10,11,300252,金信诺,10.46,6.09,0.6,262989,269252697.7,6.49,10.54,9.9,9.98,9.86,4.9,932.07,3.22
11,12,002115,三维通信,5.9,5.55,0.31,255162,147498655.51,5.37,5.92,5.62,5.67,5.59,3.39,-145.73,2.05
12,13,300322,硕贝德,18.28,5.3,0.92,243781,439499755.65,4.32,18.42,17.67,17.77,17.36,5.48,1751.2,8.22
13,14,000063,中兴通讯,33.4,4.87,1.55,663810,2167137162.07,3.74,33.4,32.21,32.35,31.85,1.65,15.16,2.21
14,15,300964,本川智能,44.62,4.3,1.84,28625,125901288.8,5.56,44.99,42.61,43.28,42.78,5.29,122.19,3.46
15,16,603803,瑞斯康达,8.43,3.82,0.31,141328,115626465.0,7.51,8.46,7.85,8.09,8.12,3.33,-41.73,2.15
16,17,002093,国脉科技,8.38,3.08,0.25,107218,88504939.0,3.08,8.4,8.15,8.15,8.13,1.06,42.75,2.32
17,18,688112,鼎阳科技,33.1,2.67,0.86,5218,17095632.0,1.61,33.1,32.58,32.6,32.24,1.14,43.12,3.48
18,19,002897,意华股份,48.39,2.59,1.22,40780,195826441.29,2.29,48.61,47.53,47.53,47.17,2.27,30.4,3.7
19,20,002243,力合科创,9.44,1.94,0.18,130588,122628307.0,2.05,9.48,9.29,9.34,9.26,1.08,63.28,1.59
20,21,603220,中贝通信,25.01,1.83,0.45,169465,413981567.0,4.15,25.07,24.05,24.06,24.56,3.9,56.34,5.57
21,22,600522,中天科技,17.56,1.44,0.25,190124,332548884.0,2.02,17.65,17.3,17.64,17.31,0.56,19.45,1.72
22,23,600288,大恒科技,9.17,1.33,0.12,41567,38094286.0,2.43,9.3,9.08,9.3,9.05,0.95,-468.38,2.15
23,24,300256,星星科技,5.39,1.32,0.07,538494,287197126.47,4.7,5.47,5.22,5.34,5.32,3.28,-71.84,10.16
24,25,601208,东材科技,8.85,1.14,0.1,74087,65576139.0,2.06,8.96,8.78,8.84,8.75,0.83,25.2,1.81
25,26,600487,亨通光电,18.99,0.48,0.09,129966,244077867.0,2.33,19.09,18.65,19.0,18.9,0.53,15.18,1.66
26,27,002583,海能达,20.37,-2.58,-0.54,932732,1901168154.64,4.88,20.88,19.86,20.55,20.91,7.27,110.47,6.07
