,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300678,中科信息,50.06,12.19,5.44,180297,848715038.61,10.33,50.06,45.45,46.06,44.62,6.31,1798.07,17.34
1,2,002383,合众思壮,9.25,9.99,0.84,241143,214074078.54,10.7,9.25,8.35,8.42,8.41,3.91,-80.6,3.74
2,3,002792,通宇通讯,15.2,9.99,1.38,176148,259998677.5,8.32,15.2,14.05,14.12,13.82,5.61,115.68,2.86
3,4,002298,中电兴发,5.75,9.94,0.52,232844,131001935.5,9.94,5.75,5.23,5.3,5.23,3.56,-8.49,1.32
4,5,300136,信维通信,29.88,9.05,2.48,486937,1391503079.28,8.8,29.92,27.51,28.2,27.4,5.91,40.66,4.03
5,6,300275,梅安森,16.43,5.73,0.89,96251,155175483.65,5.34,16.51,15.68,16.16,15.54,3.77,81.08,5.67
6,7,300322,硕贝德,18.28,5.3,0.92,243781,439499755.65,4.32,18.42,17.67,17.77,17.36,5.48,1751.2,8.22
7,8,300050,世纪鼎利,7.11,5.18,0.35,189569,131969470.0,4.73,7.14,6.82,6.85,6.76,3.48,-149.13,8.39
8,9,600501,航天晨光,23.72,4.77,1.08,86381,200588341.0,4.81,23.75,22.66,22.66,22.64,2.03,-46.93,4.86
9,10,002065,东华软件,7.2,3.9,0.27,420649,297308620.0,3.9,7.22,6.95,7.0,6.93,1.45,35.33,1.95
10,11,000948,南天信息,21.95,3.78,0.8,241514,526698016.07,3.92,22.13,21.3,21.43,21.15,6.26,115.9,3.25
11,12,600131,国网信通,23.87,3.56,0.82,68025,160364460.0,3.73,23.94,23.08,23.08,23.05,0.57,72.21,4.5
12,13,300024,机器人,21.02,3.55,0.72,1153053,2371982468.46,7.49,21.27,19.75,19.75,20.3,7.52,-247.51,7.57
13,14,601231,环旭电子,15.86,2.65,0.41,92644,145407313.0,2.07,15.88,15.56,15.62,15.45,0.42,20.07,2.03
14,15,301195,北路智控,34.17,2.06,0.69,9027,30662298.5,1.19,34.2,33.8,33.8,33.48,1.84,24.02,1.94
15,16,300184,力源信息,12.55,2.03,0.25,390684,484447052.0,2.85,12.6,12.25,12.5,12.3,3.73,108.33,3.92
16,17,300448,浩云科技,7.25,1.68,0.12,170437,123822658.0,4.63,7.45,7.12,7.32,7.13,3.47,433.39,3.73
17,18,002869,金溢科技,32.23,1.58,0.5,31705,101722783.65,2.08,32.43,31.77,32.01,31.73,1.99,139.6,2.69
18,19,300177,中海达,13.28,0.91,0.12,304000,402567988.86,3.42,13.48,13.03,13.31,13.16,5.01,-287.6,5.97
19,20,000725,京东方Ａ,4.68,0.43,0.02,2169910,1014352334.58,1.29,4.71,4.65,4.68,4.66,0.59,39.93,1.36
