,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300379,东方通,20.0,19.98,3.33,756067,1435070221.86,16.98,20.0,17.17,17.17,16.67,14.36,-45.65,3.19
1,2,600536,中国软件,65.7,9.99,5.97,600990,3844399879.0,6.98,65.7,61.53,62.44,59.73,7.13,-124.11,25.72
2,3,300339,润和软件,75.2,9.32,6.41,704272,5165929564.2,8.32,75.5,69.78,69.78,68.79,9.06,405.83,17.43
3,4,300598,诚迈科技,67.0,7.1,4.44,94533,616492890.1,6.97,67.06,62.7,62.72,62.56,4.36,-132.57,9.22
4,5,688058,宝兰德,39.86,7.06,2.63,10062,39492201.0,8.19,40.32,37.27,38.4,37.23,1.3,-42.34,4.19
5,6,301236,软通动力,69.18,6.14,4.0,250388,1701909514.28,4.89,69.59,66.4,67.49,65.18,3.68,651.05,6.3
6,7,688152,麒麟信安,69.02,5.37,3.52,11259,76165972.0,5.62,69.68,66.0,67.12,65.5,3.63,-177.71,4.5
7,8,300366,创意信息,12.61,4.21,0.51,218811,269166045.0,5.95,12.68,11.96,12.19,12.1,4.12,-29.67,4.41
8,9,300047,天源迪科,15.68,4.05,0.61,227592,352987754.34,2.59,15.68,15.29,15.5,15.07,4.14,232.65,3.0
9,10,002261,拓维信息,25.16,2.48,0.61,374371,935352186.27,2.81,25.28,24.59,24.6,24.55,3.32,2152.61,12.18
10,11,300474,景嘉微,97.0,2.09,1.99,83157,797191888.99,3.29,97.8,94.67,97.0,95.01,2.54,1592.53,6.98
11,12,688038,中科通达,14.21,1.86,0.26,13925,19635781.0,2.01,14.21,13.93,14.05,13.95,1.2,705.33,2.67
12,13,300348,长亮科技,18.75,1.57,0.29,428931,818714196.73,6.18,19.68,18.54,19.15,18.46,6.85,2843.86,7.51
13,14,830799,艾融软件,76.01,1.4,1.05,60767,468037677.68,7.18,79.96,74.58,77.88,74.96,5.03,278.61,40.78
14,15,688118,普元信息,25.17,1.29,0.32,11891,29645730.0,4.95,25.76,24.53,25.76,24.85,1.27,-25.83,3.0
15,16,300674,宇信科技,26.23,-0.3,-0.08,339729,894793721.23,6.61,27.3,25.56,27.3,26.31,4.83,52.83,4.48
